league_name,country_name,link
Copa America 2024,,/results/copa-america-2024
ICC Men's T20 World Cup 2024,,/results/mens-t20-world-cup-2024
NRLW 2024,,/results/nrlw-2024
QRL 2024,,/results/qrl-2024
WAFL 2024,,/results/wafl-2024
SANFL 2024,,/results/sanfl-2024
Super Netball 2024,,/results/super-netball-2024
Super Rugby Pacific 2024,,/results/super-rugby-pacific-2024
MLS 2024,,/results/mls-2024
UEFA Euro 2024,,/results/uefa-euro-2024
AFL 2024,,/results/afl-2024
NRL 2024,,/results/nrl-2024
6 Nations 2024,,/results/6-nations-2024
AFC Asian Cup 2023,,/results/afc-asian-cup-2023
Africa Cup of Nations 2023,,/results/afcon-2023
Women's Super League 2023/24,,/results/wsl-2023
Premiership Rugby 2023/24,,/results/premiership-rugby-2023
AFLW 2023,,/results/aflw-2023
ICC Cricket World Cup 2023,,/results/icc-cricket-world-cup-2023
A-League Women 2023/24,,/results/aleague-women-2023
A-League Men 2023/24,,/results/aleague-men-2023
NBA 2023/24,,/results/nba-2023
NHL 2023/24,,/results/nhl-2023
Autumn Internationals 2023,,/results/autumn-internationals-2023
WBBL 2023,,/results/wbbl-2023
BBL 2023/24,,/results/bbl-2023
WNBL 2022/23,,/results/wnbl-2023
NBL 2023/24,,/results/nbl-2023
UEFA Europa League 2023/24,,/results/europa-league-2023
UEFA Champions League 2023/24,,/results/champions-league-2023
Eredivisie 2023/24,,/results/eredivisie-2023
Serie A 2023/24,,/results/serie-a-2023
Bundesliga 2023/24,,/results/bundesliga-2023
Ligue 1 2023/24,,/results/ligue-1-2023
Turkish Super Lig 2023/24,,/results/super-lig-2023
Primeira Liga 2023/24,,/results/primeira-liga-2023
La Liga 2023/24,,/results/la-liga-2023
English Premier League 2023/24,,/results/epl-2023
EFL Championship 2023/24,,/results/championship-2023
Netball World Cup 2023,,/results/netball-world-cup-2023
NZ Provincial Rugby 2023,,/results/nz-provincial-rugby-2023
FIBA Basketball World Cup 2023,,/results/fiba-basketball-world-cup-2023
NFL 2023,,/results/nfl-2023
NRLW 2023,,/results/nrlw-2023
MLS 2023,,/results/mls-2023
NZ Premiership Netball 2023,,/results/nz-premiership-netball-2023
Indian Premier League 2023,,/results/ipl-2023
MLB 2023,,/results/mlb-2023
IIHF Ice Hockey World Championship 2023,,/results/iihf-ice-hockey-world-championship-2023
Rugby World Cup 2023,,/results/rugby-world-cup-2023
FIFA Women's World Cup 2023,,/results/fifa-womens-world-cup-2023
QRL 2023,,/results/qrl-2023
VFL 2023,,/results/vfl-2023
QAFL 2023,,/results/qafl-2023
WAFL 2023,,/results/wafl-2023
SANFL 2023,,/results/sanfl-2023
6 Nations 2023,,/results/6-nations-2023
Super Netball 2023,,/results/super-netball-2023
AFL 2023,,/results/afl-2023
Super Rugby Pacific 2023,,/results/super-rugby-pacific-2023
NRL 2023,,/results/nrl-2023
Autumn Internationals 2022,,/results/autumn-internationals-2022
BBL 2022/23,,/results/bbl-2022
WBBL 2022,,/results/wbbl-2022
Women's Rugby World Cup 2021 (2022),,/results/womens-rugby-world-cup-2021
NHL 2022/23,,/results/nhl-2022
