Rank,Team Name,Team ID,Conference,Games Played,Defensive sack Yards,Fumbles Forced,Passes Defensed,Def. Interceptions,Def. Interception Yards,Def. Interception Touchdowns,Safeties,Total Tackles,Tackles for loss,Quarterback Hits
1,Baltimore Ravens,6526d38583a47c56303cf1fa,AFC,17,60,435,16,92,18,258,1,1,1040,89,117
2,Kansas City Chiefs,6526d350fb66c7d02dfb8a0f,AFC,17,57,351,15,72,8,69,0,0,970,87,125
3,Miami Dolphins,6526d363fb66c7d02dfb8a40,AFC,17,56,371,15,81,15,271,4,0,1035,79,140
4,Buffalo Bills,6526d34f83a47c56303cf10d,AFC,17,54,328,14,79,18,148,2,0,985,85,117
5,Indianapolis Colts,6526d36afb66c7d02dfb8a74,AFC,17,51,315,17,69,15,255,3,1,1126,94,108
6,Cleveland Browns,6526d38483a47c56303cf1ec,AFC,17,49,341,13,93,18,134,2,0,889,113,109
7t,New York Jets,6526d367fb66c7d02dfb8a51,AFC,17,48,304,14,90,17,211,2,3,1068,100,108
7t,San Francisco 49ers,6390fed843e25b1ece9e7adc,NFC,17,48,307,10,85,22,309,1,1,992,80,122
7t,Los Angeles Chargers,6526d34f83a47c56303cf112,AFC,17,48,334,15,83,9,31,0,0,1047,82,87
7t,Tampa Bay Buccaneers,6526d38e83a47c56303cf241,NFC,17,48,325,18,64,13,93,1,1,1057,91,84
11t,Pittsburgh Steelers,6526d38b83a47c56303cf21b,AFC,17,47,304,19,80,16,184,1,1,1018,83,107
11t,Seattle Seahawks,6526d3adafc95e6021c45b89,NFC,17,47,298,12,77,11,177,3,0,1160,99,97
13t,Las Vegas Raiders,6526d34f83a47c56303cf108,AFC,17,46,290,14,56,13,268,3,1,1093,82,89
13t,Houston Texans,6526d375fb66c7d02dfb8abf,AFC,17,46,349,15,70,14,63,0,0,1116,105,113
13t,Dallas Cowboys,6526d3b3fb66c7d02dfb8b7e,NFC,17,46,296,14,74,17,249,5,1,995,83,99
16t,Green Bay Packers,6526d3c9afc95e6021c45c48,NFC,17,45,288,10,68,7,68,1,0,1071,76,108
16t,Tennessee Titans,6526d37d83a47c56303cf1b1,AFC,17,45,315,12,55,6,86,1,0,1127,90,84
18,Cincinnati Bengals,6526d38383a47c56303cf1db,AFC,17,44,257,10,74,17,152,1,0,1052,75,110
19t,Minnesota Vikings,6526d3caafc95e6021c45c58,NFC,17,43,302,22,69,11,112,0,0,1124,70,91
19t,Philadelphia Eagles,6526d3b5fb66c7d02dfb8b90,NFC,17,43,255,16,73,9,207,2,1,1020,73,106
21t,Denver Broncos,6526d34ffb66c7d02dfb8a0a,AFC,17,42,330,19,63,11,85,0,1,1067,71,100
21t,Atlanta Falcons,6526d39683a47c56303cf27d,NFC,17,42,258,19,66,8,124,1,1,1076,83,98
23t,Los Angeles Rams,6526d3adfb66c7d02dfb8b6a,NFC,17,41,267,7,78,10,100,0,2,1028,75,91
23t,Detroit Lions,6526d3c7afc95e6021c45c23,NFC,17,41,357,13,80,16,209,1,1,959,81,116
25,Jacksonville Jaguars,6526d36cfb66c7d02dfb8a82,AFC,17,40,279,12,84,16,264,2,0,1020,73,107
26,Washington Commanders,6526d3afafc95e6021c45ba0,NFC,17,39,164,10,78,8,85,0,0,1094,86,84
27,New England Patriots,6526d369fb66c7d02dfb8a66,AFC,17,36,248,14,66,10,97,0,1,1075,80,78
28t,New Orleans Saints,6526d39983a47c56303cf2a0,NFC,17,34,244,9,99,18,185,1,0,1010,70,76
28t,New York Giants,6526d3c5afc95e6021c45c0e,NFC,17,34,259,19,81,18,404,3,0,1039,76,83
30,Arizona Cardinals,6526d3a0fb66c7d02dfb8b24,NFC,17,33,233,6,66,11,98,0,0,1084,76,59
31,Chicago Bears,6526d3c7afc95e6021c45c28,NFC,17,30,202,13,83,22,244,2,0,1001,72,92
32,Carolina Panthers,6390ffe743e25b1ece9e83f5,NFC,17,27,193,5,64,8,203,2,0,1013,77,74
