ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Devilder N.,Fognini F.,90,197,469,201,7,6,6,7,6,4,,,,,2,1,Completed,1.72,2,2,1.77,1.95,1.8,1.962,1.943,1.94,1.82
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Vanek J.,Vassallo-Arguello M.,116,62,386,599,2,6,6,1,6,3,,,,,2,1,Completed,2.75,1.39,3.1,1.35,2.92,1.37,3.11,1.433,2.95,1.38
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Ferrero J.C.,Starace P.,25,94,1100,453,7,6,4,6,6,3,,,,,2,1,Completed,1.3,3.2,1.37,3,1.35,3.1,1.372,3.49,1.37,3
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Guzman J.P.,Kim K.,153,124,281,363,6,4,6,2,,,,,,,2,0,Completed,1.61,2.2,1.48,2.6,1.48,2.53,1.8,2.15,1.48,2.58
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Chela J.I.,Roitman S.,35,72,880,524,6,3,6,2,,,,,,,2,0,Completed,1.36,2.87,1.4,2.85,1.42,2.75,1.493,2.83,1.42,2.8
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Almagro N.,Zabaleta M.,28,158,990,270,6,3,6,4,,,,,,,2,0,Completed,1.28,3.25,1.33,3.2,1.35,3.1,1.37,3.5,1.3,3.4
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Galvani S.,Hajek J.,109,74,396,513,6,3,6,2,,,,,,,2,0,Completed,,,1.5,2.55,,,1.357,3.6,1.25,3.75
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Hartfield D.,Armando H.,93,224,454,183,6,4,7,6,,,,,,,2,0,Completed,1.57,2.25,1.7,2.1,1.6,2.3,1.699,2.33,1.6,2.27
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Gaudio G.,Horna L.,36,46,845,755,1,1,,,,,,,,,0,0,Retired,3.75,1.22,3.85,1.25,3.75,1.25,4.06,1.298,3.75,1.25
16,Acapulco,Abierto Mexicano,27/02/07,International Gold,Outdoor,Clay,1st Round,3,Hernandez O.,Vicente F.,105,115,411,387,6,2,7,5,,,,,,,2,0,Completed,1.39,2.75,1.4,2.85,1.4,2.85,1.565,2.67,1.45,2.65
16,Acapulco,Abierto Mexicano,28/02/07,International Gold,Outdoor,Clay,1st Round,3,Calleri A.,Martin A.,29,73,988,521,6,3,6,2,,,,,,,2,0,Completed,1.28,3.25,1.3,3.4,1.35,3.1,1.37,3.5,1.33,3.2
16,Acapulco,Abierto Mexicano,28/02/07,International Gold,Outdoor,Clay,1st Round,3,Ramirez-Hidalgo R.,Gonzalez S.,59,234,625,168,6,4,6,3,,,,,,,2,0,Completed,1.16,4.5,1.22,4.1,1.23,3.89,1.248,4.63,1.23,4
16,Acapulco,Abierto Mexicano,28/02/07,International Gold,Outdoor,Clay,1st Round,3,Acasuso J.,Montanes A.,38,66,815,553,6,0,7,5,,,,,,,2,0,Completed,1.44,2.62,1.53,2.45,1.55,2.4,1.549,2.72,1.5,2.5
16,Acapulco,Abierto Mexicano,28/02/07,International Gold,Outdoor,Clay,1st Round,3,Dlouhy L.,di Mauro A.,118,68,379,543,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.67,2.15,1.65,2.2,1.752,2.23,1.73,2.05
16,Acapulco,Abierto Mexicano,28/02/07,International Gold,Outdoor,Clay,1st Round,3,Massu N.,Monaco J.,53,58,690,664,7,6,7,5,,,,,,,2,0,Completed,2,1.72,2.2,1.65,2.15,1.65,2.34,1.694,2.1,1.7
16,Acapulco,Abierto Mexicano,28/02/07,International Gold,Outdoor,Clay,1st Round,3,Moya C.,Echagaray B.,47,216,735,187,6,3,6,4,,,,,,,2,0,Completed,1.1,6,,,,,1.132,7.85,1.1,6.5
16,Acapulco,Abierto Mexicano,28/02/07,International Gold,Outdoor,Clay,2nd Round,3,Ferrero J.C.,Dlouhy L.,25,118,1100,379,6,3,7,6,,,,,,,2,0,Completed,1.16,4.5,1.22,4.1,1.19,4.35,1.235,4.85,1.23,4
16,Acapulco,Abierto Mexicano,01/03/07,International Gold,Outdoor,Clay,2nd Round,3,Acasuso J.,Vanek J.,38,116,815,386,6,1,6,2,,,,,,,2,0,Completed,1.25,3.75,1.25,3.85,1.28,3.46,1.257,4.49,1.28,3.5
16,Acapulco,Abierto Mexicano,01/03/07,International Gold,Outdoor,Clay,2nd Round,3,Almagro N.,Ramirez-Hidalgo R.,28,59,990,625,6,1,4,6,7,6,,,,,2,1,Completed,1.33,3.25,1.37,3,1.4,2.8,1.418,3.19,1.37,3
16,Acapulco,Abierto Mexicano,01/03/07,International Gold,Outdoor,Clay,2nd Round,3,Gaudio G.,Guzman J.P.,36,153,845,281,1,6,6,3,6,2,,,,,2,1,Completed,1.8,1.9,,,,,1.8,2.15,1.85,1.9
16,Acapulco,Abierto Mexicano,01/03/07,International Gold,Outdoor,Clay,2nd Round,3,Moya C.,Hartfield D.,47,93,735,454,6,3,7,5,,,,,,,2,0,Completed,1.36,3,1.33,3.2,1.35,2.9,1.364,3.55,1.4,2.85
16,Acapulco,Abierto Mexicano,01/03/07,International Gold,Outdoor,Clay,2nd Round,3,Massu N.,Galvani S.,53,109,690,396,7,6,6,3,,,,,,,2,0,Completed,1.22,4,1.22,4.1,1.25,3.75,1.282,4.25,1.23,4
16,Acapulco,Abierto Mexicano,01/03/07,International Gold,Outdoor,Clay,2nd Round,3,Chela J.I.,Devilder N.,35,90,880,469,6,0,6,4,,,,,,,2,0,Completed,1.19,4.33,1.22,4.15,1.2,4.25,1.174,6.25,1.22,4.1
16,Acapulco,Abierto Mexicano,01/03/07,International Gold,Outdoor,Clay,2nd Round,3,Calleri A.,Hernandez O.,29,105,988,411,4,6,6,3,6,3,,,,,2,1,Completed,1.22,4,1.28,3.55,1.28,3.46,1.294,4.1,1.25,3.8
16,Acapulco,Abierto Mexicano,01/03/07,International Gold,Outdoor,Clay,Quarterfinals,3,Chela J.I.,Massu N.,35,53,880,690,6,3,6,7,7,5,,,,,2,1,Completed,1.57,2.25,1.57,2.35,1.55,2.4,1.602,2.56,1.6,2.25
16,Acapulco,Abierto Mexicano,01/03/07,International Gold,Outdoor,Clay,Quarterfinals,3,Calleri A.,Acasuso J.,29,38,988,815,6,3,6,4,,,,,,,2,0,Completed,1.83,1.83,1.88,1.88,1.95,1.8,1.98,1.926,1.8,1.97
16,Acapulco,Abierto Mexicano,02/03/07,International Gold,Outdoor,Clay,Quarterfinals,3,Moya C.,Almagro N.,47,28,735,990,7,6,6,3,,,,,,,2,0,Completed,2.2,1.61,2.2,1.65,2.15,1.65,2.3,1.714,2.28,1.6
