WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
11,Acapulco,Abierto Mexicano,21/02/11,International,Outdoor,Clay,1st Round,3,Cirstea S.,Mayr P.,94,103,720,675,6,2,6,4,,,2,0,Completed,1.9,1.8,1.95,1.8,1.91,1.8,1.89,2.01,2,1.73,2,2.01,1.9,1.84
11,Acapulco,Abierto Mexicano,21/02/11,International,Outdoor,Clay,1st Round,3,Goerges J.,Hermoso X.,34,659,1685,34,6,1,6,2,,,2,0,Completed,1.01,13,1.03,10,1.03,10,1.03,15.56,1.03,10,1.05,19.33,1.03,12.55
11,Acapulco,Abierto Mexicano,21/02/11,International,Outdoor,Clay,1st Round,3,Parra Santonja A.,Bammer S.,79,89,831,751,7,6,7,6,,,2,0,Completed,2.1,1.66,2.15,1.65,2,1.73,2.1,1.8,1.91,1.8,2.15,1.81,2.03,1.74
11,Acapulco,Abierto Mexicano,22/02/11,International,Outdoor,Clay,1st Round,3,Parmentier P.,Ondraskova Z.,111,84,592,773,6,3,7,5,,,2,0,Completed,1.8,1.9,1.75,2,1.73,2,1.86,2.03,1.73,2,1.89,2.05,1.8,1.94
11,Acapulco,Abierto Mexicano,22/02/11,International,Outdoor,Clay,1st Round,3,Pous-Tio L.,Halep S.,85,61,772,981,6,3,6,7,6,3,2,1,Completed,2.25,1.57,2.15,1.65,2.25,1.57,2.2,1.74,2.25,1.57,2.4,1.76,2.19,1.64
11,Acapulco,Abierto Mexicano,22/02/11,International,Outdoor,Clay,1st Round,3,Voracova R.,Oprandi R.,87,69,755,888,6,4,4,6,6,4,2,1,Completed,2.37,1.53,2.25,1.6,2.25,1.57,2.19,1.75,2.25,1.57,2.45,1.8,2.21,1.62
11,Acapulco,Abierto Mexicano,22/02/11,International,Outdoor,Clay,1st Round,3,Medina Garrigues A.,Pliskova Ka.,92,190,728,308,6,2,6,1,,,2,0,Completed,1.28,3.5,1.2,3.3,1.25,3.75,1.25,4.36,1.29,3.25,1.3,4.45,1.25,3.71
11,Acapulco,Abierto Mexicano,22/02/11,International,Outdoor,Clay,1st Round,3,Dominguez Lino L.,Hercog P.,51,50,1096,1130,6,3,4,6,6,3,2,1,Completed,2.5,1.5,2.35,1.55,2.25,1.57,2.74,1.5,2.38,1.53,2.74,1.6,2.44,1.53
11,Acapulco,Abierto Mexicano,22/02/11,International,Outdoor,Clay,1st Round,3,Tsurenko L.,Oudin M.,132,81,503,818,6,1,3,2,,,1,0,Retired,1.72,2,1.8,1.95,1.83,1.83,1.72,2.23,,,1.91,2.23,1.78,1.95
11,Acapulco,Abierto Mexicano,22/02/11,International,Outdoor,Clay,1st Round,3,Larsson J.,Meusburger Y.,74,117,858,575,6,1,3,6,6,0,2,1,Completed,2.25,1.57,2.1,1.68,2.25,1.57,2.25,1.71,2.1,1.67,2.3,1.78,2.15,1.66
