ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
16,Acapulco,Abierto Mexicano,25/02/13,ATP500,Outdoor,Clay,1st Round,3,Alund M.,Garza D.,91,429,563,85,7,6,7,5,,,,,,,2,0,Completed,1.06,10,1.05,8.5,1.06,8,1.07,10.43,,,1.1,12,1.06,8.78
16,Acapulco,Abierto Mexicano,25/02/13,ATP500,Outdoor,Clay,1st Round,3,Andujar P.,Lajovic D.,47,160,900,345,3,6,7,5,6,2,,,,,2,1,Completed,1.57,2.25,1.6,2.25,1.57,2.25,1.63,2.4,,,1.69,2.48,1.61,2.27
16,Acapulco,Abierto Mexicano,26/02/13,ATP500,Outdoor,Clay,1st Round,3,Sousa J.,Melzer J.,93,49,556,835,6,4,6,3,,,,,,,2,0,Completed,2.25,1.57,2.25,1.6,2.38,1.53,2.24,1.71,2.38,1.57,2.5,1.74,2.3,1.6
16,Acapulco,Abierto Mexicano,26/02/13,ATP500,Outdoor,Clay,1st Round,3,Giraldo S.,Ramirez-Hidalgo R.,66,96,718,543,4,6,6,4,6,4,,,,,2,1,Completed,1.22,4,1.2,4.25,1.29,3.5,1.22,4.74,1.25,3.75,1.29,4.74,1.23,4.01
16,Acapulco,Abierto Mexicano,26/02/13,ATP500,Outdoor,Clay,1st Round,3,Mayer L.,Reyes-Varela M.A.,77,538,657,53,6,0,7,6,,,,,,,2,0,Completed,1.07,9,1.06,8,1.07,7.5,1.09,8.43,1.1,7,1.1,9,1.07,7.94
16,Acapulco,Abierto Mexicano,26/02/13,ATP500,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Berlocq C.,54,75,788,660,6,3,6,2,,,,,,,2,0,Completed,3,1.36,2.65,1.45,2.62,1.44,2.87,1.47,3,1.36,3.15,1.5,2.81,1.41
16,Acapulco,Abierto Mexicano,26/02/13,ATP500,Outdoor,Clay,1st Round,3,Almagro N.,Ramirez C.,12,476,2480,72,6,0,6,1,,,,,,,2,0,Completed,1.01,21,1.01,15,1.02,13,1.02,20.52,1.02,13,1.03,26,1.02,16.04
16,Acapulco,Abierto Mexicano,26/02/13,ATP500,Outdoor,Clay,1st Round,3,Odesnik W.,Kubot L.,155,83,348,605,6,3,6,4,,,,,,,2,0,Completed,2,1.72,2.08,1.7,2.1,1.67,2.07,1.83,2.1,1.73,2.14,1.83,2.03,1.75
16,Acapulco,Abierto Mexicano,26/02/13,ATP500,Outdoor,Clay,1st Round,3,Robredo T.,Volandri F.,79,113,635,477,6,2,2,6,6,4,,,,,2,1,Completed,1.4,2.75,1.5,2.5,1.4,2.75,1.5,2.78,1.5,2.63,1.5,2.85,1.45,2.66
16,Acapulco,Abierto Mexicano,27/02/13,ATP500,Outdoor,Clay,1st Round,3,Lorenzi P.,Paire B.,57,38,785,1030,4,6,6,3,6,4,,,,,2,1,Completed,2.2,1.61,2.15,1.65,2.1,1.67,2.05,1.85,2.2,1.62,2.28,1.85,2.1,1.7
