ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
37,Antalya,Antalya Open,23/06/2019,ATP250,Outdoor,Grass,1st Round,3,Kecmanovic M.,Munar J.,82,88,675,630,6,4,6,3,,,,,,,2,0,Completed,1.61,2.2,1.66,2.34,1.78,2.34,1.65,2.22
37,Antalya,Antalya Open,23/06/2019,ATP250,Outdoor,Grass,1st Round,3,Sonego L.,Sousa J.,75,66,732,795,6,3,7,6,,,,,,,2,0,Completed,2.62,1.44,2.55,1.57,2.71,1.6,2.53,1.51
37,Antalya,Antalya Open,24/06/2019,ATP250,Outdoor,Grass,1st Round,3,Dzumhur D.,Ebden M.,63,91,833,606,6,4,7,5,,,,,,,2,0,Completed,2.5,1.5,2.46,1.61,2.6,1.63,2.41,1.56
37,Antalya,Antalya Open,24/06/2019,ATP250,Outdoor,Grass,1st Round,3,Gunneswaran P.,Tipsarevic J.,94,286,591,125,6,0,7,6,,,,,,,2,0,Completed,2.37,1.53,2.44,1.61,2.5,1.63,2.38,1.57
37,Antalya,Antalya Open,24/06/2019,ATP250,Outdoor,Grass,1st Round,3,Klahn B.,Darcis S.,89,230,628,209,6,3,6,2,,,,,,,2,0,Completed,2.75,1.4,2.74,1.51,2.92,1.54,2.63,1.48
37,Antalya,Antalya Open,24/06/2019,ATP250,Outdoor,Grass,1st Round,3,Carballes Baena R.,Aragone JC,72,265,742,162,6,4,7,6,,,,,,,2,0,Completed,1.53,2.37,1.64,2.38,1.67,2.55,1.56,2.41
37,Antalya,Antalya Open,24/06/2019,ATP250,Outdoor,Grass,1st Round,3,Humbert U.,Delbonis F.,64,76,822,731,6,3,7,5,,,,,,,2,0,Completed,1.4,2.75,1.4,3.18,1.48,3.3,1.38,3.02
37,Antalya,Antalya Open,24/06/2019,ATP250,Outdoor,Grass,1st Round,3,Celikbilek A.,Gulbis E.,443,90,22,617,6,3,4,6,6,4,,,,,2,1,Completed,5,1.16,5.11,1.2,5.5,1.2,5.03,1.17
37,Antalya,Antalya Open,24/06/2019,ATP250,Outdoor,Grass,1st Round,3,Troicki V.,Kovalik J.,193,169,270,330,7,6,6,4,,,,,,,2,0,Completed,1.28,3.5,1.34,3.52,1.34,3.92,1.3,3.52
37,Antalya,Antalya Open,24/06/2019,ATP250,Outdoor,Grass,1st Round,3,Tomic B.,Seppi A.,101,71,548,745,4,6,6,4,6,4,,,,,2,1,Completed,2.37,1.53,2.49,1.59,2.78,1.63,2.43,1.55
37,Antalya,Antalya Open,24/06/2019,ATP250,Outdoor,Grass,1st Round,3,Gojowczyk P.,Kirkin E.,123,566,465,6,6,3,6,7,6,2,,,,,2,1,Completed,1.14,5.5,1.18,5.6,1.22,5.75,1.17,5.09
37,Antalya,Antalya Open,25/06/2019,ATP250,Outdoor,Grass,1st Round,3,Krawietz K.,Ilkel C.,277,271,142,155,6,4,6,4,,,,,,,2,0,Completed,1.72,2,1.96,1.93,1.96,2.1,1.83,1.97
37,Antalya,Antalya Open,25/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Thompson J.,Klahn B.,45,89,967,628,7,6,6,3,,,,,,,2,0,Completed,1.33,3.25,1.33,3.7,1.35,3.92,1.29,3.57
37,Antalya,Antalya Open,25/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Dzumhur D.,Celikbilek A.,63,443,833,22,6,3,4,6,6,3,,,,,2,1,Completed,1.12,6,1.14,6.9,1.17,7.25,1.12,6.22
37,Antalya,Antalya Open,25/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Sonego L.,Gunneswaran P.,75,94,732,591,6,7,6,0,7,5,,,,,2,1,Completed,1.5,2.5,1.53,2.7,1.55,2.75,1.5,2.57
37,Antalya,Antalya Open,25/06/2019,ATP250,Outdoor,Grass,2nd Round,3,Mannarino A.,Carballes Baena R.,37,72,1171,742,3,6,6,1,7,5,,,,,2,1,Completed,1.28,3.5,1.34,3.56,1.35,3.75,1.31,3.4
