WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
7,Antwerp,BNP Paribas Fortis Diamond Games,10/02/15,Premier,Indoor,Hard,1st Round,3,Beck A.,Knapp K.,63,53,860,930,6,3,6,1,,,2,0,Completed,2,1.72,2,1.8,1.91,1.8,2.07,1.83,2.14,1.85,1.99,1.77
7,Antwerp,BNP Paribas Fortis Diamond Games,10/02/15,Premier,Indoor,Hard,1st Round,3,Schiavone F.,Koukalova K.,81,43,692,1125,6,3,6,1,,,2,0,Completed,1.4,2.75,1.42,2.8,1.5,2.5,1.48,2.83,1.5,2.9,1.43,2.72
7,Antwerp,BNP Paribas Fortis Diamond Games,10/02/15,Premier,Indoor,Hard,1st Round,3,Van Uytvanck A.,Rybarikova M.,103,47,544,1046,6,2,6,3,,,2,0,Completed,1.72,2,1.72,2.05,1.8,1.91,1.77,2.16,1.81,2.25,1.73,2.05
7,Antwerp,BNP Paribas Fortis Diamond Games,10/02/15,Premier,Indoor,Hard,1st Round,3,Cornet A.,Bencic B.,19,37,2125,1280,1,6,6,2,7,5,2,1,Completed,1.72,2,1.8,2,1.8,1.91,1.78,2.15,1.94,2.15,1.79,1.97
7,Antwerp,BNP Paribas Fortis Diamond Games,10/02/15,Premier,Indoor,Hard,1st Round,3,Zahlavova Strycova B.,Wickmayer Y.,23,66,1930,849,6,2,6,2,,,2,0,Completed,1.36,3,1.42,2.7,1.4,2.75,1.47,2.88,1.49,3,1.42,2.76
7,Antwerp,BNP Paribas Fortis Diamond Games,10/02/15,Premier,Indoor,Hard,1st Round,3,Barthel M.,Liebens K.,42,327,1133,103,6,2,6,0,,,2,0,Completed,1.2,4.33,1.17,4.6,1.22,4,1.2,5.18,1.23,5.18,1.2,4.4
7,Antwerp,BNP Paribas Fortis Diamond Games,11/02/15,Premier,Indoor,Hard,1st Round,3,Mladenovic K.,Soler Espinosa S.,74,67,780,848,6,2,1,0,,,1,0,Retired,1.28,3.5,1.3,3.2,1.3,3.4,1.42,3.08,1.42,3.55,1.31,3.28
7,Antwerp,BNP Paribas Fortis Diamond Games,11/02/15,Premier,Indoor,Hard,1st Round,3,De Vroome I.,Pironkova T.,247,50,179,991,5,7,6,3,6,3,2,1,Completed,3.75,1.25,3.75,1.22,3.75,1.25,4.25,1.26,4.3,1.29,3.82,1.24
7,Antwerp,BNP Paribas Fortis Diamond Games,11/02/15,Premier,Indoor,Hard,1st Round,3,Pliskova Ka.,Lucic M.,22,56,2015,909,6,4,7,6,,,2,0,Completed,1.2,4.33,1.2,4,1.22,4,1.25,4.4,1.25,4.6,1.21,4.11
7,Antwerp,BNP Paribas Fortis Diamond Games,11/02/15,Premier,Indoor,Hard,1st Round,3,Cibulkova D.,Bondarenko K.,18,195,2137,265,6,1,6,2,,,2,0,Completed,1.3,3.4,1.3,3.2,1.33,3.25,1.29,3.98,1.36,3.98,1.31,3.33
7,Antwerp,BNP Paribas Fortis Diamond Games,11/02/15,Premier,Indoor,Hard,1st Round,3,Niculescu M.,Flipkens K.,57,59,903,880,6,3,6,2,,,2,0,Completed,1.83,1.83,1.88,1.88,2,1.73,1.89,2,2.1,2,1.91,1.85
7,Antwerp,BNP Paribas Fortis Diamond Games,11/02/15,Premier,Indoor,Hard,1st Round,3,Suarez Navarro C.,Giorgi C.,17,31,2295,1455,1,6,6,2,6,4,2,1,Completed,2.25,1.57,2.2,1.62,2.25,1.57,2.12,1.79,2.32,1.79,2.19,1.64
7,Antwerp,BNP Paribas Fortis Diamond Games,11/02/15,Premier,Indoor,Hard,2nd Round,3,Petkovic A.,Van Uytvanck A.,12,103,2735,544,6,7,7,6,6,2,2,1,Completed,1.44,2.62,1.45,2.6,1.4,2.75,1.43,3.05,1.53,3.05,1.45,2.64
7,Antwerp,BNP Paribas Fortis Diamond Games,12/02/15,Premier,Indoor,Hard,2nd Round,3,Pliskova Ka.,Beck A.,22,63,2015,860,6,3,6,3,,,2,0,Completed,1.33,3.25,1.33,3.1,1.4,2.75,1.38,3.32,1.4,3.32,1.35,3.07
7,Antwerp,BNP Paribas Fortis Diamond Games,12/02/15,Premier,Indoor,Hard,2nd Round,3,Cibulkova D.,De Vroome I.,18,247,2137,179,6,3,3,6,6,2,2,1,Completed,1.08,8,1.08,7.5,1.1,6.5,1.1,8.95,1.11,9.5,1.08,7.53
7,Antwerp,BNP Paribas Fortis Diamond Games,12/02/15,Premier,Indoor,Hard,2nd Round,3,Suarez Navarro C.,Niculescu M.,17,57,2295,903,4,6,6,0,6,2,2,1,Completed,1.44,2.62,1.52,2.45,1.5,2.5,1.56,2.6,1.57,2.62,1.51,2.47
7,Antwerp,BNP Paribas Fortis Diamond Games,12/02/15,Premier,Indoor,Hard,2nd Round,3,Safarova L.,Mladenovic K.,15,74,2425,780,6,4,6,1,,,2,0,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.4,3.21,1.45,3.21,1.39,2.88
7,Antwerp,BNP Paribas Fortis Diamond Games,12/02/15,Premier,Indoor,Hard,2nd Round,3,Zahlavova Strycova B.,Cornet A.,23,19,1930,2125,6,4,6,2,,,2,0,Completed,1.66,2.1,1.7,2.05,1.8,1.91,1.93,1.97,1.93,2.2,1.75,2.02
7,Antwerp,BNP Paribas Fortis Diamond Games,12/02/15,Premier,Indoor,Hard,2nd Round,3,Schiavone F.,Kerber A.,81,10,692,3130,6,1,6,1,,,2,0,Completed,3.5,1.28,3.3,1.3,3.5,1.29,3.5,1.35,3.56,1.36,3.35,1.3
7,Antwerp,BNP Paribas Fortis Diamond Games,12/02/15,Premier,Indoor,Hard,2nd Round,3,Barthel M.,Bouchard E.,42,7,1133,4365,4,6,6,1,6,2,2,1,Completed,3.5,1.28,3.25,1.3,3.5,1.29,3.38,1.37,3.6,1.37,3.3,1.31
