ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
43,Atlanta,BB&T Atlanta Open,22/07/13,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Matosevic M.,132,73,431,701,6,2,2,6,6,3,,,,,2,1,Completed,1.4,2.75,1.45,2.7,1.44,2.62,1.53,2.66,1.5,2.63,1.54,2.75,1.48,2.58
43,Atlanta,BB&T Atlanta Open,23/07/13,ATP250,Outdoor,Hard,1st Round,3,Williams R.,Kudla D.,121,93,468,592,7,5,6,4,,,,,,,2,0,Completed,2.62,1.44,2.5,1.5,2.5,1.5,2.56,1.56,2.5,1.53,2.85,1.56,2.54,1.5
43,Atlanta,BB&T Atlanta Open,23/07/13,ATP250,Outdoor,Hard,1st Round,3,Berankis R.,Zverev M.,80,144,641,393,7,6,2,6,7,6,,,,,2,1,Completed,1.57,2.25,1.65,2.2,1.67,2.1,1.67,2.33,1.62,2.25,1.73,2.46,1.64,2.21
43,Atlanta,BB&T Atlanta Open,23/07/13,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,King K.,60,790,790,20,6,3,7,5,,,,,,,2,0,Completed,1.14,5.5,1.16,5,1.22,4,1.16,5.88,1.22,4,1.22,5.88,1.17,4.87
43,Atlanta,BB&T Atlanta Open,23/07/13,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Roger-Vasselin E.,64,71,755,708,6,4,6,4,,,,,,,2,0,Completed,1.33,3.25,1.33,3.2,1.33,3.25,1.41,3.13,1.36,3,1.41,3.5,1.36,3.07
43,Atlanta,BB&T Atlanta Open,23/07/13,ATP250,Outdoor,Hard,1st Round,3,Donskoy E.,Ram R.,72,106,706,545,6,3,6,4,,,,,,,2,0,Completed,1.61,2.2,1.7,2.1,1.62,2.2,1.71,2.24,1.73,2.1,1.8,2.26,1.69,2.12
43,Atlanta,BB&T Atlanta Open,23/07/13,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,Sock J.,88,95,603,583,7,5,6,4,,,,,,,2,0,Completed,2.25,1.57,2.3,1.6,2.38,1.53,2.33,1.67,2.25,1.62,2.5,1.67,2.28,1.6
43,Atlanta,BB&T Atlanta Open,23/07/13,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Lacko L.,66,84,745,610,6,1,6,3,,,,,,,2,0,Completed,1.44,2.62,1.5,2.5,1.53,2.38,1.54,2.62,1.53,2.5,1.57,2.75,1.51,2.49
43,Atlanta,BB&T Atlanta Open,24/07/13,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Karlovic I.,117,87,483,605,6,2,,,,,,,,,1,0,Retired,2.37,1.53,2.2,1.6,2.2,1.62,2.33,1.67,2.25,1.62,2.75,1.7,2.26,1.61
43,Atlanta,BB&T Atlanta Open,24/07/13,ATP250,Outdoor,Hard,1st Round,3,Harrison C.,Falla A.,373,83,104,611,6,1,6,7,6,2,,,,,2,1,Completed,3.5,1.28,3.5,1.25,3.5,1.29,4.06,1.28,3.5,1.29,4.33,1.3,3.68,1.27
43,Atlanta,BB&T Atlanta Open,24/07/13,ATP250,Outdoor,Hard,1st Round,3,Blake J.,Smyczek T.,91,124,598,463,7,6,4,6,7,6,,,,,2,1,Completed,1.72,2,1.75,1.95,1.73,2,1.71,2.25,1.83,1.91,1.85,2.25,1.75,2.03
43,Atlanta,BB&T Atlanta Open,25/07/13,ATP250,Outdoor,Hard,1st Round,3,Russell M.,Fish M.,85,63,610,765,4,6,6,2,7,5,,,,,2,1,Completed,2.1,1.66,2.05,1.75,2,1.73,2.09,1.81,2,1.8,2.31,1.81,2.07,1.72
43,Atlanta,BB&T Atlanta Open,24/07/13,ATP250,Outdoor,Hard,2nd Round,3,Hewitt L.,Williams R.,64,121,755,468,7,6,6,4,,,,,,,2,0,Completed,1.3,3.4,1.3,3.2,1.25,3.75,1.3,3.89,1.29,3.5,1.33,3.89,1.29,3.5
43,Atlanta,BB&T Atlanta Open,24/07/13,ATP250,Outdoor,Hard,2nd Round,3,Dodig I.,Berankis R.,36,80,1058,641,6,1,6,7,6,3,,,,,2,1,Completed,1.36,3,1.35,2.9,1.36,3,1.37,3.39,,,1.41,3.65,1.37,3.03
43,Atlanta,BB&T Atlanta Open,25/07/13,ATP250,Outdoor,Hard,2nd Round,3,Harrison R.,Sijsling I.,132,59,431,807,6,4,6,3,,,,,,,2,0,Completed,1.72,2,1.85,1.85,1.83,1.83,1.95,1.95,1.83,1.91,1.95,2.15,1.85,1.9
43,Atlanta,BB&T Atlanta Open,25/07/13,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,Lu Y.H.,66,60,745,790,7,5,6,2,,,,,,,2,0,Completed,1.57,2.25,1.65,2.1,1.57,2.25,1.81,2.12,1.62,2.25,1.81,2.6,1.66,2.17
43,Atlanta,BB&T Atlanta Open,25/07/13,ATP250,Outdoor,Hard,2nd Round,3,Blake J.,Donskoy E.,91,72,598,706,6,3,6,2,,,,,,,2,0,Completed,1.61,2.2,1.65,2.1,1.67,2.1,1.75,2.2,1.73,2.1,1.83,2.45,1.68,2.13
43,Atlanta,BB&T Atlanta Open,25/07/13,ATP250,Outdoor,Hard,2nd Round,3,Giraldo S.,Russell M.,88,85,603,610,5,7,6,3,3,0,,,,,1,1,Retired,1.57,2.25,1.65,2.1,1.67,2.1,1.63,2.44,1.62,2.25,1.73,2.6,1.64,2.21
43,Atlanta,BB&T Atlanta Open,26/07/13,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,Harrison C.,22,373,1610,104,7,6,4,6,7,5,,,,,2,1,Completed,1.08,8,1.08,6.5,1.1,6.5,1.1,8.6,1.08,8,1.13,8.6,1.09,7.1
43,Atlanta,BB&T Atlanta Open,26/07/13,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,Ebden M.,21,117,1635,483,6,7,6,2,6,2,,,,,2,1,Completed,1.18,4.5,1.2,4,1.25,3.75,1.24,4.6,1.22,4,1.25,5.2,1.22,4.14
43,Atlanta,BB&T Atlanta Open,26/07/13,ATP250,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Dodig I.,64,36,755,1058,1,6,6,3,6,0,,,,,2,1,Completed,2.25,1.57,2.05,1.7,2.1,1.67,2.34,1.69,2.1,1.73,2.38,1.75,2.13,1.69
43,Atlanta,BB&T Atlanta Open,26/07/13,ATP250,Outdoor,Hard,Quarterfinals,3,Isner J.,Blake J.,22,91,1610,598,7,6,7,6,,,,,,,2,0,Completed,1.36,3,1.38,2.8,1.4,2.75,1.41,3.21,1.4,2.88,1.42,3.3,1.38,2.97
43,Atlanta,BB&T Atlanta Open,27/07/13,ATP250,Outdoor,Hard,Quarterfinals,3,Harrison R.,Giraldo S.,132,88,431,603,6,3,3,6,7,6,,,,,2,1,Completed,1.57,2.25,1.62,2.15,1.62,2.2,1.67,2.38,1.62,2.25,1.71,2.52,1.64,2.21
43,Atlanta,BB&T Atlanta Open,27/07/13,ATP250,Outdoor,Hard,Quarterfinals,3,Anderson K.,Istomin D.,21,66,1635,745,6,3,3,6,6,3,,,,,2,1,Completed,1.3,3.4,1.35,2.9,1.4,2.75,1.4,3.26,1.36,3,1.4,3.5,1.35,3.1
43,Atlanta,BB&T Atlanta Open,27/07/13,ATP250,Outdoor,Hard,Semifinals,3,Isner J.,Hewitt L.,22,64,1610,755,6,4,4,6,7,6,,,,,2,1,Completed,1.72,2.1,1.7,2.05,1.73,2,1.81,2.14,1.73,2.1,1.94,2.14,1.75,2.04
43,Atlanta,BB&T Atlanta Open,28/07/13,ATP250,Outdoor,Hard,Semifinals,3,Anderson K.,Harrison R.,21,132,1635,431,6,3,7,6,,,,,,,2,0,Completed,1.36,3.25,1.35,2.9,1.36,3,1.38,3.45,1.33,3.25,1.4,3.5,1.35,3.1
43,Atlanta,BB&T Atlanta Open,28/07/13,ATP250,Outdoor,Hard,The Final,3,Isner J.,Anderson K.,22,21,1610,1635,6,7,7,6,7,6,,,,,2,1,Completed,1.8,2,1.8,1.9,1.8,2,1.99,1.93,1.8,2,1.99,2.1,1.82,1.96
