ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
44,Atlanta,BB&T Atlanta Open,23/07/18,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Hurkacz H.,68,125,795,474,1,6,7,6,7,6,,,,,2,1,Completed,1.44,2.62,1.47,2.5,1.44,2.75,1.51,2.73,1.56,2.85,1.5,2.59
44,Atlanta,BB&T Atlanta Open,23/07/18,ATP250,Outdoor,Hard,1st Round,3,Lacko L.,Gunneswaran P.,71,186,771,308,6,2,6,2,,,,,,,2,0,Completed,1.57,2.25,1.5,2.4,1.53,2.37,1.53,2.67,1.65,2.68,1.56,2.44
44,Atlanta,BB&T Atlanta Open,24/07/18,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Jaziri M.,73,60,753,898,7,5,6,0,,,,,,,2,0,Completed,1.61,2.2,1.6,2.2,1.61,2.25,1.64,2.38,1.67,2.45,1.61,2.31
44,Atlanta,BB&T Atlanta Open,24/07/18,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Berankis R.,43,96,1025,599,6,4,6,3,,,,,,,2,0,Completed,1.44,2.62,1.45,2.55,1.5,2.62,1.48,2.84,1.53,2.84,1.48,2.63
44,Atlanta,BB&T Atlanta Open,24/07/18,ATP250,Outdoor,Hard,1st Round,3,Fritz T.,Ramanathan R.,65,115,849,493,6,4,6,4,,,,,,,2,0,Completed,1.3,3.4,1.3,3.2,1.33,3.4,1.37,3.34,1.37,3.5,1.33,3.33
44,Atlanta,BB&T Atlanta Open,24/07/18,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Duckworth J.,53,660,920,38,4,6,7,6,6,1,,,,,2,1,Completed,1.36,3,1.37,2.85,1.4,3,1.46,2.92,1.46,3.14,1.42,2.88
44,Atlanta,BB&T Atlanta Open,24/07/18,ATP250,Outdoor,Hard,1st Round,3,Young D.,Karlovic I.,230,117,242,490,2,6,7,6,7,6,,,,,2,1,Completed,2.62,1.44,2.3,1.55,2.37,1.57,2.67,1.53,2.7,1.57,2.59,1.5
44,Atlanta,BB&T Atlanta Open,24/07/18,ATP250,Outdoor,Hard,1st Round,3,Rubin N.,Kokkinakis T.,164,172,341,329,6,3,6,4,,,,,,,2,0,Completed,2.5,1.5,2.55,1.45,2.75,1.44,2.8,1.49,2.85,1.55,2.64,1.48
44,Atlanta,BB&T Atlanta Open,24/07/18,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Copil M.,42,93,1030,617,6,4,6,4,,,,,,,2,0,Completed,1.33,3.25,1.32,3.1,1.36,3.25,1.33,3.58,1.4,3.8,1.32,3.44
44,Atlanta,BB&T Atlanta Open,24/07/18,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Smyczek T.,45,102,1005,556,6,3,6,7,6,3,,,,,2,1,Completed,1.57,2.25,1.53,2.35,1.5,2.62,1.58,2.53,1.67,2.59,1.58,2.41
44,Atlanta,BB&T Atlanta Open,25/07/18,ATP250,Outdoor,Hard,1st Round,3,Youzhny M.,Reinberg E.,105,1032,536,9,6,2,6,0,,,,,,,2,0,Completed,1.12,6,1.11,5.6,1.12,6,1.14,6.49,1.15,7.4,1.12,6.27
44,Atlanta,BB&T Atlanta Open,25/07/18,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Bolt A.,95,169,599,333,6,4,6,1,,,,,,,2,0,Completed,1.61,2.2,1.57,2.25,1.57,2.37,1.68,2.31,1.7,2.4,1.64,2.28
44,Atlanta,BB&T Atlanta Open,25/07/18,ATP250,Outdoor,Hard,2nd Round,3,Chung H.,Fritz T.,23,65,1685,849,6,4,7,6,,,,,,,2,0,Completed,2,1.72,1.95,1.75,2,1.8,1.92,1.99,2.05,1.99,1.97,1.84
44,Atlanta,BB&T Atlanta Open,25/07/18,ATP250,Outdoor,Hard,2nd Round,3,Harrison R.,Lacko L.,53,71,920,771,2,6,6,2,6,3,,,,,2,1,Completed,1.53,2.37,1.57,2.25,1.61,2.25,1.65,2.4,1.71,2.44,1.62,2.31
44,Atlanta,BB&T Atlanta Open,25/07/18,ATP250,Outdoor,Hard,2nd Round,3,Zverev M.,Youzhny M.,45,105,1005,536,6,4,6,2,,,,,,,2,0,Completed,1.44,2.62,1.47,2.5,1.5,2.62,1.48,2.88,1.54,2.88,1.5,2.59
44,Atlanta,BB&T Atlanta Open,26/07/18,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,De Minaur A.,9,68,3490,795,6,3,6,2,,,,,,,2,0,Completed,1.25,3.75,1.25,3.6,1.28,3.75,1.26,4.3,1.3,4.4,1.25,3.94
44,Atlanta,BB&T Atlanta Open,26/07/18,ATP250,Outdoor,Hard,2nd Round,3,Ebden M.,Young D.,55,230,917,242,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.53,2.35,1.53,2.5,1.58,2.55,1.62,2.55,1.57,2.42
44,Atlanta,BB&T Atlanta Open,26/07/18,ATP250,Outdoor,Hard,2nd Round,3,Baghdatis M.,Tiafoe F.,95,42,599,1030,7,5,6,1,,,,,,,2,0,Completed,2.62,1.44,2.55,1.45,2.62,1.5,2.75,1.51,2.75,1.56,2.59,1.51
44,Atlanta,BB&T Atlanta Open,26/07/18,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Chardy J.,73,43,753,1025,5,7,6,4,6,4,,,,,2,1,Completed,2.37,1.53,2.35,1.53,2.5,1.53,2.44,1.63,2.6,1.63,2.44,1.56
44,Atlanta,BB&T Atlanta Open,27/07/18,ATP250,Outdoor,Hard,2nd Round,3,Kyrgios N.,Rubin N.,18,164,1935,341,7,5,6,2,,,,,,,2,0,Completed,1.2,4.5,1.17,4.4,1.17,5,1.22,4.93,1.22,5.05,1.19,4.71
44,Atlanta,BB&T Atlanta Open,27/07/18,ATP250,Outdoor,Hard,Quarterfinals,3,Ebden M.,Baghdatis M.,55,95,917,599,6,3,6,2,,,,,,,2,0,Completed,2.3,1.61,2.2,1.6,2.2,1.67,2.21,1.76,2.3,1.76,2.21,1.67
44,Atlanta,BB&T Atlanta Open,27/07/18,ATP250,Outdoor,Hard,Quarterfinals,3,Isner J.,Zverev M.,9,45,3490,1005,7,5,4,6,6,1,,,,,2,1,Completed,1.3,3.4,1.3,3.2,1.36,3.25,1.34,3.62,1.36,3.7,1.33,3.35
44,Atlanta,BB&T Atlanta Open,27/07/18,ATP250,Outdoor,Hard,Quarterfinals,3,Harrison R.,Chung H.,53,23,920,1685,6,7,6,2,7,6,,,,,2,1,Completed,3,1.4,2.8,1.38,3,1.4,3.11,1.43,3.11,1.45,2.9,1.42
44,Atlanta,BB&T Atlanta Open,28/07/18,ATP250,Outdoor,Hard,Quarterfinals,3,Norrie C.,Kyrgios N.,73,18,753,1935,7,5,3,0,,,,,,,1,0,Retired,4.33,1.22,3.95,1.21,4,1.22,4.78,1.23,4.8,1.27,4.33,1.22
44,Atlanta,BB&T Atlanta Open,28/07/18,ATP250,Outdoor,Hard,Semifinals,3,Isner J.,Ebden M.,9,55,3490,917,6,4,6,7,6,1,,,,,2,1,Completed,1.2,4.5,1.19,4.2,1.22,4.33,1.22,4.98,1.23,5.1,1.2,4.59
44,Atlanta,BB&T Atlanta Open,29/07/18,ATP250,Outdoor,Hard,Semifinals,3,Harrison R.,Norrie C.,53,73,920,753,2,6,6,3,6,2,,,,,2,1,Completed,1.8,2,1.75,1.95,1.8,2,1.85,2.09,1.85,2.15,1.79,2.03
44,Atlanta,BB&T Atlanta Open,29/07/18,ATP250,Outdoor,Hard,The Final,3,Isner J.,Harrison R.,9,53,3490,920,5,7,6,3,6,4,,,,,2,1,Completed,1.28,3.75,1.25,3.6,1.28,3.75,1.28,4.18,1.3,4.2,1.27,3.84
