ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
44,Atlanta,Atlanta Open,25/07/2022,ATP250,Outdoor,Hard,1st Round,3,Kwon S.W.,Giron M.,76,55,657,830,7,6,4,6,7,5,,,,,2,1,Completed,2.1,1.72,2.14,1.78,2.38,1.78,2.1,1.71
44,Atlanta,Atlanta Open,25/07/2022,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Korda S.,101,57,535,817,1,6,6,1,6,3,,,,,2,1,Completed,2.62,1.5,2.59,1.56,2.62,1.61,2.51,1.51
44,Atlanta,Atlanta Open,25/07/2022,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Thompson J.,56,95,824,552,7,6,3,6,6,3,,,,,2,1,Completed,1.22,4.33,1.21,4.92,1.34,4.92,1.22,4.1
44,Atlanta,Atlanta Open,25/07/2022,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Popyrin A.,81,84,631,624,7,6,4,6,6,3,,,,,2,1,Completed,1.9,1.9,1.97,1.92,2,1.95,1.92,1.86
44,Atlanta,Atlanta Open,26/07/2022,ATP250,Outdoor,Hard,1st Round,3,Brooksby J.,Paire B.,43,94,1037,556,6,3,6,1,,,,,,,2,0,Completed,1.12,6,1.13,6.81,1.16,8.1,1.12,5.88
44,Atlanta,Atlanta Open,26/07/2022,ATP250,Outdoor,Hard,1st Round,3,Ivashka I.,Halys Q.,53,74,885,659,6,0,3,6,6,3,,,,,2,1,Completed,1.57,2.37,1.58,2.52,1.64,2.55,1.6,2.3
44,Atlanta,Atlanta Open,26/07/2022,ATP250,Outdoor,Hard,1st Round,3,Paul T.,Sock J.,36,106,1195,525,6,1,6,1,,,,,,,2,0,Completed,1.61,2.3,1.61,2.46,1.67,2.6,1.59,2.33
44,Atlanta,Atlanta Open,26/07/2022,ATP250,Outdoor,Hard,1st Round,3,Mcdonald M.,Kudla D.,51,83,946,625,6,2,7,6,,,,,,,2,0,Completed,1.44,2.75,1.45,2.94,1.45,3.15,1.42,2.83
44,Atlanta,Atlanta Open,26/07/2022,ATP250,Outdoor,Hard,1st Round,3,Shelton B.,Ramanathan R.,281,229,171,226,6,2,7,5,,,,,,,2,0,Completed,1.57,2.37,1.62,2.43,1.68,2.62,1.6,2.31
44,Atlanta,Atlanta Open,27/07/2022,ATP250,Outdoor,Hard,1st Round,3,Martin A.,Kokkinakis T.,203,69,260,706,6,3,6,2,,,,,,,2,0,Completed,6,1.12,5.88,1.16,6.5,1.2,5.3,1.15
44,Atlanta,Atlanta Open,27/07/2022,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Koepfer D.,62,141,751,386,6,1,6,7,6,3,,,,,2,1,Completed,1.72,2.1,1.66,2.34,1.78,2.34,1.68,2.15
44,Atlanta,Atlanta Open,27/07/2022,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,Gojowczyk P.,78,88,655,607,6,3,7,6,,,,,,,2,0,Completed,,,,,,,,
44,Atlanta,Atlanta Open,27/07/2022,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Kwon S.W.,36,76,1195,657,6,3,6,3,,,,,,,2,0,Completed,1.36,3.2,1.36,3.48,1.4,3.77,1.33,3.24
44,Atlanta,Atlanta Open,27/07/2022,ATP250,Outdoor,Hard,2nd Round,3,Nakashima B.,Millman J.,56,81,824,631,7,6,6,4,,,,,,,2,0,Completed,1.33,3.4,1.3,3.89,1.33,3.89,1.3,3.46
44,Atlanta,Atlanta Open,27/07/2022,ATP250,Outdoor,Hard,2nd Round,3,Tiafoe F.,Daniel T.,29,101,1349,535,7,5,6,4,,,,,,,2,0,Completed,1.57,2.37,1.56,2.62,1.6,2.66,1.54,2.43
44,Atlanta,Atlanta Open,28/07/2022,ATP250,Outdoor,Hard,2nd Round,3,Ivashka I.,Johnson S.,53,91,885,582,4,6,6,2,6,4,,,,,2,1,Completed,1.33,3.4,1.37,3.33,1.4,3.4,1.35,3.15
44,Atlanta,Atlanta Open,28/07/2022,ATP250,Outdoor,Hard,2nd Round,3,Mannarino A.,Martin A.,78,203,655,260,7,5,6,3,,,,,,,2,0,Completed,1.3,3.5,1.29,3.99,1.32,3.99,1.27,3.63
44,Atlanta,Atlanta Open,28/07/2022,ATP250,Outdoor,Hard,2nd Round,3,Brooksby J.,Mcdonald M.,43,51,1037,946,6,3,6,4,,,,,,,2,0,Completed,1.5,2.62,1.57,2.59,1.57,2.8,1.5,2.55
44,Atlanta,Atlanta Open,29/07/2022,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,Duckworth J.,30,62,1345,751,6,4,6,4,,,,,,,2,0,Completed,1.3,3.5,1.35,3.52,1.35,3.68,1.31,3.4
44,Atlanta,Atlanta Open,29/07/2022,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,Shelton B.,25,281,1468,171,7,6,4,6,7,6,,,,,2,1,Completed,1.36,3.2,1.37,3.41,1.4,3.41,1.34,3.19
44,Atlanta,Atlanta Open,29/07/2022,ATP250,Outdoor,Hard,Quarterfinals,3,Ivashka I.,Paul T.,53,36,885,1195,6,2,3,6,6,1,,,,,2,1,Completed,2.62,1.5,2.72,1.52,2.79,1.53,2.62,1.48
44,Atlanta,Atlanta Open,29/07/2022,ATP250,Outdoor,Hard,Quarterfinals,3,De Minaur A.,Mannarino A.,30,78,1345,655,4,6,6,3,6,0,,,,,2,1,Completed,1.25,4,1.32,3.76,1.32,4.11,1.27,3.69
44,Atlanta,Atlanta Open,29/07/2022,ATP250,Outdoor,Hard,Quarterfinals,3,Tiafoe F.,Nakashima B.,29,56,1349,824,6,4,6,2,,,,,,,2,0,Completed,1.8,2,1.81,2.11,2,2.11,1.82,1.98
44,Atlanta,Atlanta Open,30/07/2022,ATP250,Outdoor,Hard,Quarterfinals,3,Brooksby J.,Isner J.,43,25,1037,1468,3,6,6,1,6,4,,,,,2,1,Completed,1.57,2.37,1.54,2.68,1.67,2.68,1.54,2.45
44,Atlanta,Atlanta Open,30/07/2022,ATP250,Outdoor,Hard,Semifinals,3,De Minaur A.,Ivashka I.,30,53,1345,885,5,7,6,2,6,2,,,,,2,1,Completed,1.53,2.5,1.63,2.44,1.63,2.58,1.56,2.42
44,Atlanta,Atlanta Open,31/07/2022,ATP250,Outdoor,Hard,Semifinals,3,Brooksby J.,Tiafoe F.,43,29,1037,1349,6,1,6,4,,,,,,,2,0,Completed,1.72,2.1,2.02,1.88,2.18,2.1,1.88,1.9
44,Atlanta,Atlanta Open,31/07/2022,ATP250,Outdoor,Hard,The Final,3,De Minaur A.,Brooksby J.,30,43,1345,1037,6,3,6,3,,,,,,,2,0,Completed,2.1,1.72,2.14,1.79,2.21,1.86,2.11,1.72
