ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
4,Auckland,ASB Classic,08/01/2023,ATP250,Outdoor,Hard,1st Round,3,Lestienne C.,Cachin P.,65,59,760,809,6,3,6,1,,,,,,,2,0,Completed,1.62,2.3,1.65,2.38,1.71,2.38,1.64,2.23
4,Auckland,ASB Classic,09/01/2023,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Bublik A.,53,36,870,1130,6,3,6,4,,,,,,,2,0,Completed,2.1,1.73,2.28,1.69,2.28,1.8,2.13,1.7
4,Auckland,ASB Classic,09/01/2023,ATP250,Outdoor,Hard,1st Round,3,Brooksby J.,Fognini F.,48,57,920,843,6,7,6,1,6,3,,,,,2,1,Completed,1.4,3,1.41,3.13,1.44,3.15,1.39,2.94
4,Auckland,ASB Classic,09/01/2023,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Pannu K.,67,575,740,54,6,3,6,1,,,,,,,2,0,Completed,1.06,10,1.06,12.25,1.06,12.25,1.05,9.76
4,Auckland,ASB Classic,09/01/2023,ATP250,Outdoor,Hard,1st Round,3,Wolf J.J.,Mannarino A.,66,43,746,971,6,4,7,6,,,,,,,2,0,Completed,2,1.8,2.12,1.79,2.12,1.83,2.03,1.77
4,Auckland,ASB Classic,09/01/2023,ATP250,Outdoor,Hard,1st Round,3,Barrere G.,Isner J.,88,42,603,980,6,7,7,6,6,3,,,,,2,1,Completed,2.5,1.53,2.39,1.64,2.7,1.64,2.42,1.55
4,Auckland,ASB Classic,09/01/2023,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Coria F.,60,76,796,695,6,7,6,4,7,5,,,,,2,1,Completed,1.14,5.5,1.23,4.66,1.25,5.5,1.19,4.71
4,Auckland,ASB Classic,10/01/2023,ATP250,Outdoor,Hard,1st Round,3,Eubanks C.,Humbert U.,123,108,462,523,7,6,7,6,,,,,,,2,0,Completed,2.1,1.73,2.14,1.78,2.24,1.81,2.1,1.72
4,Auckland,ASB Classic,10/01/2023,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Molcan A.,64,54,771,850,6,3,6,4,,,,,,,2,0,Completed,1.36,3.2,1.44,2.99,1.44,3.25,1.39,2.93
4,Auckland,ASB Classic,10/01/2023,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Monteiro T.,78,69,685,729,6,3,7,5,,,,,,,2,0,Completed,1.57,2.38,1.57,2.54,1.58,2.55,1.54,2.43
4,Auckland,ASB Classic,10/01/2023,ATP250,Outdoor,Hard,1st Round,3,Shelton B.,Baez S.,92,41,584,987,7,6,6,1,,,,,,,2,0,Completed,1.4,3,1.47,2.86,1.51,3.1,1.43,2.79
4,Auckland,ASB Classic,10/01/2023,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Munar J.,70,62,713,777,3,6,6,1,7,6,,,,,2,1,Completed,1.73,2.1,1.78,2.15,1.81,2.21,1.75,2.06
4,Auckland,ASB Classic,10/01/2023,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Wolf J.J.,60,66,796,746,6,4,6,4,,,,,,,2,0,Completed,2.2,1.67,2.34,1.68,2.36,1.7,2.22,1.65
4,Auckland,ASB Classic,10/01/2023,ATP250,Outdoor,Hard,2nd Round,3,Brooksby J.,Schwartzman D.,48,25,920,1550,6,1,,,,,,,,,1,0,Retired,1.53,2.5,1.54,2.67,1.57,2.67,1.52,2.51
4,Auckland,ASB Classic,11/01/2023,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Lehecka J.,12,78,2575,685,6,4,6,7,6,3,,,,,2,1,Completed,1.25,4,1.32,3.72,1.32,4.11,1.28,3.68
4,Auckland,ASB Classic,11/01/2023,ATP250,Outdoor,Hard,2nd Round,3,Gasquet R.,Sousa J.,67,82,740,638,7,6,6,2,,,,,,,2,0,Completed,1.36,3.2,1.48,2.87,1.48,3.4,1.41,2.89
4,Auckland,ASB Classic,11/01/2023,ATP250,Outdoor,Hard,2nd Round,3,Halys Q.,Shelton B.,64,92,771,584,6,3,6,2,,,,,,,2,0,Completed,1.8,2,1.71,2.27,1.82,2.28,1.73,2.11
4,Auckland,ASB Classic,11/01/2023,ATP250,Outdoor,Hard,2nd Round,3,Goffin D.,Eubanks C.,53,123,870,462,6,2,6,4,,,,,,,2,0,Completed,1.57,2.38,1.62,2.46,1.63,2.61,1.54,2.46
4,Auckland,ASB Classic,11/01/2023,ATP250,Outdoor,Hard,2nd Round,3,Lestienne C.,Barrere G.,65,88,760,603,1,6,7,6,7,5,,,,,2,1,Completed,1.91,1.91,1.91,2,1.92,2,1.86,1.93
4,Auckland,ASB Classic,11/01/2023,ATP250,Outdoor,Hard,2nd Round,3,Djere L.,Ruud C.,70,3,713,5720,3,6,6,3,7,6,,,,,2,1,Completed,5,1.17,5.03,1.21,5.75,1.21,4.82,1.18
4,Auckland,ASB Classic,12/01/2023,ATP250,Outdoor,Hard,Quarterfinals,3,Norrie C.,Giron M.,12,60,2575,796,6,1,6,7,6,2,,,,,2,1,Completed,1.29,3.75,1.34,3.61,1.34,3.66,1.31,3.47
