WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Kirilenko M.,Sharapova M.,58,14,1115,2820,7,6,3,6,6,4,2,1,Completed,6,1.11,5.2,1.14,6,1.111,6.16,1.167,5,1.143
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Safina D.,Rybarikova M.,2,47,7600,1325,6,4,6,4,,,2,0,Completed,1.16,4.5,1.17,4.67,1.2,4.333,1.233,4.8,1.222,3.75
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Wickmayer Y.,Dulgheru A.,16,53,2605,1228,1,6,7,5,7,6,2,1,Completed,1.02,12,1.04,9.25,1.05,8.5,1.037,18,1.05,8
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Zheng J.,Peng S.,35,43,1640,1425,0,6,6,1,6,2,2,1,Completed,1.44,2.62,1.45,2.6,1.4,2.75,1.56,2.63,1.444,2.625
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Baltacha E.,Parmentier P.,83,105,775,591,6,4,3,6,7,5,2,1,Completed,1.53,2.37,1.6,2.25,1.667,2.1,1.571,2.61,1.667,2.1
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Meusburger Y.,Bacsinszky T.,114,50,541,1247,6,4,4,6,6,2,2,1,Completed,3.25,1.33,3.1,1.35,2.75,1.4,3.49,1.364,2.75,1.4
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Sevastova A.,39,80,1505,802,6,2,6,4,,,2,0,Completed,1.25,3.75,1.25,3.75,1.286,3.5,1.313,3.88,1.25,3.5
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Bondarenko K.,Olaru I.,32,68,1740,928,6,2,7,6,,,2,0,Completed,1.16,4.5,1.23,3.89,1.167,4.5,1.222,4.96,1.167,4.5
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Pennetta F.,Chakvetadze A.,12,66,3220,933,6,3,3,6,6,2,2,1,Completed,1.16,4.5,1.17,4.7,1.2,4.333,1.2,5.37,1.222,3.75
5,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,3,Martinez-Sanchez M.J.,Rodina E.,27,98,1970,646,6,0,6,0,,,2,0,Completed,1.22,4,1.2,4.24,1.222,4,1.299,4.01,1.222,3.75
