WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
35,Bad Gastein,Gastein Ladies,20/07/09,International,Outdoor,Clay,1st Round,3,Olaru I.,Domachowska M.,66,135,925,476,5,7,6,4,6,3,2,1,Completed,1.4,2.75,1.45,2.6,1.44,2.62,,,1.44,2.7
35,Bad Gastein,Gastein Ladies,20/07/09,International,Outdoor,Clay,1st Round,3,Petkovic A.,Kloesel S.,98,791,699,22,6,4,6,3,,,2,0,Completed,1.22,4,,,1.25,3.75,,,1.25,3.8
35,Bad Gastein,Gastein Ladies,20/07/09,International,Outdoor,Clay,1st Round,3,Malek T.,Suarez Navarro C.,77,31,800,1634,2,6,6,2,6,4,2,1,Completed,4,1.22,3.46,1.28,3.75,1.28,,,4,1.23
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Benesova I.,Dulgheru A.,30,74,1666,837,7,6,6,3,,,2,0,Completed,1.57,2.25,1.65,2.15,1.571,2.25,,,1.72,2.08
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Zahlavova Strycova B.,Zahlavova S.,127,116,510,568,6,1,2,6,6,4,2,1,Completed,1.83,1.83,2.2,1.6,1.833,1.833,,,2,1.77
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Mayr P.,Dominguez Lino L.,75,94,833,709,6,3,6,3,,,2,0,Completed,1.83,1.83,1.87,1.87,1.83,1.83,,,1.84,1.92
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Cornet A.,Duque Marino M.,28,131,1741,493,4,6,7,6,6,4,2,1,Completed,1.28,3.5,1.3,3.35,1.3,3.4,1.333,3,1.33,3.2
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Llagostera Vives N.,Hradecka L.,102,69,660,891,6,2,6,2,,,2,0,Completed,2.62,1.44,2.53,1.48,2.5,1.5,,,2.52,1.5
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Shvedova Y.,Jurikova L.,57,307,1009,145,6,1,6,0,,,2,0,Completed,1.16,4.5,,,1.2,4.333,1.2,4,1.19,4.5
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Groenefeld A.L.,Ondraskova Z.,50,186,1192,309,6,4,6,3,,,2,0,Completed,1.22,4,1.2,4.25,1.222,4,1.22,3.75,1.21,4.2
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Rybarikova M.,Koryttseva M.,46,126,1280,521,6,3,6,1,,,2,0,Completed,1.57,2.25,1.7,2.1,1.615,2.2,1.615,2.2,1.64,2.2
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Meusburger Y.,Fichman S.,159,205,395,263,6,4,6,3,,,2,0,Completed,1.9,1.8,2.05,1.75,1.833,1.833,2,1.73,2,1.77
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Peer S.,Schiechtl T.,62,399,960,97,6,4,6,3,,,2,0,Completed,1.07,7.5,1.07,7.19,1.071,7.5,1.06,7.5,1.08,7.5
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Parmentier P.,Klaschka C.,120,171,537,358,6,1,6,1,,,2,0,Completed,1.33,3.25,,,1.3,3.4,1.33,3,1.35,3.1
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Bammer S.,Vierin N.,22,213,1870,256,7,5,6,4,,,2,0,Completed,,,,,,,,,,
35,Bad Gastein,Gastein Ladies,21/07/09,International,Outdoor,Clay,1st Round,3,Hladikova T.,Klaffner M.,258,263,192,184,6,4,2,6,6,4,2,1,Completed,2.5,1.5,2.45,1.5,2.25,1.57,2.38,1.53,2.42,1.54
35,Bad Gastein,Gastein Ladies,22/07/09,International,Outdoor,Clay,2nd Round,3,Rybarikova M.,Parmentier P.,46,120,1280,537,6,3,4,6,6,4,2,1,Completed,1.4,2.75,1.4,2.75,1.444,2.625,1.444,2.625,1.46,2.64
35,Bad Gastein,Gastein Ladies,22/07/09,International,Outdoor,Clay,2nd Round,3,Shvedova Y.,Peer S.,57,62,1009,960,6,2,6,1,,,2,0,Completed,1.72,2,1.75,2.05,1.833,1.833,1.727,2,1.78,1.98
35,Bad Gastein,Gastein Ladies,22/07/09,International,Outdoor,Clay,2nd Round,3,Meusburger Y.,Malek T.,159,77,395,800,6,2,2,6,6,4,2,1,Completed,2.75,1.4,2.6,1.45,2.75,1.4,2.75,1.4,2.9,1.39
35,Bad Gastein,Gastein Ladies,22/07/09,International,Outdoor,Clay,2nd Round,3,Groenefeld A.L.,Hladikova T.,50,258,1192,192,6,3,6,2,,,2,0,Completed,1.1,6.5,1.15,5.2,1.1,6.5,1.1,6,1.14,5.5
35,Bad Gastein,Gastein Ladies,23/07/09,International,Outdoor,Clay,2nd Round,3,Petkovic A.,Benesova I.,98,30,699,1666,6,1,,,,,1,0,Retired,2.87,1.38,2.75,1.42,2.625,1.444,2.63,1.44,2.67,1.45
35,Bad Gastein,Gastein Ladies,23/07/09,International,Outdoor,Clay,2nd Round,3,Olaru I.,Bammer S.,66,22,925,1870,4,6,6,2,6,1,2,1,Completed,3.5,1.28,3.1,1.35,3.4,1.3,3.25,1.286,3,1.37
35,Bad Gastein,Gastein Ladies,23/07/09,International,Outdoor,Clay,2nd Round,3,Zahlavova Strycova B.,Llagostera Vives N.,127,102,510,660,6,0,6,3,,,2,0,Completed,2.62,1.44,2.35,1.55,2.5,1.5,2.25,1.571,2.32,1.58
