ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
52,Bangkok,Thailand Open,27/09/10,ATP250,Indoor,Hard,1st Round,3,Serra F.,Gabashvili T.,70,99,700,565,6,7,6,4,6,4,,,,,2,1,Completed,1.72,2,1.8,1.95,1.83,1.83,1.85,2.09,1.83,1.83,1.9,2.1,1.78,1.96
52,Bangkok,Thailand Open,27/09/10,ATP250,Indoor,Hard,1st Round,3,Brands D.,Marchenko I.,81,74,641,686,6,3,6,4,,,,,,,2,0,Completed,2.5,1.5,2.35,1.55,2.25,1.57,2.52,1.61,2.38,1.53,2.52,1.61,2.4,1.54
52,Bangkok,Thailand Open,27/09/10,ATP250,Indoor,Hard,1st Round,3,De Bakker T.,Lopez M.,47,729,973,20,7,5,6,0,,,,,,,2,0,Completed,1.06,8,1.1,6.5,1.08,7,1.08,11,1.08,6.5,1.1,11,1.07,7.72
52,Bangkok,Thailand Open,27/09/10,ATP250,Indoor,Hard,1st Round,3,Troicki V.,Chiudinelli M.,48,68,945,717,6,3,6,1,,,,,,,2,0,Completed,1.28,3.5,1.3,3.3,1.25,3.75,1.35,3.57,1.25,3.5,1.35,3.8,1.28,3.48
52,Bangkok,Thailand Open,28/09/10,ATP250,Indoor,Hard,1st Round,3,Kukushkin M.,Deheart R.,83,270,628,168,6,3,6,7,6,4,,,,,2,1,Completed,1.33,3.25,1.35,3,1.36,3,1.39,3.34,1.36,2.88,1.39,3.34,1.36,3.04
52,Bangkok,Thailand Open,28/09/10,ATP250,Indoor,Hard,1st Round,3,Sela D.,Kravchuk K.,85,134,623,416,6,3,6,4,,,,,,,2,0,Completed,1.44,2.62,1.4,2.8,1.4,2.75,1.57,2.61,1.4,2.75,1.57,2.95,1.46,2.62
52,Bangkok,Thailand Open,28/09/10,ATP250,Indoor,Hard,1st Round,3,Schuettler R.,Mello R.,90,80,605,645,6,4,6,2,,,,,,,2,0,Completed,1.66,2.1,1.72,2.05,1.67,2.1,1.8,2.14,1.67,2.1,1.81,2.17,1.73,2.04
52,Bangkok,Thailand Open,28/09/10,ATP250,Indoor,Hard,1st Round,3,Bemelmans R.,Nielsen F.,195,279,258,161,6,2,6,3,,,,,,,2,0,Completed,1.57,2.25,1.55,2.35,1.57,2.25,1.63,2.46,1.5,2.5,1.69,2.5,1.6,2.28
52,Bangkok,Thailand Open,28/09/10,ATP250,Indoor,Hard,1st Round,3,Nieminen J.,Udomchoke D.,60,686,820,26,6,3,6,2,,,,,,,2,0,Completed,1.2,4.33,1.25,3.7,1.29,3.5,1.26,4.44,1.29,3.25,1.32,4.9,1.24,3.92
52,Bangkok,Thailand Open,28/09/10,ATP250,Indoor,Hard,1st Round,3,Garcia-Lopez G.,Berrer M.,53,51,900,917,6,4,7,6,,,,,,,2,0,Completed,1.83,1.83,1.9,1.85,1.83,1.83,2.02,1.91,1.73,2,2.02,2,1.83,1.9
