ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Acasuso J.,Marin J.A.,110,109,6,0,6,1,,,,,,,2,0,Completed,,,1.62,2.15,1.7,1.95,1.7,1.8,,
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Blanco G.,Massu N.,93,63,6,3,,,,,,,,,1,0,Retired,,,2.15,1.62,2.2,1.55,2.1,1.5,2.1,1.667
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Bruguera S.,Cuadrado C.,140,261,4,6,7,6,6,1,,,,,2,1,Completed,,,1.5,2.45,1.55,2.2,1.6,1.9,,
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Calleri A.,Rochus C.,60,77,6,1,6,2,,,,,,,2,0,Completed,,,1.38,2.8,1.43,2.5,1.4,2.3,1.4,2.75
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Chela J.I.,Nieminen J.,25,55,6,4,6,4,,,,,,,2,0,Completed,,,1.48,2.45,1.51,2.27,1.45,2.2,1.444,2.625
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Clement A.,Mathieu P.H.,50,120,7,5,7,5,,,,,,,2,0,Completed,,,,,,,,,,
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Costa A.,Vicente F.,27,73,6,2,6,3,,,,,,,2,0,Completed,,,1.45,2.55,1.35,2.75,1.3,2.7,1.364,2.875
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Galvani S.,Ljubicic I.,135,36,4,6,6,1,7,6,,,,,2,1,Completed,,,3.1,1.32,3.3,1.25,2.5,1.35,,
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Gaudenzi A.,Llodra M.,58,96,3,6,6,3,6,2,,,,,2,1,Completed,,,1.68,2.05,1.53,2.2,1.45,2.2,1.615,2.2
24,Barcelona,Open Seat Godo,22/04/02,International Gold,Outdoor,Clay,1st Round,3,Gaudio G.,Montanes A.,64,61,6,3,6,2,,,,,,,2,0,Completed,,,1.57,2.25,1.67,1.98,1.65,1.85,1.667,2.1
