ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Almagro N.,Pavel A.,57,83,669,470,6,4,6,2,,,,,,,2,0,Completed,,,1.28,3.55,1.25,3.75,1.308,3.95,1.29,3.4
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Cuadrado C.,Tursunov D.,225,33,170,920,4,6,6,0,6,3,,,,,2,1,Completed,,,2.3,1.6,2.17,1.64,2.42,1.658,2.32,1.57
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Gabashvili T.,Andreev I.,126,27,335,1225,4,6,7,6,7,6,,,,,2,1,Completed,4.5,1.16,4.1,1.22,4.45,1.18,4.52,1.255,3.65,1.26
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Blanco G.,Zib T.,347,108,92,388,6,7,7,6,6,2,,,,,2,1,Completed,3.5,1.25,3.55,1.28,4.25,1.2,3.9,1.313,4.1,1.21
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Monfils G.,Galvani S.,31,183,969,214,6,2,7,5,,,,,,,2,0,Completed,,,1.25,3.85,1.17,4.67,1.269,4.32,1.17,4.6
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Wawrinka S.,Lapentti N.,67,127,598,332,6,2,6,7,6,3,,,,,2,1,Completed,1.28,3.25,1.28,3.55,1.35,3.1,1.325,3.78,1.3,3.35
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Murray A.,Granollers-Pujol M.,43,291,807,113,4,6,6,4,6,2,,,,,2,1,Completed,1.25,3.5,1.3,3.4,1.26,3.59,1.286,4.2,1.29,3.4
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Costa A.,Spadea V.,249,74,143,535,7,6,4,6,6,1,,,,,2,1,Completed,2.5,1.5,1.83,1.93,,,2.52,1.617,2.44,1.52
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Sluiter R.,86,95,456,423,7,6,7,6,,,,,,,2,0,Completed,1.83,1.83,1.83,1.93,1.85,1.9,1.833,2.1,1.75,2
24,Barcelona,Open Seat Godo,24/04/06,International Gold,Outdoor,Clay,1st Round,3,Lopez F.,Klec I.,38,233,850,158,4,6,6,4,6,4,,,,,2,1,Completed,1.28,3.25,,,1.17,4.67,1.28,4.27,1.2,4.25
