WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
17,Barcelona,Barcelona Ladies Open,13/04/09,International,Outdoor,Clay,1st Round,3,Safarova L.,Pironkova T.,49,47,1194,1199,6,1,3,6,6,0,2,1,Completed,2.1,1.66,2.4,1.55,2.2,1.615,2,1.727,2.04,1.74
17,Barcelona,Barcelona Ladies Open,13/04/09,International,Outdoor,Clay,1st Round,3,Rybarikova M.,Zakopalova K.,46,92,1204,703,6,1,7,6,,,2,0,Completed,1.66,2.1,1.66,2.22,1.72,2,1.727,2,1.77,2
17,Barcelona,Barcelona Ladies Open,13/04/09,International,Outdoor,Clay,1st Round,3,Vinci R.,Parmentier P.,61,77,955,818,6,4,7,6,,,2,0,Completed,1.33,3.25,1.4,2.85,1.364,3,1.333,3,1.35,3.1
17,Barcelona,Barcelona Ladies Open,13/04/09,International,Outdoor,Clay,1st Round,3,Errani S.,Johansson M.,39,64,1498,938,2,6,7,5,6,3,2,1,Completed,1.2,4.33,1.25,3.73,1.286,3.5,1.286,3.25,1.25,3.8
17,Barcelona,Barcelona Ladies Open,13/04/09,International,Outdoor,Clay,1st Round,3,Pennetta F.,Kvitova P.,14,45,3040,1226,6,3,6,3,,,2,0,Completed,1.28,3.5,1.35,3.1,1.3,3.4,1.333,3,1.37,3
17,Barcelona,Barcelona Ladies Open,13/04/09,International,Outdoor,Clay,1st Round,3,Cohen Aloro S.,Cornet A.,284,15,170,2985,6,0,6,3,,,2,0,Completed,9,1.05,7,1.07,7,1.083,7,1.071,7.4,1.08
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Vaidisova N.,Savranska Y.,58,228,971,234,6,2,6,4,,,2,0,Completed,1.2,4.33,1.25,3.75,1.222,4,,,1.25,3.8
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Bremond S.,Groenefeld A.L.,74,55,824,1023,7,6,6,2,,,2,0,Completed,3.5,1.28,3.22,1.32,3.4,1.3,2.875,1.364,3.1,1.35
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Zec Peskiric M.,Kanepi K.,127,20,540,2310,3,6,6,2,6,4,2,1,Completed,5,1.14,4.45,1.18,4.5,1.167,4,1.2,4.6,1.18
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Schiavone F.,Dominguez Lino L.,44,87,1232,719,7,6,6,4,,,2,0,Completed,1.28,3.5,1.28,3.46,1.333,3.25,1.286,3.25,1.3,3.4
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Yakimova A.,Cirstea S.,76,36,819,1535,7,6,7,6,,,2,0,Completed,1.83,1.83,1.9,1.85,1.8,1.909,2,1.727,2.4,1.54
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Kirilenko M.,Pin C.,37,105,1518,627,6,2,6,0,,,2,0,Completed,1.28,3.4,1.3,3.35,1.3,3.4,1.333,3,1.33,3.2
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Malek T.,Llagostera Vives N.,149,89,408,715,6,3,3,6,6,1,2,1,Completed,2.75,1.4,2.85,1.4,2.5,1.5,2.75,1.4,2.72,1.44
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Loit E.,Jugic-Salkic M.,122,179,553,336,7,6,3,6,6,2,2,1,Completed,1.8,1.9,1.8,1.95,1.8,1.909,1.8,1.909,1.82,1.94
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Martinez-Sanchez M.J.,Flipkens K.,51,98,1170,662,6,2,6,2,,,2,0,Completed,1.25,3.75,1.3,3.35,1.286,3.5,1.286,3.25,1.27,3.65
17,Barcelona,Barcelona Ladies Open,14/04/09,International,Outdoor,Clay,1st Round,3,Suarez Navarro C.,Candela E.C.,27,169,1805,364,6,2,6,0,,,2,0,Completed,1.05,9,1.07,7.19,1.1,6.5,1.071,7,1.07,7.8
17,Barcelona,Barcelona Ladies Open,15/04/09,International,Outdoor,Clay,2nd Round,3,Kirilenko M.,Bremond S.,37,74,1518,824,7,5,6,2,,,2,0,Completed,1.2,4.33,1.25,3.7,1.25,3.75,1.222,3.75,1.23,4
