ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Bastl G.,Gambill J.M.,119,21,6,4,,,,,,,,,1,0,Retired,,,,,,,,
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Boutter J.,Kuerten G.,64,1,7,6,6,4,,,,,,,2,0,Completed,2.9,1.36,2.85,1.3,2.7,1.3,3.25,1.286
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Clement A.,Gaudio G.,14,50,6,4,6,1,,,,,,,2,0,Completed,1.36,2.9,1.35,2.7,1.3,2.7,1.364,2.875
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Davydenko N.,Blanco G.,97,57,6,1,6,4,,,,,,,2,0,Completed,1.67,2.1,1.7,1.9,1.5,2.1,1.667,2.1
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Federer R.,Costa A.,13,34,6,3,6,3,,,,,,,2,0,Completed,1.26,3.5,1.17,3.8,1.15,3.8,1.25,3.5
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Gaudenzi A.,Robredo T.,58,31,7,6,6,4,,,,,,,2,0,Completed,3.1,1.33,2.85,1.31,2.5,1.35,2.875,1.364
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Henman T.,Dupuis A.,11,69,6,4,6,1,,,,,,,2,0,Completed,1.14,5,1.17,3.8,1.15,3.8,1.167,4.5
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Kratochvil M.,Portas A.,43,24,5,7,7,6,6,1,,,,,2,1,Completed,1.36,2.9,1.33,2.75,1.25,3,1.364,2.875
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Malisse X.,Friedl L.,39,613,6,3,6,7,6,2,,,,,2,1,Completed,1.18,4.25,1.11,4.65,1.15,3.8,1.222,3.75
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Moya C.,Sanguinetti D.,22,80,7,6,6,4,,,,,,,2,0,Completed,1.25,3.6,1.3,2.85,1.25,3,1.333,3
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Pavel A.,Ljubicic I.,23,38,6,4,6,7,6,3,,,,,2,1,Completed,2.15,1.62,1.95,1.65,2,1.55,2.1,1.667
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Roddick A.,Huet S.,16,269,6,2,3,6,7,6,,,,,2,1,Completed,1.14,5,1.05,6,1.05,5,1.1,6
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Rosset M.,Corretja A.,90,12,6,4,3,6,6,1,,,,,2,1,Completed,1.9,1.8,2.1,1.6,1.85,1.65,2.2,1.615
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Thomann N.,Balcells J.,187,91,6,4,2,6,6,2,,,,,2,1,Completed,1.9,1.8,1.9,1.69,1.8,1.7,2.2,1.615
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Ulihrach B.,Lapentti N.,32,28,6,4,3,6,6,3,,,,,2,1,Completed,2.1,1.65,2.05,1.6,1.85,1.65,2,1.727
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,1st Round,3,Zimonjic N.,Vicente F.,243,56,4,6,6,3,6,2,,,,,2,1,Completed,,,,,,,,
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,2nd Round,3,Bastl G.,Ulihrach B.,119,32,7,6,7,6,,,,,,,2,0,Completed,,,,,,,,
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,2nd Round,3,Boutter J.,Pavel A.,64,23,4,6,6,4,6,0,,,,,2,1,Completed,2.1,1.65,2.05,1.6,2,1.55,2.1,1.667
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,2nd Round,3,Davydenko N.,Rosset M.,97,90,7,5,6,1,,,,,,,2,0,Completed,2.45,1.48,2.35,1.45,2.3,1.4,2.625,1.444
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,2nd Round,3,Federer R.,Malisse X.,13,39,6,3,6,4,,,,,,,2,0,Completed,1.45,2.55,1.45,2.38,1.35,2.5,1.444,2.625
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,2nd Round,3,Henman T.,Gaudenzi A.,11,58,6,2,6,1,,,,,,,2,0,Completed,1.14,4.85,1.15,4.1,1.1,4.5,1.125,5.5
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,2nd Round,3,Kratochvil M.,Clement A.,43,14,6,3,1,6,7,6,,,,,2,1,Completed,2.25,1.57,2.03,1.61,2.2,1.45,2.1,1.667
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,2nd Round,3,Moya C.,Thomann N.,22,187,7,6,6,4,,,,,,,2,0,Completed,1.25,3.5,1.2,3.6,1.2,3.2,1.25,3.5
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,2nd Round,3,Roddick A.,Zimonjic N.,16,243,6,4,7,6,,,,,,,2,0,Completed,1.18,4.25,1.15,4.15,1.15,3.8,1.143,5
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,Quarterfinals,3,Boutter J.,Bastl G.,64,119,2,6,7,6,7,6,,,,,2,1,Completed,1.57,2.25,1.52,2.2,1.3,2.7,1.533,2.375
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,Quarterfinals,3,Federer R.,Roddick A.,13,16,3,6,6,3,7,6,,,,,2,1,Completed,1.65,2.15,1.6,2.05,1.55,2,1.667,2.1
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,Quarterfinals,3,Henman T.,Kratochvil M.,11,43,6,0,6,1,,,,,,,2,0,Completed,1.3,3.2,1.25,3.25,1.2,3.2,1.3,3.2
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,Quarterfinals,3,Moya C.,Davydenko N.,22,97,7,6,7,6,,,,,,,2,0,Completed,1.36,2.9,1.35,2.7,1.35,2.5,1.333,3
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,Semifinals,3,Federer R.,Boutter J.,13,64,7,6,6,4,,,,,,,2,0,Completed,1.38,2.8,1.3,3,1.3,2.7,1.333,3
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,Semifinals,3,Henman T.,Moya C.,11,22,6,1,6,4,,,,,,,2,0,Completed,1.38,2.8,1.4,2.55,1.3,2.7,1.4,2.75
65,Basel,Swiss Indoors,22/10/01,International,Indoor,Carpet,The Final,5,Henman T.,Federer R.,11,13,6,3,6,4,6,2,,,,,3,0,Completed,,,,,,,,
