ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
63,Basel,Davidoff Swiss Indoors,25/10/05,International,Indoor,Carpet,1st Round,3,Gonzalez F.,Seppi A.,17,67,1480,548,7,6,6,2, , ,,,,,2,0,Completed,1.19,4,1.22,4.1,1.2,4.25,1.25,3.2,1.233,4.9
63,Basel,Davidoff Swiss Indoors,25/10/05,International,Indoor,Carpet,1st Round,3,Berrer M.,Zib T.,152,62,278,622,6,3,7,5, , ,,,,,2,0,Completed,2,1.72,1.93,1.83,1.8,1.95,1.75,1.85,1.962,1.943
63,Basel,Davidoff Swiss Indoors,25/10/05,International,Indoor,Carpet,1st Round,3,Srichaphan P.,Rochus C.,47,48,760,755,6,3,6,2, , ,,,,,2,0,Completed,1.33,3,1.35,3.1,1.3,3.35,1.35,2.7,1.385,3.4
63,Basel,Davidoff Swiss Indoors,25/10/05,International,Indoor,Carpet,1st Round,3,Haas T.,Waske A.,41,103,805,406,7,6,6,4, , ,,,,,2,0,Completed,1.28,3.25,1.33,3.2,1.4,2.85,1.3,2.9,1.372,3.49
63,Basel,Davidoff Swiss Indoors,25/10/05,International,Indoor,Carpet,1st Round,3,Baghdatis M.,Mackin A.,85,258,488,137,6,1,6,3, , ,,,,,2,0,Completed,1.22,3.75,1.2,4.4,1.17,4.67,1.25,3.2,1.252,4.67
63,Basel,Davidoff Swiss Indoors,25/10/05,International,Indoor,Carpet,1st Round,3,Vliegen K.,Wawrinka S.,131,60,334,636,7,6,4,6,6,3,,,,,2,1,Completed,2.5,1.5,2.55,1.5,2.35,1.55,2.1,1.55,2.68,1.562
63,Basel,Davidoff Swiss Indoors,25/10/05,International,Indoor,Carpet,1st Round,3,Mayer F.,Moodie W.,81,58,494,654,7,6,1,6,6,3,,,,,2,1,Completed,2.1,1.66,2.3,1.6,2.15,1.65,2,1.6,2.51,1.621
63,Basel,Davidoff Swiss Indoors,25/10/05,International,Indoor,Carpet,1st Round,3,Ferrero J.C.,Volandri F.,19,40,1425,805,6,2,6,4, , ,,,,,2,0,Completed,1.1,6,1.14,5.4,1.15,5.2,1.15,4,1.148,7.05
63,Basel,Davidoff Swiss Indoors,26/10/05,International,Indoor,Carpet,1st Round,3,Hrbaty D.,Chela J.I.,22,42,1311,800,7,6,6,2, , ,,,,,2,0,Completed,1.36,3,1.48,2.6,1.4,2.85,1.35,2.7,1.467,2.94
63,Basel,Davidoff Swiss Indoors,26/10/05,International,Indoor,Carpet,1st Round,3,Coria G.,Martin A.,7,53,2185,711,6,2,6,4, , ,,,,,2,0,Completed,1.19,4,1.2,4.4,1.21,4.06,1.2,3.6,1.208,5.4
63,Basel,Davidoff Swiss Indoors,26/10/05,International,Indoor,Carpet,1st Round,3,Calleri A.,Sabau R.,56,87,677,469,6,0,6,3, , ,,,,,2,0,Completed,1.16,4.5,1.16,5,1.15,5.2,1.15,4,1.159,6.8
63,Basel,Davidoff Swiss Indoors,26/10/05,International,Indoor,Carpet,1st Round,3,Murray A.,Henman T.,70,28,531,1080,6,2,5,7,7,6,,,,,2,1,Completed,1.83,1.83,2.05,1.77,2.1,1.7,1.85,1.75,2.14,1.806
63,Basel,Davidoff Swiss Indoors,26/10/05,International,Indoor,Carpet,1st Round,3,Acasuso J.,Massu N.,49,51,748,740,4,6,7,6,6,4,,,,,2,1,Completed,1.72,2,1.7,2.1,1.7,2.1,1.85,1.75,1.68,2.37
63,Basel,Davidoff Swiss Indoors,26/10/05,International,Indoor,Carpet,1st Round,3,Novak J.,Lammer M.,35,225,950,161,7,6,7,6, , ,,,,,2,0,Completed,1.39,2.75,,,,,1.25,3.2,1.422,3.17
63,Basel,Davidoff Swiss Indoors,26/10/05,International,Indoor,Carpet,1st Round,3,Nalbandian D.,Karlovic I.,10,63,1780,605,6,3,7,6, , ,,,,,2,0,Completed,1.36,2.87,1.33,3.2,1.35,3.1,1.3,2.9,1.424,3.16
63,Basel,Davidoff Swiss Indoors,26/10/05,International,Indoor,Carpet,1st Round,3,Berdych T.,Bastl G.,52,124,721,359,5,7,6,4,6,2,,,,,2,1,Completed,1.28,3.25,1.33,3.2,1.35,3.1,1.3,2.9,1.386,3.39
63,Basel,Davidoff Swiss Indoors,27/10/05,International,Indoor,Carpet,2nd Round,3,Vliegen K.,Coria G.,131,7,334,2185,7,6,7,5, , ,,,,,2,0,Completed,6.5,1.1,5,1.16,4.67,1.17,4,1.15,5.85,1.187
63,Basel,Davidoff Swiss Indoors,27/10/05,International,Indoor,Carpet,2nd Round,3,Acasuso J.,Ferrero J.C.,49,19,748,1425,6,3,6,7,6,3,,,,,2,1,Completed,3.5,1.28,3.4,1.3,3.59,1.26,3.2,1.25,3.5,1.37
63,Basel,Davidoff Swiss Indoors,27/10/05,International,Indoor,Carpet,2nd Round,3,Hrbaty D.,Calleri A.,22,56,1311,677,3,6,6,3,6,2,,,,,2,1,Completed,1.5,2.5,1.6,2.3,1.53,2.4,1.5,2.2,1.654,2.43
63,Basel,Davidoff Swiss Indoors,27/10/05,International,Indoor,Carpet,2nd Round,3,Gonzalez F.,Berrer M.,17,152,1480,278,6,4,7,5, , ,,,,,2,0,Completed,1.1,6.5,1.11,6.25,1.1,6.75,1.1,5,1.142,7.33
63,Basel,Davidoff Swiss Indoors,27/10/05,International,Indoor,Carpet,2nd Round,3,Baghdatis M.,Haas T.,85,41,488,805,6,2,6,3, , ,,,,,2,0,Completed,3,1.36,3.1,1.35,3.1,1.35,2.7,1.35,3,1.455
63,Basel,Davidoff Swiss Indoors,27/10/05,International,Indoor,Carpet,2nd Round,3,Srichaphan P.,Novak J.,47,35,760,950,6,3,6,2, , ,,,,,2,0,Completed,,,1.45,2.7,,,1.35,2.7,1.329,3.74
