ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
61,Basel,Davidoff Swiss Indoors,20/10/08,International,Indoor,Carpet,1st Round,3,Fish M.,Calleri A.,25,55,1175,710,7,6,6,2,,,,,,,2,0,Completed,1.2,4.33,1.25,3.95,1.25,3.75,1.25,4.6,1.22,4.1
61,Basel,Davidoff Swiss Indoors,20/10/08,International,Indoor,Carpet,1st Round,3,Lopez F.,Chiudinelli M.,39,N/A,865,N/A,7,6,7,6,,,,,,,2,0,Completed,1.12,5.5,1.19,4.76,1.167,4.5,1.211,5.35,1.18,4.6
61,Basel,Davidoff Swiss Indoors,20/10/08,International,Indoor,Carpet,1st Round,3,Becker B.,Wawrinka S.,137,12,340,1590,3,6,7,6,7,6,,,,,2,1,Completed,5.5,1.12,4.76,1.19,5,1.143,5.77,1.19,5.4,1.14
61,Basel,Davidoff Swiss Indoors,20/10/08,International,Indoor,Carpet,1st Round,3,Andreev I.,Melzer J.,21,35,1240,929,7,6,7,5,,,,,,,2,0,Completed,1.83,1.83,1.97,1.83,1.833,1.833,2.07,1.855,2,1.77
61,Basel,Davidoff Swiss Indoors,21/10/08,International,Indoor,Carpet,1st Round,3,Beck A.,Devilder N.,111,62,445,657,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.45,2.7,1.4,2.75,1.446,3.04,1.36,3.05
61,Basel,Davidoff Swiss Indoors,21/10/08,International,Indoor,Carpet,1st Round,3,Bolelli S.,Berdych T.,42,22,838,1235,6,4,7,5,,,,,,,2,0,Completed,5,1.14,4.33,1.22,4.5,1.167,5.36,1.21,4.6,1.18
61,Basel,Davidoff Swiss Indoors,21/10/08,International,Indoor,Carpet,1st Round,3,Kohlschreiber P.,Gremelmayr D.,30,85,1040,538,6,4,7,6,,,,,,,2,0,Completed,1.22,4,1.27,3.81,1.25,3.75,1.274,4.35,1.25,3.8
61,Basel,Davidoff Swiss Indoors,21/10/08,International,Indoor,Carpet,1st Round,3,Nalbandian D.,Montanes A.,8,47,1750,782,6,4,6,2,,,,,,,2,0,Completed,1.06,8,1.08,7.94,1.071,7.5,1.093,9.7,1.07,8
61,Basel,Davidoff Swiss Indoors,21/10/08,International,Indoor,Carpet,1st Round,3,Hernandez O.,Dlouhy L.,76,175,572,251,7,6,6,7,6,1,,,,,2,1,Completed,3.25,1.33,3.28,1.34,3,1.364,3.33,1.395,3.35,1.31
61,Basel,Davidoff Swiss Indoors,21/10/08,International,Indoor,Carpet,1st Round,3,Del Potro J.M.,Bastl G.,9,267,1735,135,6,2,6,4,,,,,,,2,0,Completed,1.05,9,1.08,7.94,1.063,8,1.091,10,1.07,8
61,Basel,Davidoff Swiss Indoors,21/10/08,International,Indoor,Carpet,1st Round,3,Federer R.,Reynolds B.,2,86,5805,527,6,3,6,7,6,3,,,,,2,1,Completed,1.01,15,1.02,13.5,1.02,11,1.024,31,1.02,15
