ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
61,Basel,Swiss Indoors,20/10/14,ATP500,Indoor,Hard,1st Round,3,Young D.,Berlocq C.,69,78,751,700,7,6,6,4,,,,,,,2,0,Completed,1.57,2.25,1.7,2.1,1.73,2,1.64,2.37,1.73,2.05,1.75,2.4,1.66,2.18
61,Basel,Swiss Indoors,20/10/14,ATP500,Indoor,Hard,1st Round,3,Herbert P.H.,Roger-Vasselin E.,120,64,462,770,6,3,6,7,7,6,,,,,2,1,Completed,2.1,1.66,2.1,1.7,2.1,1.67,2.26,1.7,2.2,1.67,2.26,1.74,2.14,1.68
61,Basel,Swiss Indoors,20/10/14,ATP500,Indoor,Hard,1st Round,3,Nadal R.,Bolelli S.,3,75,8105,717,6,2,6,2,,,,,,,2,0,Completed,1.2,4.33,1.25,3.75,1.2,4.33,1.22,4.81,1.3,3.5,1.3,5,1.21,4.24
61,Basel,Swiss Indoors,20/10/14,ATP500,Indoor,Hard,1st Round,3,Goffin D.,Thiem D.,28,39,1278,1024,7,6,6,3,,,,,,,2,0,Completed,1.36,3,1.38,3,1.36,3,1.34,3.5,1.44,2.8,1.44,3.5,1.36,3.04
61,Basel,Swiss Indoors,21/10/14,ATP500,Indoor,Hard,1st Round,3,De Schepper K.,Delbonis F.,119,61,474,775,7,6,7,5,,,,,,,2,0,Completed,1.57,2.25,1.65,2.2,1.62,2.2,1.62,2.43,1.62,2.25,1.65,2.43,1.62,2.25
61,Basel,Swiss Indoors,21/10/14,ATP500,Indoor,Hard,1st Round,3,Dodig I.,Chiudinelli M.,85,178,655,289,6,4,6,7,6,4,,,,,2,1,Completed,1.2,4.33,1.22,4,1.25,3.75,1.22,4.74,1.22,4,1.25,4.74,1.22,4.14
61,Basel,Swiss Indoors,21/10/14,ATP500,Indoor,Hard,1st Round,3,Becker B.,Elias G.,45,138,963,392,6,3,6,2,,,,,,,2,0,Completed,1.28,3.5,1.3,3.4,1.3,3.4,1.32,3.66,1.3,3.5,1.33,3.7,1.29,3.48
61,Basel,Swiss Indoors,21/10/14,ATP500,Indoor,Hard,1st Round,3,Raonic M.,Johnson S.,9,41,3840,999,7,6,6,4,,,,,,,2,0,Completed,1.22,4,1.25,3.75,1.25,3.75,1.26,4.2,1.25,3.8,1.29,4.5,1.23,4
61,Basel,Swiss Indoors,21/10/14,ATP500,Indoor,Hard,1st Round,3,Karlovic I.,Rosol L.,31,30,1220,1245,7,6,6,3,,,,,,,2,0,Completed,1.44,2.62,1.52,2.45,1.5,2.5,1.52,2.68,1.5,2.6,1.54,2.68,1.49,2.55
61,Basel,Swiss Indoors,21/10/14,ATP500,Indoor,Hard,1st Round,3,Kukushkin M.,Wawrinka S.,84,4,660,5385,6,4,6,7,6,3,,,,,2,1,Completed,3.5,1.28,3.2,1.33,3.5,1.29,3.5,1.34,3.5,1.3,3.6,1.36,3.31,1.31
