ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
64,Basel,Swiss Indoors,23/10/17,ATP500,Indoor,Hard,1st Round,3,Bautista Agut R.,Kukushkin M.,21,82,1935,639,6,0,6,3,,,,,,,2,0,Completed,1.3,3.4,1.28,3.35,,,1.33,3.58,1.33,3.77,1.31,3.43
64,Basel,Swiss Indoors,23/10/17,ATP500,Indoor,Hard,1st Round,3,Shapovalov D.,Sugita Y.,49,38,926,1219,4,6,6,2,7,6,,,,,2,1,Completed,1.66,2.1,1.72,2,,,1.83,2.07,1.85,2.15,1.77,2.03
64,Basel,Swiss Indoors,23/10/17,ATP500,Indoor,Hard,1st Round,3,Chung H.,Lorenzi P.,57,41,877,1155,6,3,6,1,,,,,,,2,0,Completed,1.28,3.5,1.28,3.35,,,1.34,3.5,1.34,3.6,1.31,3.42
64,Basel,Swiss Indoors,23/10/17,ATP500,Indoor,Hard,1st Round,3,Haase R.,Chiudinelli M.,44,366,1075,117,6,2,7,6,,,,,,,2,0,Completed,1.2,4.33,1.18,4.3,,,1.22,4.8,1.22,5.5,1.19,4.58
64,Basel,Swiss Indoors,24/10/17,ATP500,Indoor,Hard,1st Round,3,Paire B.,Johnson S.,40,43,1155,1090,6,3,7,6,,,,,,,2,0,Completed,2.25,1.57,2.3,1.55,,,2.55,1.57,2.55,1.65,2.34,1.59
64,Basel,Swiss Indoors,24/10/17,ATP500,Indoor,Hard,1st Round,3,Mayer L.,Zverev M.,52,30,897,1457,7,5,7,5,,,,,,,2,0,Completed,2.37,1.53,2.3,1.55,,,2.37,1.65,2.4,1.65,2.32,1.6
64,Basel,Swiss Indoors,24/10/17,ATP500,Indoor,Hard,1st Round,3,Sock J.,Pospisil V.,23,105,1900,528,3,6,7,6,7,5,,,,,2,1,Completed,1.36,3,1.33,3.05,,,1.38,3.31,1.38,3.45,1.34,3.2
64,Basel,Swiss Indoors,24/10/17,ATP500,Indoor,Hard,1st Round,3,Goffin D.,Gojowczyk P.,10,69,2840,758,6,2,7,5,,,,,,,2,0,Completed,1.33,3.25,1.3,3.2,,,1.3,3.82,1.35,3.82,1.31,3.41
64,Basel,Swiss Indoors,24/10/17,ATP500,Indoor,Hard,1st Round,3,Federer R.,Tiafoe F.,2,76,8505,663,6,1,6,3,,,,,,,2,0,Completed,1.07,9,1.05,7.75,,,1.05,13.41,1.07,13.75,1.05,10.32
64,Basel,Swiss Indoors,24/10/17,ATP500,Indoor,Hard,1st Round,3,Harrison R.,Dolgopolov O.,46,37,1003,1231,6,4,6,1,,,,,,,2,0,Completed,2.1,1.66,2,1.72,,,2.16,1.76,2.2,1.8,2.1,1.73
