WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
51,Beijing,China Open,02/10/10,Premier,Outdoor,Hard,1st Round,3,Schnyder P.,Shvedova Y.,44,39,1220,1555,6,1,6,4,,,2,0,Completed,1.72,2,1.75,2,1.73,2,1.99,1.93,,,1.99,2.15,1.8,1.95
51,Beijing,China Open,02/10/10,Premier,Outdoor,Hard,1st Round,3,Jankovic J.,Zakopalova K.,7,38,4780,1610,7,5,7,5,,,2,0,Completed,1.33,3.25,1.35,3,1.33,3.25,1.38,3.36,,,1.4,3.4,1.34,3.14
51,Beijing,China Open,02/10/10,Premier,Outdoor,Hard,1st Round,3,Govortsova O.,Martinez-Sanchez M.J.,48,25,1146,2225,6,3,6,2,,,2,0,Completed,2.25,1.57,2.35,1.55,2.25,1.57,2.51,1.61,,,2.52,1.67,2.32,1.58
51,Beijing,China Open,02/10/10,Premier,Outdoor,Hard,1st Round,3,Petkovic A.,Safarova L.,35,30,1710,1865,6,2,6,3,,,2,0,Completed,1.66,2.1,1.75,2,1.67,2.1,1.76,2.22,,,1.76,2.3,1.65,2.18
51,Beijing,China Open,02/10/10,Premier,Outdoor,Hard,1st Round,3,Bondarenko A.,Zhou Y.M.,31,246,1852,210,6,2,6,0,,,2,0,Completed,1.07,7.5,1.08,6.75,1.11,6,1.11,8.36,,,1.13,8.36,1.09,6.78
51,Beijing,China Open,02/10/10,Premier,Outdoor,Hard,1st Round,3,Date Krumm K.,Medina Garrigues A.,57,60,1050,985,6,0,6,4,,,2,0,Completed,1.36,3,1.35,3,1.36,3,1.43,3.13,,,1.43,3.45,1.35,3.04
51,Beijing,China Open,02/10/10,Premier,Outdoor,Hard,1st Round,3,Vesnina E.,Szavay A.,63,37,975,1630,7,6,1,6,6,3,2,1,Completed,1.57,2.25,1.8,1.95,1.62,2.2,1.65,2.42,,,1.7,2.5,1.6,2.27
51,Beijing,China Open,02/10/10,Premier,Outdoor,Hard,1st Round,3,Bacsinszky T.,Goerges J.,47,42,1170,1356,3,6,6,4,7,6,2,1,Completed,2.25,1.57,2.15,1.65,2.25,1.57,2.78,1.52,,,2.78,1.67,2.31,1.57
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Kleybanova A.,Lu J.J.,27,260,2105,196,6,1,6,0,,,2,0,Completed,1.07,7.5,1.08,6.75,1.08,7,1.07,11.5,,,1.09,11.5,1.06,8.56
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Cibulkova D.,Wickmayer Y.,33,20,1765,2690,6,0,7,6,,,2,0,Completed,2.5,1.5,2.35,1.55,2.25,1.57,2.54,1.6,2.5,1.5,2.56,1.65,2.35,1.56
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Kirilenko M.,Zhang S.,26,74,2215,866,6,1,6,0,,,2,0,Completed,1.16,4.5,1.2,4.25,1.17,4.5,1.22,5.01,1.2,4,1.25,5.01,1.2,4.33
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Dulko G.,Rezai A.,49,16,1133,3100,6,4,2,6,6,4,2,1,Completed,2,1.72,1.8,1.95,1.83,1.83,2.09,1.85,1.73,2,2.09,2,1.88,1.84
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Sharapova M.,Pironkova T.,21,32,2651,1805,6,4,7,6,,,2,0,Completed,1.07,7.5,1.11,6,1.11,6,1.11,8.61,1.07,7,1.12,8.61,1.08,7.1
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Jovanovski B.,Bondarenko K.,93,107,715,649,5,7,6,4,6,3,2,1,Completed,2.75,1.4,2.8,1.4,2.75,1.4,2.75,1.51,,,,,,
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Petrova N.,Han X.,17,130,3071,522,6,2,6,2,,,2,0,Completed,1.11,6,1.15,5,1.13,5.5,1.14,7.21,1.13,5.5,1.17,7.21,1.13,5.56
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Sevastova A.,Stosur S.,55,8,1059,4772,2,6,7,6,7,5,2,1,Completed,4,1.22,4.25,1.2,4.33,1.2,4.52,1.25,4,1.2,4.52,1.28,3.94,1.23
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Kvitova P.,Pennetta F.,34,22,1710,2565,7,6,6,1,,,2,0,Completed,4.5,1.16,4.25,1.2,4,1.22,5.45,1.2,4,1.2,5.45,1.22,4.51,1.18
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Vinci R.,Kuznetsova S.,51,12,1121,3585,6,3,2,6,6,3,2,1,Completed,4,1.22,4.25,1.2,4,1.22,4.27,1.27,4.5,1.17,4.5,1.27,4.07,1.21
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Hercog P.,Hantuchova D.,45,29,1215,1925,6,3,0,6,6,3,2,1,Completed,3.75,1.25,3,1.35,3.4,1.3,3.9,1.31,3.25,1.29,3.9,1.33,3.47,1.29
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Li N.,Kudryavtseva A.,15,56,3230,1056,6,2,6,0,,,2,0,Completed,1.28,3.5,1.3,3.3,1.3,3.4,1.32,3.78,1.29,3.25,1.33,3.8,1.29,3.41
51,Beijing,China Open,03/10/10,Premier,Outdoor,Hard,1st Round,3,Kanepi K.,Pavlyuchenkova A.,23,19,2415,2765,7,5,6,1,,,2,0,Completed,1.72,2,1.72,2.05,1.73,2,1.85,2.09,1.67,2.1,1.85,2.16,1.75,2
51,Beijing,China Open,04/10/10,Premier,Outdoor,Hard,1st Round,3,Dushevina V.,Makarova E.,64,43,970,1241,6,4,6,4,,,2,0,Completed,1.83,1.83,1.8,1.95,1.83,1.83,1.87,2.04,1.83,1.83,1.92,2.17,1.82,1.92
51,Beijing,China Open,04/10/10,Premier,Outdoor,Hard,1st Round,3,Dulgheru A.,Zahlavova Strycova B..,28,52,2050,1115,6,4,6,4,,,2,0,Completed,1.25,3.75,1.3,3.3,1.29,3.5,1.32,3.84,1.22,3.75,1.32,3.85,1.27,3.6
51,Beijing,China Open,04/10/10,Premier,Outdoor,Hard,1st Round,3,Errani S.,Peng S.,40,65,1460,967,1,6,6,4,6,1,2,1,Completed,1.83,1.83,1.8,1.95,1.73,2,2.04,1.88,1.73,2,2.05,2.1,1.83,1.91
51,Beijing,China Open,04/10/10,Premier,Outdoor,Hard,1st Round,3,Kerber A.,Radwanska A.,58,11,1018,3870,5,7,7,6,7,5,2,1,Completed,3.75,1.25,3.3,1.3,4.33,1.2,3.74,1.33,4.5,1.17,4.5,1.33,3.91,1.23
51,Beijing,China Open,04/10/10,Premier,Outdoor,Hard,1st Round,3,Zvonareva V.,Safina D.,4,50,5715,1130,6,4,7,6,,,2,0,Completed,1.25,3.75,1.33,3.1,1.33,3.25,1.29,4.05,1.29,3.25,1.33,4.05,1.28,3.51
51,Beijing,China Open,04/10/10,Premier,Outdoor,Hard,1st Round,3,Peer S.,Sun S.,18,252,2985,204,6,1,6,2,,,2,0,Completed,1.04,10,1.05,8.5,1.05,8.5,1.06,13,1.05,8,1.06,13,1.05,9.64
51,Beijing,China Open,04/10/10,Premier,Outdoor,Hard,1st Round,3,Ivanovic A.,Bartoli M.,36,14,1657,3380,6,2,6,3,,,2,0,Completed,2.1,1.66,2,1.75,2,1.73,2.13,1.82,2,1.73,2.2,1.82,2.03,1.73
51,Beijing,China Open,04/10/10,Premier,Outdoor,Hard,2nd Round,3,Petrova N.,Bondarenko A.,17,31,3071,1852,6,3,7,5,,,2,0,Completed,1.5,2.5,1.5,2.5,1.53,2.38,1.57,2.6,1.57,2.25,1.6,2.62,1.54,2.43
