WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
53,Beijing,China Open,01/10/16,Premier,Outdoor,Hard,1st Round,3,Bencic B.,Beck A.,43,53,1239,1123,6,3,6,2,,,2,0,Completed,1.4,2.75,1.4,2.9,,,1.45,2.94,1.45,3,1.41,2.82
53,Beijing,China Open,01/10/16,Premier,Outdoor,Hard,1st Round,3,Putintseva Y.,Ostapenko J.,33,45,1445,1229,6,1,3,6,7,5,2,1,Completed,1.8,1.9,1.88,1.88,,,1.91,1.98,1.91,2.05,1.83,1.95
53,Beijing,China Open,01/10/16,Premier,Outdoor,Hard,1st Round,3,Wickmayer Y.,Puig M.,56,28,1079,1570,6,2,6,0,,,2,0,Completed,2.62,1.44,2.5,1.5,,,2.73,1.51,2.81,1.55,2.58,1.49
53,Beijing,China Open,01/10/16,Premier,Outdoor,Hard,1st Round,3,Lisicki S.,Lucic-Baroni M.,105,68,620,938,6,2,6,2,,,2,0,Completed,1.9,1.8,1.82,1.9,,,2.01,1.88,2.05,1.91,1.94,1.84
53,Beijing,China Open,01/10/16,Premier,Outdoor,Hard,1st Round,3,Makarova E.,Vesnina E.,35,20,1411,2114,6,2,6,1,,,2,0,Completed,1.53,2.37,1.52,2.45,1.57,2.38,1.65,2.37,1.65,2.45,1.58,2.33
53,Beijing,China Open,01/10/16,Premier,Outdoor,Hard,1st Round,3,Muguruza G.,Begu I.,4,27,5246,1585,2,6,6,2,6,3,2,1,Completed,1.2,4.33,1.2,4.3,1.22,4.33,1.24,4.52,1.24,4.52,1.21,4.31
53,Beijing,China Open,01/10/16,Premier,Outdoor,Hard,1st Round,3,Cornet A.,Rogers S.,58,72,1051,921,4,6,6,2,6,2,2,1,Completed,1.61,2.2,1.68,2.15,1.67,2.2,1.68,2.3,1.7,2.3,1.66,2.19
53,Beijing,China Open,02/10/16,Premier,Outdoor,Hard,1st Round,3,Keys M.,Duan Y.Y.,9,88,3417,740,6,0,4,6,6,1,2,1,Completed,1.12,6,1.11,4.9,1.12,6,1.14,6.65,1.14,7,1.12,6
53,Beijing,China Open,02/10/16,Premier,Outdoor,Hard,1st Round,3,Shvedova Y.,Suarez Navarro C.,39,10,1322,3330,6,1,6,3,,,2,0,Completed,2.75,1.4,2.65,1.38,2.75,1.44,2.76,1.5,2.89,1.53,2.72,1.44
53,Beijing,China Open,02/10/16,Premier,Outdoor,Hard,1st Round,3,Babos T.,Kovinic D.,26,65,1630,960,6,1,6,2,,,2,0,Completed,1.3,3.4,1.3,2.85,1.36,3.25,1.34,3.5,1.4,3.51,1.32,3.27
