ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
54,Beijing,China Open,28/09/2023,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Sonego L.,36,56,1198,900,7,5,3,6,6,0,,,,,2,1,Completed,1.73,2.1,1.87,2.02,1.87,2.12,1.78,2.03
54,Beijing,China Open,28/09/2023,ATP500,Outdoor,Hard,1st Round,3,Arnaldi M.,Wolf J.J.,48,51,980,945,6,2,6,2,,,,,,,2,0,Completed,2.3,1.62,2.33,1.67,2.5,1.79,2.31,1.61
54,Beijing,China Open,28/09/2023,ATP500,Outdoor,Hard,1st Round,3,Etcheverry T.,Harris L.,31,149,1316,412,6,7,7,6,6,3,,,,,2,1,Completed,3.2,1.36,3.01,1.43,3.3,1.43,3.02,1.38
54,Beijing,China Open,28/09/2023,ATP500,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Zhou Y.,25,905,1435,18,6,2,6,2,,,,,,,2,0,Completed,1.04,13,1.04,16.52,1.04,16.52,1.03,12.11
54,Beijing,China Open,28/09/2023,ATP500,Outdoor,Hard,1st Round,3,De Minaur A.,Murray A.,12,40,2685,1085,6,3,5,7,7,6,,,,,2,1,Completed,1.33,3.4,1.34,3.55,1.38,3.6,1.33,3.28
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Dimitrov G.,Mcdonald M.,19,39,1815,1145,2,6,7,6,6,1,,,,,2,1,Completed,1.5,2.63,1.54,2.64,1.54,2.65,1.5,2.56
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Sinner J.,Evans D.,7,33,4465,1301,6,4,6,7,6,3,,,,,2,1,Completed,1.2,4.5,1.21,4.85,1.23,4.88,1.2,4.46
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Paul T.,3,13,7280,2660,6,2,6,1,,,,,,,2,0,Completed,1.22,4.33,1.22,4.85,1.26,4.85,1.22,4.27
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Rune H.,Auger-Aliassime F.,4,15,4710,2340,6,4,6,4,,,,,,,2,0,Completed,2.3,1.62,2.26,1.7,2.3,1.7,2.22,1.64
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Rublev A.,Norrie C.,6,16,4515,2020,4,6,6,1,6,4,,,,,2,1,Completed,1.5,2.63,1.48,2.82,1.55,2.82,1.49,2.59
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Jarry N.,Tsitsipas S.,23,5,1494,4615,6,4,6,4,,,,,,,2,0,Completed,2.63,1.5,2.75,1.5,2.75,1.51,2.64,1.48
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Zverev A.,Schwartzman D.,10,133,3280,451,6,7,6,1,6,4,,,,,2,1,Completed,1.1,7,1.12,7.61,1.13,7.61,1.1,6.69
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Musetti L.,Khachanov K.,18,14,1970,2385,6,3,1,6,6,2,,,,,2,1,Completed,2.3,1.62,2.46,1.61,2.56,1.63,2.33,1.59
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Nishioka Y.,Shang J.,38,160,1175,397,5,7,7,5,6,1,,,,,2,1,Completed,1.57,2.38,1.66,2.34,1.74,2.4,1.62,2.27
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Alcaraz C.,Hanfmann Y.,2,53,8535,923,6,4,6,3,,,,,,,2,0,Completed,1.04,13,1.06,13.06,1.06,13.06,1.04,11
54,Beijing,China Open,29/09/2023,ATP500,Outdoor,Hard,1st Round,3,Ruud C.,Struff J.L.,9,22,3560,1494,7,6,6,3,,,,,,,2,0,Completed,1.5,2.63,1.49,2.79,1.53,2.88,1.48,2.65
54,Beijing,China Open,30/09/2023,ATP500,Outdoor,Hard,2nd Round,3,Jarry N.,Arnaldi M.,23,48,1494,980,6,7,7,6,6,3,,,,,2,1,Completed,1.73,2.1,1.79,2.15,1.79,2.2,1.72,2.11
54,Beijing,China Open,30/09/2023,ATP500,Outdoor,Hard,2nd Round,3,Medvedev D.,De Minaur A.,3,12,7280,2685,7,6,6,3,,,,,,,2,0,Completed,1.29,3.75,1.28,4.13,1.29,4.33,1.27,3.75
54,Beijing,China Open,30/09/2023,ATP500,Outdoor,Hard,2nd Round,3,Humbert U.,Rublev A.,36,6,1198,4515,5,7,6,3,7,6,,,,,2,1,Completed,3.2,1.36,3.47,1.36,3.48,1.4,3.14,1.36
54,Beijing,China Open,30/09/2023,ATP500,Outdoor,Hard,2nd Round,3,Zverev A.,Davidovich Fokina A.,10,25,3280,1435,6,7,6,2,6,1,,,,,2,1,Completed,1.53,2.5,1.54,2.66,1.59,2.75,1.52,2.53
54,Beijing,China Open,01/10/2023,ATP500,Outdoor,Hard,2nd Round,3,Ruud C.,Etcheverry T.,9,31,3560,1316,1,6,7,5,7,6,,,,,2,1,Completed,1.25,4,1.26,4.39,1.3,4.39,1.24,3.97
54,Beijing,China Open,01/10/2023,ATP500,Outdoor,Hard,2nd Round,3,Alcaraz C.,Musetti L.,2,18,8535,1970,6,2,6,2,,,,,,,2,0,Completed,1.08,8,1.15,6.6,1.15,8,1.11,6.62
54,Beijing,China Open,01/10/2023,ATP500,Outdoor,Hard,2nd Round,3,Sinner J.,Nishioka Y.,7,38,4465,1175,6,2,6,0,,,,,,,2,0,Completed,1.2,4.5,1.23,4.74,1.24,5.1,1.21,4.41
54,Beijing,China Open,01/10/2023,ATP500,Outdoor,Hard,2nd Round,3,Dimitrov G.,Rune H.,19,4,1815,4710,6,3,7,5,,,,,,,2,0,Completed,1.91,1.91,1.82,2.11,2.11,2.12,1.85,1.94
54,Beijing,China Open,02/10/2023,ATP500,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Humbert U.,3,36,7280,1198,6,4,3,6,6,1,,,,,2,1,Completed,1.17,5,1.19,5.47,1.21,5.47,1.17,4.91
54,Beijing,China Open,02/10/2023,ATP500,Outdoor,Hard,Quarterfinals,3,Zverev A.,Jarry N.,10,23,3280,1494,6,1,6,7,6,3,,,,,2,1,Completed,1.33,3.4,1.35,3.49,1.4,3.49,1.36,3.12
54,Beijing,China Open,02/10/2023,ATP500,Outdoor,Hard,Quarterfinals,3,Alcaraz C.,Ruud C.,2,9,8535,3560,6,4,6,2,,,,,,,2,0,Completed,1.13,6,1.15,6.57,1.19,7.04,1.13,5.94
54,Beijing,China Open,02/10/2023,ATP500,Outdoor,Hard,Quarterfinals,3,Sinner J.,Dimitrov G.,7,19,4465,1815,6,4,3,6,6,2,,,,,2,1,Completed,1.3,3.5,1.36,3.45,1.36,3.65,1.32,3.36
54,Beijing,China Open,03/10/2023,ATP500,Outdoor,Hard,Semifinals,3,Medvedev D.,Zverev A.,3,10,7280,3280,6,4,6,3,,,,,,,2,0,Completed,1.44,2.75,1.49,2.85,1.49,2.96,1.45,2.74
54,Beijing,China Open,03/10/2023,ATP500,Outdoor,Hard,Semifinals,3,Sinner J.,Alcaraz C.,7,2,4465,8535,7,6,6,1,,,,,,,2,0,Completed,4,1.25,3.77,1.32,4.03,1.32,3.64,1.28
54,Beijing,China Open,04/10/2023,ATP500,Outdoor,Hard,The Final,3,Sinner J.,Medvedev D.,7,3,4465,7280,7,6,7,6,,,,,,,2,0,Completed,2.38,1.57,2.45,1.63,2.61,1.63,2.37,1.58
