WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
49,Beijing,China Open,30/09/2023,Premier,Outdoor,Hard,1st Round,3,Blinkova A.,Vekic D.,39,21,1263,2120,6,3,7,5,,,2,0,Completed,2.38,1.57,2.67,1.53,2.67,1.59,2.51,1.52
49,Beijing,China Open,30/09/2023,Premier,Outdoor,Hard,1st Round,3,Gracheva V.,Potapova A.,47,27,1178,1685,6,2,3,6,6,1,2,1,Completed,3.2,1.36,3.11,1.41,3.2,1.41,3.03,1.37
49,Beijing,China Open,30/09/2023,Premier,Outdoor,Hard,1st Round,3,Kostyuk M.,Cocciaretto E.,44,33,1200,1361,1,6,6,3,6,4,2,1,Completed,1.44,2.75,1.43,3.06,1.46,3.06,1.42,2.84
49,Beijing,China Open,30/09/2023,Premier,Outdoor,Hard,1st Round,3,Maria T.,Trevisan M.,53,40,1075,1217,6,3,7,6,,,2,0,Completed,1.8,2,1.84,2.06,1.95,2.06,1.81,1.99
49,Beijing,China Open,30/09/2023,Premier,Outdoor,Hard,1st Round,3,Martic P.,Cirstea S.,48,26,1173,1765,6,2,2,6,7,6,2,1,Completed,2.75,1.44,2.77,1.5,2.85,1.5,2.71,1.46
49,Beijing,China Open,30/09/2023,Premier,Outdoor,Hard,1st Round,3,Yuan Y.,Mertens E.,146,29,505,1514,3,6,6,1,6,4,2,1,Completed,3.75,1.29,3.76,1.31,4.33,1.31,3.76,1.27
49,Beijing,China Open,30/09/2023,Premier,Outdoor,Hard,1st Round,3,Linette M.,Azarenka V.,25,18,1786,2225,5,7,6,1,6,2,2,1,Completed,3.4,1.33,3.58,1.33,3.58,1.38,3.3,1.33
49,Beijing,China Open,01/10/2023,Premier,Outdoor,Hard,1st Round,3,Paolini J.,Haddad Maia B.,36,19,1330,2210,3,6,6,4,6,4,2,1,Completed,2.75,1.44,3.16,1.4,3.16,1.46,2.81,1.43
49,Beijing,China Open,01/10/2023,Premier,Outdoor,Hard,1st Round,3,Saville D.,Siniakova K.,247,84,282,809,6,2,6,2,,,2,0,Completed,2.2,1.67,2.43,1.62,2.43,1.71,2.26,1.64
49,Beijing,China Open,01/10/2023,Premier,Outdoor,Hard,1st Round,3,Kalinina A.,Vondrousova M.,28,8,1572,3830,1,6,6,4,6,1,2,1,Completed,4.5,1.2,4.59,1.23,4.66,1.23,4.37,1.21
49,Beijing,China Open,01/10/2023,Premier,Outdoor,Hard,1st Round,3,Samsonova L.,Parks A.,22,43,2000,1208,6,4,7,6,,,2,0,Completed,1.22,4.33,1.25,4.34,1.25,4.6,1.22,4.18
49,Beijing,China Open,01/10/2023,Premier,Outdoor,Hard,1st Round,3,Putintseva Y.,Bouzkova M.,75,30,877,1453,6,2,7,6,,,2,0,Completed,2.63,1.5,2.53,1.58,2.67,1.58,2.51,1.52
