ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
25,Belgrade,Serbia Open,18/04/2022,ATP250,Outdoor,Clay,1st Round,3,Bedene A.,Kukushkin M.,164,167,372,367,7,6,4,6,6,3,,,,,2,1,Completed,1.66,2.2,1.74,2.2,1.8,2.24,1.71,2.12
25,Belgrade,Serbia Open,18/04/2022,ATP250,Outdoor,Clay,1st Round,3,Rune H.,Garin C.,72,31,857,1351,6,3,6,1,,,,,,,2,0,Completed,1.72,2.1,1.76,2.17,1.83,2.17,1.74,2.07
25,Belgrade,Serbia Open,18/04/2022,ATP250,Outdoor,Clay,1st Round,3,Kecmanovic M.,Gasquet R.,38,82,1211,786,6,0,6,3,,,,,,,2,0,Completed,1.28,3.75,1.31,3.73,1.32,4.3,1.28,3.64
25,Belgrade,Serbia Open,18/04/2022,ATP250,Outdoor,Clay,1st Round,3,Fognini F.,Cecchinato M.,62,108,906,625,6,7,6,2,6,2,,,,,2,1,Completed,1.4,3,1.37,3.34,1.41,3.34,1.38,2.99
25,Belgrade,Serbia Open,19/04/2022,ATP250,Outdoor,Clay,1st Round,3,Lehecka J.,Laaksonen H.,93,92,718,720,6,2,7,5,,,,,,,2,0,Completed,1.5,2.62,1.51,2.72,1.54,3.05,1.49,2.6
25,Belgrade,Serbia Open,19/04/2022,ATP250,Outdoor,Clay,1st Round,3,Djere L.,Medjedovic H.,50,473,991,74,6,4,7,5,,,,,,,2,0,Completed,1.14,5.5,1.15,6.22,1.17,6.22,1.14,5.58
25,Belgrade,Serbia Open,19/04/2022,ATP250,Outdoor,Clay,1st Round,3,Safiullin R.,Ymer M.,151,98,414,704,7,5,6,0,,,,,,,2,0,Completed,2.1,1.72,2.22,1.73,2.22,1.82,2.1,1.73
25,Belgrade,Serbia Open,19/04/2022,ATP250,Outdoor,Clay,1st Round,3,Millman J.,Thiem D.,80,54,793,975,6,3,3,6,6,4,,,,,2,1,Completed,2.62,1.5,2.79,1.49,2.79,1.55,2.61,1.49
25,Belgrade,Serbia Open,19/04/2022,ATP250,Outdoor,Clay,1st Round,3,Monteiro T.,Sousa J.,110,85,611,765,6,4,6,3,,,,,,,2,0,Completed,1.57,2.37,1.53,2.65,1.6,2.73,1.51,2.53
25,Belgrade,Serbia Open,19/04/2022,ATP250,Outdoor,Clay,1st Round,3,Krajinovic F.,Goffin D.,45,49,1091,1003,6,3,7,6,,,,,,,2,0,Completed,2.3,1.61,2.31,1.68,2.55,1.68,2.29,1.61
25,Belgrade,Serbia Open,19/04/2022,ATP250,Outdoor,Clay,1st Round,3,Otte O.,Tabilo A.,70,91,862,732,6,0,6,3,,,,,,,2,0,Completed,2.3,1.61,2.37,1.65,2.83,1.65,2.38,1.58
25,Belgrade,Serbia Open,19/04/2022,ATP250,Outdoor,Clay,1st Round,3,Daniel T.,Lajovic D.,104,78,642,801,2,6,6,1,7,6,,,,,2,1,Completed,2,1.8,2.01,1.88,2.26,1.91,1.98,1.82
25,Belgrade,Serbia Open,20/04/2022,ATP250,Outdoor,Clay,2nd Round,3,Kecmanovic M.,Millman J.,38,80,1211,793,6,4,7,6,,,,,,,2,0,Completed,1.16,5,1.17,5.91,1.18,6.1,1.15,5.37
25,Belgrade,Serbia Open,20/04/2022,ATP250,Outdoor,Clay,2nd Round,3,Khachanov K.,Safiullin R.,26,151,1566,414,,,,,,,,,,,,,Walkover,1.4,3,1.41,3.19,1.45,3.2,1.38,2.99
25,Belgrade,Serbia Open,20/04/2022,ATP250,Outdoor,Clay,2nd Round,3,Djokovic N.,Djere L.,1,50,8340,991,2,6,7,6,7,6,,,,,2,1,Completed,1.14,5.5,1.16,6.21,1.16,6.5,1.13,5.83
25,Belgrade,Serbia Open,20/04/2022,ATP250,Outdoor,Clay,2nd Round,3,Monteiro T.,Krajinovic F.,110,45,611,1091,6,4,6,1,,,,,,,2,0,Completed,2.37,1.57,2.38,1.65,2.5,1.69,2.31,1.61
25,Belgrade,Serbia Open,21/04/2022,ATP250,Outdoor,Clay,2nd Round,3,Fognini F.,Bedene A.,62,164,906,372,6,2,6,3,,,,,,,2,0,Completed,1.33,3.4,1.32,3.75,1.35,3.75,1.31,3.43
