WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
27,Berlin,German Open,19/06/2023,WTA500,Outdoor,Grass,1st Round,3,Vekic D.,Gracheva V.,23,43,1725,1087,6,3,6,2,,,2,0,Completed,1.36,3.2,1.37,3.26,1.4,3.32,1.34,3.16
27,Berlin,German Open,19/06/2023,WTA500,Outdoor,Grass,1st Round,3,Kvitova P.,Pliskova Ka.,9,18,3101,2025,6,3,6,4,,,2,0,Completed,1.67,2.2,1.68,2.32,1.7,2.32,1.65,2.19
27,Berlin,German Open,19/06/2023,WTA500,Outdoor,Grass,1st Round,3,Garcia C.,Lisicki S.,4,308,5025,210,7,6,6,3,,,2,0,Completed,1.2,4.5,1.23,4.68,1.23,5.3,1.19,4.57
27,Berlin,German Open,20/06/2023,WTA500,Outdoor,Grass,1st Round,3,Avanesyan E.,Kasatkina D.,81,11,777,2690,6,2,3,6,7,6,2,1,Completed,1.04,13,,,2.91,1.41,2.91,1.41
27,Berlin,German Open,20/06/2023,WTA500,Outdoor,Grass,1st Round,3,Rybakina E.,Kudermetova P.,3,139,5090,508,6,4,6,2,,,2,0,Completed,1.04,13,1.05,14.18,1.05,14.3,1.04,11.37
27,Berlin,German Open,20/06/2023,WTA500,Outdoor,Grass,1st Round,3,Blinkova A.,Siegemund L.,44,158,1083,428,6,3,6,7,7,5,2,1,Completed,1.73,2.1,1.7,2.26,1.78,2.26,1.69,2.14
27,Berlin,German Open,20/06/2023,WTA500,Outdoor,Grass,1st Round,3,Sabalenka A.,Zvonareva V.,2,1243,8011,6,6,3,6,2,,,2,0,Completed,1.04,13,1.07,11.65,1.97,19.55,1.08,11.4
27,Berlin,German Open,20/06/2023,WTA500,Outdoor,Grass,1st Round,3,Niemeier J.,Jabeur O.,120,6,600,3491,7,6,6,4,,,2,0,Completed,5,1.17,5.05,1.2,5.3,1.2,4.83,1.17
27,Berlin,German Open,20/06/2023,WTA500,Outdoor,Grass,1st Round,3,Fourlis J.,Wang Xin.,218,69,328,833,3,6,7,5,,,1,1,Retired,3.4,1.33,3.38,1.36,3.45,1.39,3.19,1.34
27,Berlin,German Open,20/06/2023,WTA500,Outdoor,Grass,1st Round,3,Alexandrova E.,Samsonova L.,22,15,1760,2301,6,4,6,3,,,2,0,Completed,1.62,2.3,1.68,2.3,1.68,2.42,1.63,2.25
27,Berlin,German Open,20/06/2023,WTA500,Outdoor,Grass,1st Round,3,Gauff C.,Siniakova K.,7,54,3251,997,6,3,6,4,,,2,0,Completed,1.2,4.5,1.22,4.78,1.3,4.78,1.2,4.35
27,Berlin,German Open,21/06/2023,WTA500,Outdoor,Grass,1st Round,3,Kudermetova V.,Zheng Q.,13,25,2600,1669,6,4,6,2,,,2,0,Completed,1.53,2.5,1.47,2.88,1.54,2.88,1.48,2.59
27,Berlin,German Open,21/06/2023,WTA500,Outdoor,Grass,1st Round,3,Vondrousova M.,Andreescu B.,53,35,1006,1177,7,6,7,5,,,2,0,Completed,1.57,2.38,1.5,2.78,1.6,2.78,1.57,2.38
27,Berlin,German Open,21/06/2023,WTA500,Outdoor,Grass,1st Round,3,Sakkari M.,Cornet A.,8,60,3117,909,6,4,6,2,,,2,0,Completed,1.53,2.5,1.63,2.41,1.63,2.56,1.58,2.35
27,Berlin,German Open,21/06/2023,WTA500,Outdoor,Grass,1st Round,3,Podoroska N.,Masarova R.,86,67,747,847,3,6,6,3,6,2,2,1,Completed,2.2,1.67,2.37,1.65,2.37,1.8,2.15,1.7
27,Berlin,German Open,21/06/2023,WTA500,Outdoor,Grass,1st Round,3,Sasnovich A.,Azarenka V.,70,19,814,1996,6,4,6,4,,,2,0,Completed,2.5,1.53,2.56,1.56,2.75,1.56,2.54,1.51
27,Berlin,German Open,21/06/2023,WTA500,Outdoor,Grass,2nd Round,3,Garcia C.,Fourlis J.,4,218,5025,328,6,3,6,2,,,2,0,Completed,1.13,6,1.12,7.66,1.13,8.38,1.1,6.81
27,Berlin,German Open,21/06/2023,WTA500,Outdoor,Grass,2nd Round,3,Avanesyan E.,Blinkova A.,81,44,777,1083,1,6,6,3,6,2,2,1,Completed,2.5,1.53,2.58,1.56,2.6,1.59,2.48,1.52
27,Berlin,German Open,21/06/2023,WTA500,Outdoor,Grass,2nd Round,3,Vekic D.,Rybakina E.,23,3,1725,5090,6,7,6,3,6,4,2,1,Completed,4.33,1.22,4.61,1.23,4.61,1.25,4.24,1.21
27,Berlin,German Open,21/06/2023,WTA500,Outdoor,Grass,2nd Round,3,Kvitova P.,Podoroska N.,9,86,3101,747,6,1,6,1,,,2,0,Completed,1.2,4.5,1.18,5.39,1.22,6.44,1.17,4.89
27,Berlin,German Open,22/06/2023,WTA500,Outdoor,Grass,2nd Round,3,Alexandrova E.,Gauff C.,22,7,1760,3251,6,4,6,0,,,2,0,Completed,2.1,1.73,2.11,1.8,2.33,1.8,2.13,1.7
