WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
18,Biel,Ladies Open Biel Bienne,10/04/17,International,Indoor,Hard,1st Round,3,Barthel M.,Cepelova J.,80,96,720,629,6,3,6,4,,,2,0,Completed,1.5,2.5,1.45,2.55,1.53,2.5,1.51,2.74,1.54,2.75,1.5,2.54
18,Biel,Ladies Open Biel Bienne,10/04/17,International,Indoor,Hard,1st Round,3,Pliskova Kr.,Vinci R.,58,35,940,1480,6,4,6,4,,,2,0,Completed,1.72,2,1.65,2.1,1.73,2,1.74,2.21,1.8,2.23,1.72,2.09
18,Biel,Ladies Open Biel Bienne,10/04/17,International,Indoor,Hard,1st Round,3,Mertens E.,Niculescu M.,68,47,832,1145,6,2,6,2,,,2,0,Completed,2.2,1.61,2.2,1.6,2.2,1.67,2.24,1.71,2.31,1.71,2.24,1.63
18,Biel,Ladies Open Biel Bienne,10/04/17,International,Indoor,Hard,1st Round,3,Beck A.,Masarova R.,60,313,925,132,6,4,6,4,,,2,0,Completed,1.25,3.75,1.25,3.6,1.3,3.5,1.23,4.59,1.3,4.59,1.27,3.7
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Dodin O.,Hsieh S.W.,59,94,928,634,6,2,6,2,,,2,0,Completed,1.53,2.37,1.55,2.3,1.57,2.25,1.64,2.38,1.67,2.4,1.6,2.29
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Rodina E.,Babos T.,78,30,773,1565,7,6,4,2,,,1,0,Retired,4,1.22,3.95,1.21,4,1.25,5.11,1.2,5.11,1.25,4.17,1.22
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Kontaveit A.,Watson H.,99,110,622,524,7,6,6,2,,,2,0,Completed,1.66,2.1,1.65,2.1,1.73,2,1.83,2.08,1.83,2.15,1.73,2.06
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Vekic D.,Cirstea S.,82,61,707,908,6,4,6,1,,,2,0,Completed,2,1.72,1.9,1.8,1.91,1.91,2.01,1.88,2.05,1.91,1.96,1.82
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Vondrousova M.,Gjorcheska L.,233,191,216,277,7,6,6,1,,,2,0,Completed,,,,,,,1.21,4.89,1.28,4.9,1.2,4.59
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Goerges J.,Broady N.,46,124,1150,470,6,4,6,2,,,2,0,Completed,1.33,3.25,1.32,3.1,1.36,3.25,1.34,3.5,1.36,3.5,1.32,3.3
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Sasnovich A.,Parmentier P.,108,64,536,880,3,6,6,2,6,3,2,1,Completed,1.83,1.83,1.8,1.9,1.83,1.83,1.91,1.98,2,1.98,1.87,1.89
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Strycova B.,Bouzkova M.,18,231,2080,218,6,2,4,6,6,2,2,1,Completed,1.16,5,1.17,4.4,1.22,4.33,1.22,4.74,1.23,5.1,1.19,4.53
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Giorgi C.,Lottner A.,98,181,622,297,6,2,6,2,,,2,0,Completed,1.36,3,1.35,2.95,1.4,3,1.42,3.07,1.42,3.1,1.38,2.95
18,Biel,Ladies Open Biel Bienne,11/04/17,International,Indoor,Hard,1st Round,3,Witthoeft C.,Bencic B.,69,131,827,451,6,1,6,3,,,2,0,Completed,2.1,1.66,2.1,1.65,2.1,1.73,2.14,1.78,2.2,1.78,2.08,1.72
18,Biel,Ladies Open Biel Bienne,12/04/17,International,Indoor,Hard,1st Round,3,Suarez Navarro C.,Boserup J.,23,86,1845,698,6,1,6,2,,,2,0,Completed,1.2,4.33,1.17,4.4,1.22,4.33,1.2,5.06,1.22,5.06,1.19,4.61
18,Biel,Ladies Open Biel Bienne,12/04/17,International,Indoor,Hard,1st Round,3,Golubic V.,Siegemund L.,54,37,982,1425,6,2,4,6,7,6,2,1,Completed,1.72,2,1.65,2.1,1.73,2.1,1.75,2.18,1.76,2.25,1.71,2.1
18,Biel,Ladies Open Biel Bienne,12/04/17,International,Indoor,Hard,2nd Round,3,Kontaveit A.,Rodina E.,99,78,622,773,6,3,6,2,,,2,0,Completed,1.28,3.5,1.3,3.2,1.3,3.4,1.32,3.74,1.35,3.74,1.31,3.4
18,Biel,Ladies Open Biel Bienne,12/04/17,International,Indoor,Hard,2nd Round,3,Mertens E.,Barthel M.,68,80,832,720,6,2,6,4,,,2,0,Completed,2.1,1.66,2.1,1.65,2.1,1.67,2.17,1.78,2.2,1.78,2.13,1.69
18,Biel,Ladies Open Biel Bienne,12/04/17,International,Indoor,Hard,2nd Round,3,Pliskova Kr.,Vekic D.,58,82,940,707,6,1,6,2,,,2,0,Completed,1.53,2.37,1.55,2.3,1.62,2.25,1.68,2.32,1.68,2.5,1.57,2.37
18,Biel,Ladies Open Biel Bienne,12/04/17,International,Indoor,Hard,2nd Round,3,Goerges J.,Dodin O.,46,59,1150,928,6,4,6,3,,,2,0,Completed,1.44,2.62,1.47,2.5,1.5,2.62,1.49,2.82,1.5,2.82,1.47,2.63
18,Biel,Ladies Open Biel Bienne,13/04/17,International,Indoor,Hard,2nd Round,3,Vondrousova M.,Beck A.,233,60,216,925,6,1,6,3,,,2,0,Completed,2,1.72,2.1,1.65,2.1,1.73,2.24,1.73,2.3,1.75,2.16,1.68
18,Biel,Ladies Open Biel Bienne,13/04/17,International,Indoor,Hard,2nd Round,3,Strycova B.,Witthoeft C.,18,69,2080,827,6,2,7,6,,,2,0,Completed,1.5,2.5,1.5,2.4,1.53,2.5,1.58,2.56,1.58,2.62,1.52,2.49
18,Biel,Ladies Open Biel Bienne,13/04/17,International,Indoor,Hard,2nd Round,3,Giorgi C.,Suarez Navarro C.,98,23,622,1845,2,6,7,6,6,2,2,1,Completed,2.62,1.44,2.5,1.47,2.5,1.53,2.69,1.53,2.69,1.59,2.5,1.52
18,Biel,Ladies Open Biel Bienne,13/04/17,International,Indoor,Hard,2nd Round,3,Sasnovich A.,Golubic V.,108,54,536,982,6,1,6,4,,,2,0,Completed,1.9,1.8,1.9,1.8,1.91,1.91,2.09,1.83,2.09,1.96,1.93,1.85
18,Biel,Ladies Open Biel Bienne,14/04/17,International,Indoor,Hard,Quarterfinals,3,Kontaveit A.,Mertens E.,99,68,622,832,7,5,6,7,6,1,2,1,Completed,1.4,3,1.4,2.75,1.4,2.75,1.5,2.82,1.52,3.15,1.42,2.83
18,Biel,Ladies Open Biel Bienne,14/04/17,International,Indoor,Hard,Quarterfinals,3,Vondrousova M.,Pliskova Kr.,233,58,216,940,6,2,7,5,,,2,0,Completed,2.37,1.57,2.25,1.57,2.38,1.57,2.17,1.79,2.55,1.79,2.28,1.62
18,Biel,Ladies Open Biel Bienne,14/04/17,International,Indoor,Hard,Quarterfinals,3,Sasnovich A.,Giorgi C.,108,98,536,622,6,4,6,4,,,2,0,Completed,2.2,1.66,2.15,1.62,2.2,1.67,2.33,1.69,2.33,1.74,2.18,1.67
18,Biel,Ladies Open Biel Bienne,14/04/17,International,Indoor,Hard,Quarterfinals,3,Strycova B.,Goerges J.,18,46,2080,1150,4,6,6,3,1,0,1,1,Retired,1.72,2.1,1.72,2,1.73,2,1.84,2.1,1.84,2.15,1.76,2.04
18,Biel,Ladies Open Biel Bienne,15/04/17,International,Indoor,Hard,Semifinals,3,Kontaveit A.,Sasnovich A.,99,108,622,536,6,4,4,6,7,5,2,1,Completed,1.61,2.3,1.6,2.2,1.62,2.25,1.68,2.36,1.68,2.36,1.63,2.26
18,Biel,Ladies Open Biel Bienne,15/04/17,International,Indoor,Hard,Semifinals,3,Vondrousova M.,Strycova B.,233,18,216,2080,7,6,6,2,,,2,0,Completed,2.2,1.66,2.1,1.65,2.25,1.62,2.23,1.75,2.25,1.76,2.13,1.7
18,Biel,Ladies Open Biel Bienne,16/04/17,International,Indoor,Hard,The Final,3,Vondrousova M.,Kontaveit A.,233,99,216,622,6,4,7,6,,,2,0,Completed,1.66,2.2,1.65,2.1,1.73,2.1,1.74,2.25,1.77,2.25,1.71,2.12
