WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Dolonc V.,Koehler M.J.,98,109,683,607,6,7,6,0,6,3,2,1,Completed,1.36,3,1.4,2.8,1.4,2.75,1.38,3.3,1.44,2.75,1.45,3.3,1.39,2.91
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Hampton J.,Hsieh S.W.,42,44,1368,1360,6,2,6,3,,,2,0,Completed,1.4,2.75,1.55,2.35,1.4,2.75,1.62,2.42,1.36,3,1.63,3,1.47,2.64
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Tomljanovic A.,Oudin M.,155,80,420,814,6,3,6,1,,,2,0,Completed,2,1.72,2,1.75,2.1,1.67,2.01,1.87,2.1,1.73,2.16,1.9,2.02,1.76
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Pironkova T.,Davis L.,66,88,926,763,6,2,6,1,,,2,0,Completed,1.36,3,1.4,2.8,1.4,2.75,1.39,3.22,1.4,2.88,1.43,3.3,1.38,2.97
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Riske A.,Keothavong A.,167,211,382,275,7,5,6,2,,,2,0,Completed,1.3,3.4,1.3,3.3,1.33,3.25,1.35,3.46,1.36,3,1.37,3.95,1.32,3.3
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Keys M.,Tsurenko L.,53,76,1110,839,3,6,6,3,7,6,2,1,Completed,1.36,3,1.4,2.8,1.44,2.62,1.41,3.13,1.44,2.75,1.45,3.35,1.4,2.85
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Lucic M.,Pliskova Ka.,101,74,671,866,6,3,6,2,,,2,0,Completed,2.2,1.61,2.08,1.7,2.2,1.62,2.23,1.72,2.25,1.62,2.32,1.75,2.16,1.67
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Van Uytvanck A.,Morita A.,205,49,285,1224,6,4,6,0,,,2,0,Completed,2.5,1.5,2.35,1.55,2.5,1.5,2.42,1.62,2.38,1.57,2.64,1.62,2.45,1.53
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Pliskova Kr.,Vandeweghe C.,105,113,625,592,6,7,7,6,7,5,2,1,Completed,2.2,1.61,2,1.75,2,1.73,2.81,1.49,1.9,1.9,2.81,1.9,2.04,1.76
29,Birmingham,AEGON Classic ,10/06/13,International,Outdoor,Grass,1st Round,3,Jovanovski B.,Bouchard E.,40,67,1395,924,5,7,6,3,6,2,2,1,Completed,1.9,1.8,1.85,1.9,1.83,1.83,1.93,1.96,1.8,2,1.98,2.02,1.85,1.9
