WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
30,Birmingham,Birmingham Classic ,17/06/2019,Premier,Outdoor,Grass,1st Round,3,Gasparyan M.,Svitolina E.,62,7,899,3967,6,3,3,6,6,4,2,1,Completed,3,1.36,3.46,1.35,3.46,1.44,3.02,1.38
30,Birmingham,Birmingham Classic ,17/06/2019,Premier,Outdoor,Grass,1st Round,3,Hsieh S.W.,Sabalenka A.,28,10,1885,3565,6,3,2,6,7,6,2,1,Completed,1.83,1.83,1.95,1.93,1.95,2.12,1.88,1.92
30,Birmingham,Birmingham Classic ,17/06/2019,Premier,Outdoor,Grass,1st Round,3,Strycova B.,Watson H.,51,122,1125,531,3,6,6,3,6,4,2,1,Completed,1.44,2.62,1.52,2.68,1.58,2.7,1.51,2.55
30,Birmingham,Birmingham Classic ,17/06/2019,Premier,Outdoor,Grass,1st Round,3,Konta J.,Kontaveit A.,18,20,2430,2335,6,4,6,2,,,2,0,Completed,1.36,3,1.38,3.27,1.45,3.84,1.36,3.11
30,Birmingham,Birmingham Classic ,17/06/2019,Premier,Outdoor,Grass,1st Round,3,Rodina E.,Mladenovic K.,76,48,775,1155,6,2,2,6,6,4,2,1,Completed,5.5,1.14,6.15,1.15,6.4,1.17,5.56,1.15
30,Birmingham,Birmingham Classic ,17/06/2019,Premier,Outdoor,Grass,1st Round,3,Pliskova Ka.,Buzarnescu M.,3,42,5685,1315,6,3,6,4,,,2,0,Completed,1.16,5,1.18,5.57,1.2,5.8,1.17,5.02
30,Birmingham,Birmingham Classic ,18/06/2019,Premier,Outdoor,Grass,1st Round,3,Martic P.,Alexandrova E.,25,50,1975,1143,6,3,7,5,,,2,0,Completed,1.57,2.25,1.63,2.42,1.69,2.42,1.61,2.3
30,Birmingham,Birmingham Classic ,18/06/2019,Premier,Outdoor,Grass,1st Round,3,Goerges J.,Yastremska D.,19,35,2400,1560,3,6,6,4,6,3,2,1,Completed,2.2,1.61,2.43,1.62,2.43,1.73,2.27,1.63
30,Birmingham,Birmingham Classic ,18/06/2019,Premier,Outdoor,Grass,1st Round,3,Pliskova Kr.,Tomova V.,112,190,573,306,6,3,6,4,,,2,0,Completed,1.28,3.5,1.3,3.84,1.32,4,1.28,3.61
30,Birmingham,Birmingham Classic ,18/06/2019,Premier,Outdoor,Grass,1st Round,3,Ostapenko J.,Swiatek I.,37,65,1432,853,6,0,6,2,,,2,0,Completed,2.1,1.66,2.27,1.7,2.48,1.77,2.18,1.67
30,Birmingham,Birmingham Classic ,18/06/2019,Premier,Outdoor,Grass,1st Round,3,Osaka N.,Sakkari M.,1,33,6377,1641,6,1,4,6,6,3,2,1,Completed,1.44,2.62,1.47,2.86,1.53,2.86,1.47,2.65
30,Birmingham,Birmingham Classic ,18/06/2019,Premier,Outdoor,Grass,1st Round,3,Putintseva Y.,Dart H.,43,157,1270,378,6,1,6,4,,,2,0,Completed,1.61,2.2,1.59,2.49,1.71,2.49,1.64,2.24
30,Birmingham,Birmingham Classic ,19/06/2019,Premier,Outdoor,Grass,1st Round,3,Brady J.,Tsurenko L.,66,32,843,1686,6,3,6,3,,,2,0,Completed,1.66,2.1,1.83,2.06,1.87,2.12,1.77,2.04
30,Birmingham,Birmingham Classic ,19/06/2019,Premier,Outdoor,Grass,1st Round,3,Barty A.,Vekic D.,2,22,6125,2180,6,3,6,4,,,2,0,Completed,1.33,3.25,1.36,3.39,1.4,3.4,1.35,3.2
30,Birmingham,Birmingham Classic ,19/06/2019,Premier,Outdoor,Grass,1st Round,3,Wang Q.,Davis L.,15,99,2752,653,6,3,6,2,,,2,0,Completed,1.66,2.1,1.8,2.11,1.83,2.2,1.75,2.06
30,Birmingham,Birmingham Classic ,19/06/2019,Premier,Outdoor,Grass,1st Round,3,Williams V.,Sasnovich A.,55,36,1105,1490,6,3,6,4,,,2,0,Completed,1.4,2.75,1.53,2.67,1.53,2.85,1.46,2.7
30,Birmingham,Birmingham Classic ,19/06/2019,Premier,Outdoor,Grass,2nd Round,3,Strycova B.,Hsieh S.W.,51,28,1125,1885,7,6,6,3,,,2,0,Completed,2.25,1.57,2.21,1.75,2.27,1.77,2.19,1.67
30,Birmingham,Birmingham Classic ,19/06/2019,Premier,Outdoor,Grass,2nd Round,3,Ostapenko J.,Konta J.,37,18,1432,2430,6,3,6,4,,,2,0,Completed,3.5,1.28,4.14,1.28,4.15,1.33,3.7,1.27
30,Birmingham,Birmingham Classic ,19/06/2019,Premier,Outdoor,Grass,2nd Round,3,Martic P.,Gasparyan M.,25,62,1975,899,6,3,7,6,,,2,0,Completed,1.33,3.25,1.35,3.55,1.36,3.72,1.33,3.32
30,Birmingham,Birmingham Classic ,19/06/2019,Premier,Outdoor,Grass,2nd Round,3,Pliskova Kr.,Pliskova Ka.,112,3,573,5685,6,2,3,6,7,6,2,1,Completed,3.5,1.28,4.5,1.25,4.5,1.31,3.81,1.26
30,Birmingham,Birmingham Classic ,20/06/2019,Premier,Outdoor,Grass,2nd Round,3,Barty A.,Brady J.,2,66,6125,843,6,3,6,1,,,2,0,Completed,1.12,6,1.16,6.27,1.16,6.65,1.14,5.79
30,Birmingham,Birmingham Classic ,20/06/2019,Premier,Outdoor,Grass,2nd Round,3,Putintseva Y.,Osaka N.,43,1,1270,6377,6,2,6,3,,,2,0,Completed,3.75,1.25,3.68,1.33,4,1.33,3.58,1.29
30,Birmingham,Birmingham Classic ,20/06/2019,Premier,Outdoor,Grass,2nd Round,3,Goerges J.,Rodina E.,19,76,2400,775,6,4,6,3,,,2,0,Completed,1.18,4.5,1.23,4.78,1.23,5.3,1.2,4.58
30,Birmingham,Birmingham Classic ,20/06/2019,Premier,Outdoor,Grass,2nd Round,3,Williams V.,Wang Q.,55,15,1105,2752,6,3,6,2,,,2,0,Completed,1.5,2.5,1.6,2.5,1.61,2.6,1.55,2.44
30,Birmingham,Birmingham Classic ,21/06/2019,Premier,Outdoor,Grass,Quarterfinals,3,Strycova B.,Pliskova Kr.,51,112,1125,573,6,2,6,4,,,2,0,Completed,1.4,3,1.46,2.99,1.46,3.15,1.42,2.87
30,Birmingham,Birmingham Classic ,21/06/2019,Premier,Outdoor,Grass,Quarterfinals,3,Martic P.,Ostapenko J.,25,37,1975,1432,6,7,7,5,6,1,2,1,Completed,1.8,2,1.85,2.09,2.12,2.1,1.81,2.01
30,Birmingham,Birmingham Classic ,21/06/2019,Premier,Outdoor,Grass,Quarterfinals,3,Barty A.,Williams V.,2,55,6125,1105,6,4,6,3,,,2,0,Completed,1.22,4.33,1.23,4.8,1.28,4.84,1.23,4.16
30,Birmingham,Birmingham Classic ,21/06/2019,Premier,Outdoor,Grass,Quarterfinals,3,Goerges J.,Putintseva Y.,19,43,2400,1270,6,3,6,2,,,2,0,Completed,1.57,2.37,1.69,2.33,1.71,2.45,1.63,2.27
30,Birmingham,Birmingham Classic ,22/06/2019,Premier,Outdoor,Grass,Semifinals,3,Barty A.,Strycova B.,2,51,6125,1125,6,4,6,4,,,2,0,Completed,1.16,5,1.16,6.23,1.18,6.25,1.15,5.49
30,Birmingham,Birmingham Classic ,22/06/2019,Premier,Outdoor,Grass,Semifinals,3,Goerges J.,Martic P.,19,25,2400,1975,6,4,6,3,,,2,0,Completed,1.72,2.1,1.87,2.06,1.91,2.13,1.82,1.99
30,Birmingham,Birmingham Classic ,23/06/2019,Premier,Outdoor,Grass,The Final,3,Barty A.,Goerges J.,2,19,6125,2400,6,3,7,5,,,2,0,Completed,1.28,3.75,1.28,4.21,1.3,4.3,1.26,3.87
