ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Armando H.,Zib T.,189,119,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Chela J.I.,Stanoytchev O.,60,161,6,1,6,1,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Coria G.,Russell M.,73,138,6,4,7,5,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Delgado R.,Massu N.,254,68,6,1,3,6,7,5,,,,,2,1,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Etlis G.,Charpentier M.,177,159,6,3,6,1,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Gonzalez F.,Serrano O.,115,130,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Hadad M.,Sa A.,290,105,6,3,3,6,6,4,,,,,2,1,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Hantschk M.,Agenor R.,97,140,7,6,6,3,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Hirigoyen I.,Horna L.,333,135,4,6,7,6,6,4,,,,,2,1,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Marin J.A.,Davydenko N.,132,109,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Nalbandian D.,Meligeni F.,242,104,6,2,6,0,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Simoni A.,Moyano D.,152,147,6,7,6,4,6,4,,,,,2,1,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Stoliarov A.,Srichaphan P.,100,116,6,2,7,6,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Tobon M.,Alvarez E.,1023,127,7,6,6,3,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Vicente F.,Rodriguez M.,51,148,7,5,6,2,,,,,,,2,0,Completed,,,,,,,,
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,1st Round,3,Viloca J.A.,Costa A.,200,26,2,6,7,6,7,5,,,,,2,1,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,2nd Round,3,Chela J.I.,Etlis G.,60,177,4,6,7,6,6,1,,,,,2,1,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,2nd Round,3,Coria G.,Gonzalez F.,73,115,6,0,6,3,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,2nd Round,3,Hadad M.,Hantschk M.,290,97,6,2,6,2,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,2nd Round,3,Nalbandian D.,Tobon M.,242,1023,7,6,6,4,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,2nd Round,3,Simoni A.,Delgado R.,152,254,6,4,7,6,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,2nd Round,3,Stoliarov A.,Armando H.,100,189,7,6,4,6,6,3,,,,,2,1,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,2nd Round,3,Vicente F.,Hirigoyen I.,51,333,6,4,7,6,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,2nd Round,3,Viloca J.A.,Marin J.A.,200,132,6,3,6,4,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,Quarterfinals,3,Chela J.I.,Nalbandian D.,60,242,7,5,6,3,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,Quarterfinals,3,Simoni A.,Coria G.,152,73,6,4,6,4,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,Quarterfinals,3,Vicente F.,Stoliarov A.,51,100,6,7,6,3,6,1,,,,,2,1,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,Quarterfinals,3,Viloca J.A.,Hadad M.,200,290,6,3,3,6,6,4,,,,,2,1,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,Semifinals,3,Chela J.I.,Viloca J.A.,60,200,7,6,6,3,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,Semifinals,3,Vicente F.,Simoni A.,51,152,6,3,7,6,,,,,,,2,0,Completed
7,Bogota,Colombia Open,29/01/01,International,Outdoor,Clay,The Final,3,Vicente F.,Chela J.I.,51,60,6,4,7,6,,,,,,,2,0,Completed
