WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
8,Bogota,Copa Sony Ericsson Colsanitas,16/02/09,International,Outdoor,Clay,1st Round,3,Cetkovska P.,Zahlavova S.,82,166,781,370,7,5,6,2,,,2,0,Completed,1.44,2.62,1.4,2.85,1.4,2.75,,,1.44,2.7
8,Bogota,Copa Sony Ericsson Colsanitas,16/02/09,International,Outdoor,Clay,1st Round,3,Zakopalova K.,Oprandi R.,94,299,705,159,3,6,7,6,7,6,2,1,Completed,1.38,2.87,1.35,3.1,1.364,3,,,1.35,3.1
8,Bogota,Copa Sony Ericsson Colsanitas,16/02/09,International,Outdoor,Clay,1st Round,3,Gallovits E.,Zahlavova Strycova B.,67,68,856,851,6,2,6,2,,,2,0,Completed,1.5,2.5,1.45,2.6,1.57,2.25,,,1.45,2.67
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Olaru I.,Dominguez Lino L.,127,80,540,792,5,7,6,4,7,6,2,1,Completed,2.5,1.5,2.53,1.48,2.5,1.5,,,2.68,1.45
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Mayr P.,Obziler T.,96,179,688,344,6,2,6,3,,,2,0,Completed,1.5,2.5,1.55,2.35,1.571,2.25,,,1.54,2.4
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Llagostera Vives N.,Savchuk O.,76,113,811,588,6,2,6,0,,,2,0,Completed,1.25,3.75,1.25,3.75,1.25,3.75,,,1.25,3.8
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Johansson M.,Castano C.,73,165,824,372,6,7,6,4,6,4,2,1,Completed,1.83,1.83,2.05,1.75,1.833,1.833,,,2.15,1.67
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Ani M.,Salerni M.E.,111,241,594,224,5,7,6,2,7,5,2,1,Completed,2,1.72,2.05,1.75,1.833,1.833,,,1.88,1.88
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Suarez Navarro C.,Larsson J.,28,198,1682,296,7,6,6,4,,,2,0,Completed,1.12,5.5,1.1,6.25,1.111,6,,,1.1,6.75
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,De Los Rios R.,Sanchez O.,93,167,709,368,4,6,6,0,6,1,2,1,Completed,1.33,3.25,1.35,3.1,1.4,2.75,,,1.35,3.1
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Parra Santonja A.,Nunez Fuentes V.,292,550,164,57,6,2,6,1,,,2,0,Completed,1.33,3.25,1.3,3.35,1.364,3,,,1.32,3.25
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Marosi K.,Arn G.,181,158,331,390,7,5,3,6,7,5,2,1,Completed,1.61,2.2,1.7,2.1,1.667,2.1,,,1.73,2.06
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Martinez-Sanchez M.J.,Yakimova A.,66,97,858,681,6,1,6,3,,,2,0,Completed,1.61,2.2,1.31,3.25,1.72,2,,,1.7,2.1
8,Bogota,Copa Sony Ericsson Colsanitas,17/02/09,International,Outdoor,Clay,1st Round,3,Jozami B.,Duque Marino M.,134,102,496,621,5,7,6,0,6,1,2,1,Completed,2.37,1.53,2.3,1.6,2.2,1.615,,,2.28,1.6
