WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
18,Bogota,Copa Claro Colsanitas,07/04/14,International,Outdoor,Clay,1st Round,3,Dominguez Lino L.,Pereira T.,77,92,809,667,6,2,6,4,,,2,0,Completed,1.9,1.8,1.9,1.85,1.83,1.83,1.98,1.91,2,1.8,2.1,1.91,1.96,1.8
18,Bogota,Copa Claro Colsanitas,07/04/14,International,Outdoor,Clay,1st Round,3,Scheepers C.,Knapp K.,79,50,785,1144,6,3,7,6,,,2,0,Completed,2.2,1.61,2.2,1.65,2.25,1.57,2.24,1.71,2.25,1.62,2.38,1.71,2.23,1.62
18,Bogota,Copa Claro Colsanitas,07/04/14,International,Outdoor,Clay,1st Round,3,King V.,Majeric T.,71,133,845,488,6,1,7,5,,,2,0,Completed,1.2,4.33,1.25,3.75,1.25,3.75,1.26,4.2,1.25,3.75,1.29,4.33,1.24,3.9
18,Bogota,Copa Claro Colsanitas,07/04/14,International,Outdoor,Clay,1st Round,3,Panova A.,Mladenovic K.,134,87,482,690,6,1,4,6,6,2,2,1,Completed,2,1.72,2.05,1.75,2,1.73,2.36,1.65,2.1,1.73,2.36,1.8,2.06,1.74
18,Bogota,Copa Claro Colsanitas,07/04/14,International,Outdoor,Clay,1st Round,3,Khromacheva I.,Rogowska O.,234,130,246,493,6,2,6,2,,,2,0,Completed,,,,,,,,,,,,,,
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Irigoyen M.,Kudryavtseva A.,156,117,392,546,6,2,4,6,6,3,2,1,Completed,2.2,1.61,2.2,1.65,2,1.73,2.27,1.7,2.1,1.73,2.35,1.73,2.17,1.66
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Oprandi R.,Maria T.,116,339,551,130,7,6,6,1,,,2,0,Completed,1.08,7,1.1,6.5,1.12,5.5,1.13,7.26,1.08,7.5,1.13,7.5,1.1,6.62
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Begu I.,Schmiedlova A.,119,65,538,905,6,3,6,1,,,2,0,Completed,1.66,2.1,1.75,2.05,1.67,2.1,1.78,2.14,1.73,2.1,1.91,2.2,1.75,2.03
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Kovinic D.,Gibbs N.,144,168,448,362,4,6,6,3,6,0,2,1,Completed,2,1.72,2.05,1.75,2,1.73,2.21,1.74,2.1,1.73,2.21,1.8,2.07,1.72
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Arruabarrena L.,Herazo Gonzalez M.,182,731,337,27,6,1,6,0,,,2,0,Completed,1.06,8,1.07,8,1.06,8,1.07,10.91,1.07,8,1.08,11.5,1.06,8.88
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Shapatava S.,Pfizenmaier D.,215,82,269,746,6,4,2,6,6,2,2,1,Completed,2.62,1.44,2.7,1.45,3,1.36,2.63,1.54,3.25,1.33,3.25,1.54,2.66,1.45
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Duque Marino M.,Stephens S.,129,18,501,2550,6,3,6,3,,,2,0,Completed,3.25,1.33,3.4,1.3,3.4,1.3,3.37,1.36,3.25,1.33,3.5,1.4,3.27,1.31
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Lizarazo Y.,Vickery S.,742,194,26,299,7,5,6,4,,,2,0,Completed,4.5,1.16,4.5,1.18,4.5,1.17,5.11,1.2,4.75,1.18,5.5,1.21,4.7,1.18
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Garcia C.,Molinero F.,74,184,821,328,6,3,6,4,,,2,0,Completed,1.4,2.75,1.42,2.8,1.4,2.75,1.49,2.78,1.4,2.88,1.49,3.05,1.42,2.77
18,Bogota,Copa Claro Colsanitas,08/04/14,International,Outdoor,Clay,1st Round,3,Ormaechea P.,Mayr P.,73,81,827,751,7,5,6,1,,,2,0,Completed,1.5,2.5,1.52,2.45,1.53,2.38,1.52,2.71,1.57,2.38,1.57,2.71,1.53,2.45
18,Bogota,Copa Claro Colsanitas,09/04/14,International,Outdoor,Clay,1st Round,3,Jankovic J.,Johansson M.,9,147,3955,439,7,5,7,5,,,2,0,Completed,1.06,9,1.08,7.5,1.08,7,1.07,10.43,1.06,8.5,1.09,10.43,1.06,8.43
18,Bogota,Copa Claro Colsanitas,09/04/14,International,Outdoor,Clay,2nd Round,3,Dominguez Lino L.,Lizarazo Y.,77,742,809,26,6,2,6,3,,,2,0,Completed,1.07,8,1.12,5.75,1.1,6.5,1.09,9.16,1.1,7,1.12,9.16,1.09,6.86
18,Bogota,Copa Claro Colsanitas,09/04/14,International,Outdoor,Clay,2nd Round,3,Scheepers C.,Panova A.,79,134,785,482,6,3,6,2,,,2,0,Completed,1.61,2.2,1.6,2.3,1.53,2.38,1.59,2.53,1.62,2.25,1.66,2.53,1.6,2.3
18,Bogota,Copa Claro Colsanitas,09/04/14,International,Outdoor,Clay,2nd Round,3,King V.,Irigoyen M.,71,156,845,392,6,4,3,6,6,0,2,1,Completed,1.4,2.75,1.42,2.8,1.44,2.62,1.49,2.85,1.4,2.88,1.49,2.95,1.43,2.73
18,Bogota,Copa Claro Colsanitas,09/04/14,International,Outdoor,Clay,2nd Round,3,Duque Marino M.,Khromacheva I.,129,234,501,246,6,2,6,4,,,2,0,Completed,1.36,3,1.35,3.1,1.36,3,1.38,3.31,1.36,3,1.38,3.35,1.34,3.13
18,Bogota,Copa Claro Colsanitas,10/04/14,International,Outdoor,Clay,2nd Round,3,Oprandi R.,Begu I.,116,119,551,538,6,4,6,1,,,2,0,Completed,2.75,1.4,2.8,1.42,2.62,1.44,2.97,1.45,2.75,1.44,3,1.49,2.76,1.42
18,Bogota,Copa Claro Colsanitas,10/04/14,International,Outdoor,Clay,2nd Round,3,Garcia C.,Kovinic D.,74,144,821,448,2,6,6,3,6,4,2,1,Completed,1.4,2.75,1.45,2.7,1.44,2.62,1.49,2.82,1.44,2.75,1.5,3,1.45,2.67
18,Bogota,Copa Claro Colsanitas,10/04/14,International,Outdoor,Clay,2nd Round,3,Jankovic J.,Shapatava S.,9,215,3955,269,6,4,6,3,,,2,0,Completed,1.02,17,1.02,12,1.03,10,1.03,18,1.02,13,1.04,18,1.02,13.15
18,Bogota,Copa Claro Colsanitas,10/04/14,International,Outdoor,Clay,2nd Round,3,Arruabarrena L.,Ormaechea P.,182,73,337,827,6,4,7,6,,,2,0,Completed,2.37,1.53,2.3,1.6,2.2,1.62,2.44,1.63,2.2,1.67,2.44,1.67,2.27,1.61
18,Bogota,Copa Claro Colsanitas,11/04/14,International,Outdoor,Clay,Quarterfinals,3,King V.,Duque Marino M.,71,129,845,501,7,6,7,5,,,2,0,Completed,1.9,1.8,2.05,1.75,1.91,1.8,1.92,2.01,2,1.8,2.08,2.01,1.96,1.81
18,Bogota,Copa Claro Colsanitas,11/04/14,International,Outdoor,Clay,Quarterfinals,3,Scheepers C.,Dominguez Lino L.,79,77,785,809,6,2,6,1,,,2,0,Completed,2,1.72,1.9,1.85,2,1.73,1.93,1.99,2,1.8,2.01,1.99,1.95,1.82
18,Bogota,Copa Claro Colsanitas,11/04/14,International,Outdoor,Clay,Quarterfinals,3,Garcia C.,Oprandi R.,74,116,821,551,6,1,7,5,,,2,0,Completed,2.37,1.53,2.25,1.62,2.25,1.57,2.56,1.59,2.25,1.62,2.6,1.62,2.35,1.57
18,Bogota,Copa Claro Colsanitas,11/04/14,International,Outdoor,Clay,Quarterfinals,3,Jankovic J.,Arruabarrena L.,9,182,3955,337,6,4,6,4,,,2,0,Completed,1.1,7,1.08,7.5,1.07,7.5,1.11,8.53,1.06,7.5,1.13,9,1.09,7.17
18,Bogota,Copa Claro Colsanitas,12/04/14,International,Outdoor,Clay,Semifinals,3,Garcia C.,King V.,74,71,821,845,6,2,6,4,,,2,0,Completed,1.72,2.1,1.65,2.2,1.67,2.1,1.85,2.09,1.67,2.2,1.85,2.3,1.69,2.14
18,Bogota,Copa Claro Colsanitas,12/04/14,International,Outdoor,Clay,Semifinals,3,Jankovic J.,Scheepers C.,9,79,3955,785,6,1,7,5,,,2,0,Completed,1.2,4.5,1.22,4,1.2,4.33,1.22,5.05,1.2,4.5,1.25,5.05,1.21,4.32
18,Bogota,Copa Claro Colsanitas,13/04/14,International,Outdoor,Clay,The Final,3,Garcia C.,Jankovic J.,74,9,821,3955,6,3,6,4,,,2,0,Completed,5,1.16,4.5,1.18,4.5,1.2,5.21,1.21,5,1.17,5.3,1.21,4.7,1.18
