ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
42,Bogota,Claro Open Colombia,20/07/15,ATP250,Outdoor,Clay,1st Round,3,Sugita Y.,Barrientos N.,152,293,337,161,3,6,6,3,6,4,,,,,2,1,Completed,1.33,3.25,1.38,2.9,1.33,3.25,1.38,3.27,1.44,3.27,1.36,3.06
42,Bogota,Claro Open Colombia,21/07/15,ATP250,Outdoor,Clay,1st Round,3,Jaziri M.,Krajicek A.,82,126,606,427,6,7,6,2,6,4,,,,,2,1,Completed,1.72,2,1.8,2,1.67,2.1,1.94,1.94,1.94,2.1,1.8,1.97
42,Bogota,Claro Open Colombia,21/07/15,ATP250,Outdoor,Clay,1st Round,3,Demoliner M.,Marchenko I.,1184,106,6,499,6,3,7,5,,,,,,,2,0,Completed,5.5,1.14,5,1.15,5,1.14,5.85,1.17,5.85,1.18,5.19,1.15
42,Bogota,Claro Open Colombia,21/07/15,ATP250,Outdoor,Clay,1st Round,3,Ito T.,Ebden M.,105,131,504,414,1,6,6,3,6,4,,,,,2,1,Completed,2.5,1.5,2.5,1.5,2.25,1.57,2.52,1.58,2.67,1.59,2.43,1.54
42,Bogota,Claro Open Colombia,21/07/15,ATP250,Outdoor,Clay,1st Round,3,Sarkissian A.,Millman J.,204,97,234,531,6,3,6,3,,,,,,,2,0,Completed,3,1.36,3.1,1.35,3.75,1.25,3.37,1.36,3.75,1.4,3.13,1.35
42,Bogota,Claro Open Colombia,21/07/15,ATP250,Outdoor,Clay,1st Round,3,Stepanek R.,Roger-Vasselin E.,369,149,117,358,3,6,6,3,6,4,,,,,2,1,Completed,2.1,1.66,2.05,1.75,2.1,1.67,2.07,1.83,2.25,1.84,2.03,1.75
42,Bogota,Claro Open Colombia,21/07/15,ATP250,Outdoor,Clay,1st Round,3,Menendez-Maceiras A.,Gonzalez A.,116,115,470,470,4,6,6,4,7,6,,,,,2,1,Completed,1.72,2,1.82,1.9,1.83,1.83,1.8,2.11,1.83,2.11,1.79,1.98
42,Bogota,Claro Open Colombia,22/07/15,ATP250,Outdoor,Clay,1st Round,3,Ram R.,Falla A.,86,120,570,448,6,4,3,6,6,3,,,,,2,1,Completed,3.25,1.33,3.2,1.33,3.25,1.33,3.18,1.4,3.4,1.4,3.09,1.35
42,Bogota,Claro Open Colombia,22/07/15,ATP250,Outdoor,Clay,1st Round,3,Berrer M.,Ward J.,129,93,421,551,6,4,6,7,7,5,,,,,2,1,Completed,1.5,2.5,1.52,2.45,1.53,2.38,1.58,2.52,1.58,2.68,1.53,2.44
42,Bogota,Claro Open Colombia,22/07/15,ATP250,Outdoor,Clay,1st Round,3,Groth S.,Pella G.,64,104,765,510,7,5,4,6,7,5,,,,,2,1,Completed,1.4,2.75,1.38,3,1.4,2.75,1.4,3.2,1.42,3.27,1.37,3
42,Bogota,Claro Open Colombia,22/07/15,ATP250,Outdoor,Clay,1st Round,3,Galan D.E.,Riba P.,607,261,48,180,7,6,6,3,,,,,,,2,0,Completed,2.25,1.57,2.35,1.58,2.25,1.57,2.4,1.63,2.5,1.67,2.3,1.59
42,Bogota,Claro Open Colombia,23/07/15,ATP250,Outdoor,Clay,1st Round,3,Gomez A.,Baghdatis M.,698,45,34,925,6,3,0,6,7,6,,,,,2,1,Completed,10,1.06,8.25,1.06,9,1.04,10.15,1.07,10.15,1.08,8.72,1.06
42,Bogota,Claro Open Colombia,23/07/15,ATP250,Outdoor,Clay,2nd Round,3,Mannarino A.,Ram R.,33,86,1150,570,7,5,6,3,,,,,,,2,0,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.4,3.22,1.47,3.22,1.42,2.79
