WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
19,Bogota,Copa Claro Colsanitas,10/04/17,International,Outdoor,Clay,1st Round,3,Arruabarrena L.,Perrin C.,65,198,880,268,4,6,6,3,6,2,2,1,Completed,1.18,4.5,1.17,4.4,1.22,4.33,1.2,5.11,1.22,5.11,1.19,4.57
19,Bogota,Copa Claro Colsanitas,10/04/17,International,Outdoor,Clay,1st Round,3,Vickery S.,Mayo A.,133,N/A,443,N/A,6,0,6,2,,,2,0,Completed,1.005,34,1.01,11.5,1.01,26,1.01,25.62,1.02,34,1.01,19.04
19,Bogota,Copa Claro Colsanitas,10/04/17,International,Outdoor,Clay,1st Round,3,Kostova E.,Min G.,146,127,392,463,6,3,6,1,,,2,0,Completed,2,1.72,2.1,1.65,2,1.73,2.26,1.7,2.26,1.8,2.09,1.72
19,Bogota,Copa Claro Colsanitas,10/04/17,International,Outdoor,Clay,1st Round,3,Burger C.,Maria T.,171,104,316,609,5,7,6,3,6,4,2,1,Completed,2.25,1.57,2.2,1.6,2.2,1.67,2.34,1.66,2.38,1.67,2.26,1.62
19,Bogota,Copa Claro Colsanitas,10/04/17,International,Outdoor,Clay,1st Round,3,Krunic A.,Duque-Marino M.,132,100,450,617,6,2,6,4,,,2,0,Completed,2.5,1.5,2.5,1.47,2.38,1.53,2.56,1.56,2.58,1.58,2.45,1.53
19,Bogota,Copa Claro Colsanitas,10/04/17,International,Outdoor,Clay,1st Round,3,Larsson J.,Ferro F.,57,215,965,239,2,6,6,2,6,1,2,1,Completed,1.22,4,1.23,3.75,1.29,3.75,1.28,4.06,1.31,4.06,1.27,3.65
19,Bogota,Copa Claro Colsanitas,11/04/17,International,Outdoor,Clay,1st Round,3,Cepede Royg V.,Haddad Maia B.,109,153,535,376,2,6,6,3,6,4,2,1,Completed,2,1.72,1.95,1.75,2,1.8,2.06,1.84,2.1,1.84,2.01,1.78
19,Bogota,Copa Claro Colsanitas,11/04/17,International,Outdoor,Clay,1st Round,3,Errani S.,Alexandrova E.,121,89,483,680,6,2,6,4,,,2,0,Completed,1.72,2,1.72,2,1.91,1.91,1.86,2.03,1.91,2.07,1.8,1.98
19,Bogota,Copa Claro Colsanitas,11/04/17,International,Outdoor,Clay,1st Round,3,Jakupovic D.,Falconi I.,142,103,410,616,6,2,6,4,,,2,0,Completed,2.2,1.61,2.15,1.62,2.1,1.73,2.18,1.75,2.3,1.75,2.16,1.67
19,Bogota,Copa Claro Colsanitas,11/04/17,International,Outdoor,Clay,1st Round,3,Linette M.,Podoroska N.,84,175,706,308,6,1,6,3,,,2,0,Completed,1.44,2.62,1.45,2.55,1.53,2.5,1.51,2.72,1.53,2.75,1.48,2.6
19,Bogota,Copa Claro Colsanitas,11/04/17,International,Outdoor,Clay,1st Round,3,Soler-Espinosa S.,Sakkari M.,118,87,510,696,6,3,7,6,,,2,0,Completed,2.75,1.4,2.65,1.42,2.75,1.4,2.76,1.5,2.86,1.5,2.72,1.44
