WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
2,Brisbane,Brisbane International,01/01/12,International,Outdoor,Hard,1st Round,3,Schiavone F.,Pervak K.,11,39,3900,1365,4,4,,,,,0,0,Retired,1.33,3.25,1.4,2.8,1.44,2.62,1.41,3.13,1.36,3,1.48,3.25,1.39,2.85
2,Brisbane,Brisbane International,01/01/12,International,Outdoor,Hard,1st Round,3,Benesova I.,Safarova L.,54,25,1108,2070,2,6,7,5,7,5,2,1,Completed,3.25,1.33,3,1.35,3,1.36,3.27,1.38,3.25,1.29,3.5,1.38,3.15,1.33
2,Brisbane,Brisbane International,01/01/12,International,Outdoor,Hard,1st Round,3,Jovanovski B.,Dellacqua C.,76,134,870,498,6,4,6,2,,,2,0,Completed,1.9,1.8,1.87,1.87,1.91,1.8,2.05,1.85,1.83,1.83,2.08,2.05,1.91,1.82
2,Brisbane,Brisbane International,01/01/12,International,Outdoor,Hard,1st Round,3,Clijsters K.,Halep S.,13,47,3161,1161,6,1,6,4,,,2,0,Completed,1.08,8,1.1,6.5,1.08,7,1.1,8.15,1.05,9,1.1,10,1.07,7.39
2,Brisbane,Brisbane International,01/01/12,International,Outdoor,Hard,1st Round,3,Hantuchova D.,Cibulkova D.,24,18,2095,2755,3,6,6,4,6,3,2,1,Completed,2,1.72,1.95,1.8,2.1,1.67,2.1,1.8,1.91,1.8,2.1,1.87,1.94,1.79
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,Voskoboeva G.,Dushevina V.,58,86,1057,798,6,0,6,0,,,2,0,Completed,1.83,1.83,1.85,1.9,1.8,1.91,1.98,1.91,1.73,2,1.98,2.02,1.83,1.92
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,Ivanovic A.,Paszek T.,22,42,2260,1233,6,3,6,3,,,2,0,Completed,1.25,3.75,1.25,3.75,1.2,4.33,1.25,4.36,1.25,3.5,1.3,6.5,1.25,3.79
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,Zahlavova Strycova B.,Rogowska O.,44,167,1225,383,6,2,4,6,6,4,2,1,Completed,1.28,3.5,1.3,3.3,1.29,3.5,1.35,3.47,1.25,3.5,1.35,4.1,1.29,3.41
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,King V.,Czink M.,75,143,872,460,6,3,6,4,,,2,0,Completed,1.4,2.75,1.45,2.65,1.5,2.5,1.43,3.04,1.4,2.75,1.5,3.04,1.43,2.74
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,Williams S.,Scheepers C.,12,38,3180,1376,6,2,6,3,,,2,0,Completed,1.05,11,1.08,7,1.06,8,1.05,12.39,1.05,8,1.1,12.39,1.05,9.13
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,Petkovic A.,Peer S.,10,37,4580,1460,7,6,1,6,6,3,2,1,Completed,1.22,4,1.25,3.75,1.3,3.4,1.24,4.44,1.22,3.75,1.3,4.44,1.25,3.77
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Hercog P.,16,36,2865,1490,6,1,4,1,,,1,0,Retired,1.25,3.75, ,,1.33,3.25,1.29,3.94,1.25,3.5,1.34,4.09,1.27,3.61
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,Kanepi K.,Panova A.,34,121,1580,544,7,5,3,6,6,2,2,1,Completed,1.25,3.75,1.3,3.3,1.25,3.75,1.32,3.66,1.22,3.75,1.33,4.2,1.26,3.74
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,Bratchikova N.,Zakopalova K.,154,41,422,1285,1,6,6,4,7,5,2,1,Completed,3.25,1.33,3,1.35,3.5,1.29,3.37,1.36,3,1.33,3.65,1.38,3.21,1.32
2,Brisbane,Brisbane International,02/01/12,International,Outdoor,Hard,1st Round,3,Jankovic J.,Suarez Navarro C.,14,56,3115,1107,6,4,6,2,,,2,0,Completed,1.18,4.5,1.2,4.25,1.17,4.5,1.22,4.74,1.17,4.5,1.29,4.77,1.19,4.25
