WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Tsurenko L.,Buzarnescu M.,27,24,1755,1820,6,0,6,2,,,2,0,Completed,1.8,1.9,1.95,1.93,1.96,2.04,1.89,1.92
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Birrell K.,Kasatkina D.,283,10,170,3415,5,7,6,4,7,6,2,1,Completed,6.5,1.11,6.81,1.13,7.24,1.14,6.35,1.12
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Pliskova Ka.,Putintseva Y.,8,44,4465,1145,4,6,6,3,6,4,2,1,Completed,1.16,5,1.2,5.11,1.21,5.3,1.18,4.86
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Aiava D.,Mladenovic K.,247,43,226,1155,6,3,7,6,,,2,0,Completed,2,1.72,2.1,1.81,2.3,1.81,2.12,1.73
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Bertens K.,Mertens E.,9,12,4335,3165,6,2,6,7,6,4,2,1,Completed,1.9,1.8,2.06,1.84,2.06,1.88,1.99,1.82
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Vekic D.,Rybarikova M.,34,48,1455,1056,6,1,6,2,,,2,0,Completed,1.5,2.5,1.57,2.55,1.6,2.6,1.55,2.48
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Dart H.,Hon P.,149,157,392,371,1,6,6,3,6,4,2,1,Completed,1.53,2.37,1.54,2.63,1.57,2.7,1.53,2.52
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Kontaveit A.,Suarez Navarro C.,20,23,2480,2153,6,0,6,3,,,2,0,Completed,1.72,2,1.79,2.12,1.83,2.12,1.79,2.02
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Bouzkova M.,Stosur S.,139,74,431,800,4,6,6,2,6,2,2,1,Completed,1.61,2.2,1.58,2.52,1.67,2.65,1.58,2.39
2,Brisbane,Brisbane International,01/01/2019,Premier,Outdoor,Hard,1st Round,3,Tomljanovic A.,Siniakova K.,46,31,1082,1492,1,6,6,3,6,0,2,1,Completed,2.25,1.57,2.5,1.59,2.58,1.65,2.39,1.58
2,Brisbane,Brisbane International,01/01/2019,Premier,Outdoor,Hard,1st Round,3,Konta J.,Stephens S.,37,6,1300,5023,6,4,6,3,,,2,0,Completed,2,1.72,2.15,1.78,2.2,1.8,2.1,1.74
2,Brisbane,Brisbane International,01/01/2019,Premier,Outdoor,Hard,1st Round,3,Sevastova A.,Gavrilova D.,11,35,3240,1335,6,3,6,3,,,2,0,Completed,1.4,2.75,1.48,2.83,1.5,3.37,1.44,2.77
2,Brisbane,Brisbane International,01/01/2019,Premier,Outdoor,Hard,1st Round,3,Sasnovich A.,Potapova A.,30,93,1570,648,6,4,7,5,,,2,0,Completed,1.66,2.1,1.66,2.34,1.78,2.62,1.64,2.27
2,Brisbane,Brisbane International,01/01/2019,Premier,Outdoor,Hard,1st Round,3,Kvitova P.,Collins D.,7,36,4630,1319,6,7,7,6,6,3,2,1,Completed,1.2,4.33,1.26,4.21,1.28,4.5,1.24,4.06
2,Brisbane,Brisbane International,01/01/2019,Premier,Outdoor,Hard,2nd Round,3,Osaka N.,Aiava D.,5,247,5115,226,6,3,6,2,,,2,0,Completed,1.14,5.5,1.18,5.56,1.19,6.41,1.16,5.34
2,Brisbane,Brisbane International,01/01/2019,Premier,Outdoor,Hard,2nd Round,3,Tsurenko L.,Birrell K.,27,283,1755,170,6,4,6,3,,,2,0,Completed,1.18,4.5,1.21,5.11,1.22,5.5,1.19,4.78
2,Brisbane,Brisbane International,02/01/2019,Premier,Outdoor,Hard,2nd Round,3,Sevastova A.,Dart H.,11,149,3240,392,6,2,6,0,,,2,0,Completed,1.12,6,1.17,5.94,1.2,6.1,1.16,5.35
2,Brisbane,Brisbane International,02/01/2019,Premier,Outdoor,Hard,2nd Round,3,Kontaveit A.,Kvitova P.,20,7,2480,4630,7,5,7,6,,,2,0,Completed,1.9,1.8,2.01,1.89,2.05,2,1.92,1.89
2,Brisbane,Brisbane International,02/01/2019,Premier,Outdoor,Hard,2nd Round,3,Vekic D.,Bertens K.,34,9,1455,4335,7,6,1,6,7,5,2,1,Completed,2.2,1.61,2.35,1.67,2.35,1.69,2.27,1.64
2,Brisbane,Brisbane International,02/01/2019,Premier,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Bouzkova M.,8,139,4465,431,7,5,6,2,,,2,0,Completed,1.2,4.33,1.24,4.58,1.25,4.7,1.21,4.39
2,Brisbane,Brisbane International,02/01/2019,Premier,Outdoor,Hard,2nd Round,3,Tomljanovic A.,Konta J.,46,37,1082,1300,6,2,7,6,,,2,0,Completed,3.25,1.33,3.18,1.41,3.25,1.45,2.98,1.4
2,Brisbane,Brisbane International,02/01/2019,Premier,Outdoor,Hard,2nd Round,3,Sasnovich A.,Svitolina E.,30,4,1570,5350,6,4,0,6,6,3,2,1,Completed,3.5,1.28,3.81,1.31,3.81,1.33,3.55,1.3
2,Brisbane,Brisbane International,03/01/2019,Premier,Outdoor,Hard,Quarterfinals,3,Osaka N.,Sevastova A.,5,11,5115,3240,3,6,6,0,6,4,2,1,Completed,1.9,1.9,1.93,1.99,2.46,2.05,1.88,1.94
2,Brisbane,Brisbane International,03/01/2019,Premier,Outdoor,Hard,Quarterfinals,3,Tsurenko L.,Kontaveit A.,27,20,1755,2480,7,5,6,3,,,2,0,Completed,2.2,1.66,2.3,1.71,2.47,1.71,2.27,1.64
2,Brisbane,Brisbane International,04/01/2019,Premier,Outdoor,Hard,Quarterfinals,3,Vekic D.,Sasnovich A.,34,30,1455,1570,6,2,6,0,,,2,0,Completed,1.72,2.1,1.83,2.12,1.87,2.2,1.77,2.07
2,Brisbane,Brisbane International,04/01/2019,Premier,Outdoor,Hard,Quarterfinals,3,Pliskova Ka.,Tomljanovic A.,8,46,4465,1082,6,1,1,6,6,1,2,1,Completed,1.33,3.4,1.37,3.43,1.4,3.56,1.35,3.24
2,Brisbane,Brisbane International,05/01/2019,Premier,Outdoor,Hard,Semifinals,3,Tsurenko L.,Osaka N.,27,5,1755,5115,6,2,6,4,,,2,0,Completed,3,1.4,3.23,1.41,3.27,1.44,3,1.4
2,Brisbane,Brisbane International,05/01/2019,Premier,Outdoor,Hard,Semifinals,3,Pliskova Ka.,Vekic D.,8,34,4465,1455,6,3,6,4,,,2,0,Completed,1.66,2.2,1.7,2.32,1.71,2.35,1.67,2.23
2,Brisbane,Brisbane International,06/01/2019,Premier,Outdoor,Hard,The Final,3,Pliskova Ka.,Tsurenko L.,8,27,4465,1755,4,6,7,5,6,2,2,1,Completed,1.61,2.3,1.62,2.49,1.67,2.5,1.6,2.35
