ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
50,Bucharest,Open Romania,21/09/09,ATP250,Outdoor,Clay,1st Round,3,Luczak P.,Beck K.,70,90,760,656,7,5,7,6,,,,,,,2,0,Completed,1.3,3.4,1.28,3.5,1.3,3.4,1.25,3.5,1.33,3.2
50,Bucharest,Open Romania,21/09/09,ATP250,Outdoor,Clay,1st Round,3,Granollers M.,Luncanu P.A.,79,328,715,142,6,2,6,7,6,1,,,,,2,1,Completed,1.14,5,1.17,4.67,1.16,4.5,1.14,5,1.16,5
50,Bucharest,Open Romania,22/09/09,ATP250,Outdoor,Clay,1st Round,3,Monaco J.,Silva J.,37,160,1110,354,6,2,6,4,,,,,,,2,0,Completed,1.12,5.5,1.11,5.84,1.1,6.5,1.13,5.5,1.1,6.7
50,Bucharest,Open Romania,22/09/09,ATP250,Outdoor,Clay,1st Round,3,Koellerer D.,Volandri F.,57,227,838,227,2,6,7,5,6,3,,,,,2,1,Completed,1.61,2.2,1.65,2.15,1.615,2.2,,,,
50,Bucharest,Open Romania,22/09/09,ATP250,Outdoor,Clay,1st Round,3,Riba P.,Gil F.,157,102,372,578,7,5,5,7,6,2,,,,,2,1,Completed,1.9,1.8,1.95,1.8,1.909,1.8,2,1.73,1.92,1.84
50,Bucharest,Open Romania,22/09/09,ATP250,Outdoor,Clay,1st Round,3,Ventura S.,Andreev I.,112,43,514,1040,6,4,6,1,,,,,,,2,0,Completed,3,1.36,3.1,1.35,3,1.364,3,1.33,3,1.37
50,Bucharest,Open Romania,22/09/09,ATP250,Outdoor,Clay,1st Round,3,Ramirez-Hidalgo R.,Seppi A.,125,56,477,850,6,4,6,4,,,,,,,2,0,Completed,3.25,1.33,3.4,1.3,3,1.364,2.88,1.36,3.2,1.33
50,Bucharest,Open Romania,22/09/09,ATP250,Outdoor,Clay,1st Round,3,Almagro N.,Bolelli S.,30,63,1225,816,6,4,6,3,,,,,,,2,0,Completed,1.4,2.75,1.37,3,1.4,2.75,1.33,3,1.42,2.78
50,Bucharest,Open Romania,22/09/09,ATP250,Outdoor,Clay,1st Round,3,Martin A.,Serra F.,78,86,722,691,4,6,6,0,6,4,,,,,2,1,Completed,2.37,1.53,2.45,1.5,2.375,1.533,2.38,1.53,2.52,1.5
50,Bucharest,Open Romania,22/09/09,ATP250,Outdoor,Clay,1st Round,3,Gonzalez M.,Rochus O.,67,83,774,703,6,7,6,1,6,4,,,,,2,1,Completed,1.61,2.2,1.65,2.15,1.667,2.1,1.67,2.1,1.75,2.03
