ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
25,Bucharest,BRD Nastase Tiriac Trophy,21/04/14,ATP250,Outdoor,Clay,1st Round,3,Vesely J.,Chardy J.,79,48,635,970,7,6,6,0,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,2.2,1.62,2.06,1.83,2.2,1.67,2.3,1.83,2.11,1.7
25,Bucharest,BRD Nastase Tiriac Trophy,21/04/14,ATP250,Outdoor,Clay,1st Round,3,Stakhovsky S.,Ciorcila P.,92,589,605,52,2,6,6,2,6,1,,,,,2,1,Completed,1.16,5,1.12,5.5,1.12,5.5,1.17,5.7,1.14,5.5,1.17,6.5,1.13,5.48
25,Bucharest,BRD Nastase Tiriac Trophy,21/04/14,ATP250,Outdoor,Clay,1st Round,3,Nieminen J.,Mayer L.,54,86,840,619,6,3,3,6,7,6,,,,,2,1,Completed,1.57,2.25,1.62,2.25,1.62,2.2,1.68,2.3,1.57,2.38,1.71,2.38,1.62,2.25
25,Bucharest,BRD Nastase Tiriac Trophy,22/04/14,ATP250,Outdoor,Clay,1st Round,3,Rosol L.,Volandri F.,43,83,1016,627,6,1,7,6,,,,,,,2,0,Completed,1.25,3.75,1.2,4.3,1.22,4,1.29,3.9,1.22,4,1.3,4.75,1.23,4.02
25,Bucharest,BRD Nastase Tiriac Trophy,22/04/14,ATP250,Outdoor,Clay,1st Round,3,Istomin D.,Bellucci T.,53,109,845,557,7,6,7,6,,,,,,,2,0,Completed,2.75,1.4,3,1.38,2.75,1.4,2.94,1.45,2.75,1.44,3.25,1.45,2.84,1.4
25,Bucharest,BRD Nastase Tiriac Trophy,22/04/14,ATP250,Outdoor,Clay,1st Round,3,Berlocq C.,Seppi A.,61,35,735,1165,6,0,2,6,7,6,,,,,2,1,Completed,1.72,2,1.75,2.05,1.73,2,1.72,2.23,1.73,2.1,1.83,2.25,1.72,2.08
25,Bucharest,BRD Nastase Tiriac Trophy,22/04/14,ATP250,Outdoor,Clay,1st Round,3,Haase R.,Ebden M.,50,62,947,720,6,4,6,3,,,,,,,2,0,Completed,1.14,5.5,1.16,5,1.17,4.5,1.17,5.75,1.14,5.5,1.18,5.75,1.16,5.08
25,Bucharest,BRD Nastase Tiriac Trophy,22/04/14,ATP250,Outdoor,Clay,1st Round,3,Berankis R.,Basilashvili N.,157,310,347,145,6,7,6,3,6,4,,,,,2,1,Completed,1.3,3.4,1.3,3.4,1.3,3.4,1.29,3.9,1.29,3.5,1.36,3.9,1.31,3.36
25,Bucharest,BRD Nastase Tiriac Trophy,22/04/14,ATP250,Outdoor,Clay,1st Round,3,Hanescu V.,Sela D.,84,81,626,631,6,3,6,4,,,,,,,2,0,Completed,1.16,5,1.18,4.5,1.17,4.5,1.18,5.47,1.17,5,1.2,6,1.17,4.86
25,Bucharest,BRD Nastase Tiriac Trophy,22/04/14,ATP250,Outdoor,Clay,1st Round,3,Mathieu P.H.,Mahut N.,102,39,569,1077,6,3,6,1,,,,,,,2,0,Completed,1.3,3.4,1.33,3.2,1.36,3,1.36,3.37,1.44,2.75,1.45,3.5,1.34,3.14
