WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
34,Bucharest,Bucharest Open,13/07/15,International,Outdoor,Clay,1st Round,3,Tig P.M.,Soler Espinosa S..,170,101,301,595,6,4,3,1,,,1,0,Retired,3.25,1.33,3.1,1.35,3,1.36,3.24,1.39,3.35,1.39,3.1,1.35
34,Bucharest,Bucharest Open,13/07/15,International,Outdoor,Clay,1st Round,3,Hercog P.,Smitkova T.,87,94,680,641,6,2,7,5,,,2,0,Completed,1.57,2.25,1.65,2.2,1.57,2.25,1.7,2.27,1.7,2.3,1.64,2.2
34,Bucharest,Bucharest Open,13/07/15,International,Outdoor,Clay,1st Round,3,Errani S.,Buyukakcay C.,20,145,2145,348,6,2,7,6,,,2,0,Completed,1.06,9,1.07,8,1.07,7.5,1.08,9.94,1.1,10.5,1.07,8.4
34,Bucharest,Bucharest Open,13/07/15,International,Outdoor,Clay,1st Round,3,Tatishvili A.,Voegele S.,134,107,399,543,6,4,7,5,,,2,0,Completed,2.5,1.5,2.4,1.55,2.5,1.5,2.5,1.59,2.69,1.59,2.44,1.53
34,Bucharest,Bucharest Open,14/07/15,International,Outdoor,Clay,1st Round,3,Peer S.,Bondarenko K.,121,120,490,493,2,6,6,4,6,4,2,1,Completed,2.75,1.4,2.7,1.45,2.62,1.44,2.84,1.48,2.85,1.48,2.71,1.44
34,Bucharest,Bucharest Open,14/07/15,International,Outdoor,Clay,1st Round,3,Kovinic D.,Martic P.,90,141,650,365,6,3,6,4,,,2,0,Completed,1.5,2.5,1.48,2.5,1.53,2.38,1.54,2.64,1.55,2.7,1.51,2.49
34,Bucharest,Bucharest Open,14/07/15,International,Outdoor,Clay,1st Round,3,Niculescu M.,Bogdan A.,41,204,1205,244,6,2,5,7,6,2,2,1,Completed,1.12,6,1.12,5.75,1.14,5,1.15,6.17,1.15,6.25,1.13,5.67
34,Bucharest,Bucharest Open,14/07/15,International,Outdoor,Clay,1st Round,3,Schmiedlova A.,Jani R.L.,60,226,896,207,6,1,6,2,,,2,0,Completed,1.3,3.4,1.35,3,1.3,3.4,1.42,3.09,1.42,3.4,1.35,3.1
34,Bucharest,Bucharest Open,14/07/15,International,Outdoor,Clay,1st Round,3,Krunic A.,Kulichkova E.,67,104,838,575,6,2,6,4,,,2,0,Completed,1.72,2,1.82,1.9,1.8,1.91,1.87,2.02,1.87,2.05,1.8,1.96
34,Bucharest,Bucharest Open,14/07/15,International,Outdoor,Clay,1st Round,3,Allertova D.,Dinu C.,79,369,746,93,6,4,3,6,6,3,2,1,Completed,1.36,3,1.38,3,1.44,2.62,1.4,3.18,1.44,3.18,1.4,2.88
