WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
34,Bucharest,Bucharest Open,15/07/2019,International,Outdoor,Clay,1st Round,3,Kuzmova V.,Jakupovic D.,54,145,1075,403,6,2,6,2,,,2,0,Completed,1.18,4.5,1.23,5.8,1.25,4.67,1.2,4.41
34,Bucharest,Bucharest Open,15/07/2019,International,Outdoor,Clay,1st Round,3,Bolsova A.,Flink V.,88,122,673,519,6,3,6,2,,,2,0,Completed,1.61,2.2,1.69,2.28,1.73,2.38,1.65,2.22
34,Bucharest,Bucharest Open,15/07/2019,International,Outdoor,Clay,1st Round,3,Siegemund L.,Kalinina A.,77,137,740,465,4,6,6,3,6,4,2,1,Completed,1.44,2.62,1.5,3,1.53,2.76,1.47,2.65
34,Bucharest,Bucharest Open,15/07/2019,International,Outdoor,Clay,1st Round,3,Rybakina E.,Badosa P.,106,116,594,535,7,5,7,6,,,2,0,Completed,1.53,2.37,1.55,2.6,1.58,2.6,1.54,2.44
34,Bucharest,Bucharest Open,15/07/2019,International,Outdoor,Clay,1st Round,3,Bonaventure Y.,Mrdeza T.,114,187,552,320,6,3,7,5,,,2,0,Completed,1.61,2.2,,,1.67,2.32,1.65,2.24
34,Bucharest,Bucharest Open,16/07/2019,International,Outdoor,Clay,1st Round,3,Kudermetova V.,Rus A.,56,128,1044,496,6,2,6,4,,,2,0,Completed,1.44,2.62,1.54,2.8,1.54,2.63,1.48,2.61
34,Bucharest,Bucharest Open,16/07/2019,International,Outdoor,Clay,1st Round,3,Pliskova Kr.,Cadantu A.,92,214,666,268,7,5,6,1,,,2,0,Completed,1.22,4,1.24,4.43,1.26,4.43,1.23,4.03
34,Bucharest,Bucharest Open,16/07/2019,International,Outdoor,Clay,1st Round,3,Juvan K.,Shinikova I.,111,232,565,246,5,7,6,1,6,1,2,1,Completed,1.16,5,1.16,5.86,1.19,5.86,1.16,5.1
34,Bucharest,Bucharest Open,16/07/2019,International,Outdoor,Clay,1st Round,3,Cristian J.,Cirstea S.,210,81,275,709,6,4,4,6,6,2,2,1,Completed,3,1.36,3.03,1.43,3.07,1.43,2.95,1.39
34,Bucharest,Bucharest Open,16/07/2019,International,Outdoor,Clay,1st Round,3,Fourlis J.,Bara I.,284,184,175,324,6,3,7,6,,,2,0,Completed,1.83,1.83,2.03,1.87,2.03,2,1.91,1.88
