WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
33,Budapest,Gaz de France Budapest Grand Prix,07/07/08,3,Outdoor,Clay,1st Round,3,Safarova L.,Nagy K.,67,182,468,159,6,2,6,2,,,2,0,Completed,1.14,5,1.17,4.67,1.143,5,1.211,5.35,1.16,5
33,Budapest,Gaz de France Budapest Grand Prix,07/07/08,3,Outdoor,Clay,1st Round,3,Obziler T.,Olaru I.,117,139,295,242,6,3,6,2,,,2,0,Completed,2,1.72,2.1,1.7,2,1.727,2.11,1.826,2.04,1.74
33,Budapest,Gaz de France Budapest Grand Prix,07/07/08,3,Outdoor,Clay,1st Round,3,Pironkova T.,Mircic T.,44,278,687,90,6,3,6,1,,,2,0,Completed,1.06,8,1.1,5.85,1.1,6.5,1.115,8.45,1.1,6.75
33,Budapest,Gaz de France Budapest Grand Prix,07/07/08,3,Outdoor,Clay,1st Round,3,Groenefeld A.L.,Kiraly P.,211,530,135,30,6,0,6,4,,,2,0,Completed,1.1,6.5,1.15,5.2,1.167,4.5,1.149,7.1,1.14,5.4
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Klepac A.,Zoric N.,135,462,247,39,6,4,6,4,,,2,0,Completed,1.33,3.25,1.35,3.1,1.364,3,1.45,3.02,1.4,2.85
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Rybarikova M.,Kutuzova V.,107,142,328,237,6,2,6,1,,,2,0,Completed,1.44,2.62,1.45,2.6,1.533,2.375,1.602,2.56,1.5,2.52
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Sprem K.,Parmentier P.,329,52,65,580,7,5,6,2,,,2,0,Completed,1.66,2.1,1.8,1.95,1.833,1.833,1.752,2.23,1.8,1.97
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Marosi K.,Lapushchenkova A.,799,109,10,326,6,3,6,1,,,2,0,Completed,4.5,1.16,4.25,1.2,4,1.222,5.12,1.221,4.4,1.19
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Kucova Z.,Bacsinszky T.,281,59,89,516,6,3,6,4,,,2,0,Completed,5.5,1.12,5.2,1.15,5,1.143,5.75,1.19,4.6,1.18
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Muller M.,Chvojkova V.,130,261,272,98,3,6,6,4,6,1,2,1,Completed,1.4,2.75,1.4,2.85,1.444,2.625,1.472,2.92,1.44,2.7
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Zakopalova K.,Cohen-Aloro S.,65,98,489,344,6,3,6,2,,,2,0,Completed,1.8,1.9,1.8,1.95,1.727,2,1.893,2.02,1.82,1.94
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Johansson M.,Hradecka L.,124,231,285,118,4,6,6,4,7,6,2,1,Completed,1.4,2.75,1.45,2.6,1.5,2.5,,,1.45,2.7
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Arn G.,Benesova I.,180,62,164,499,6,4,6,4,,,2,0,Completed,3.25,1.33,3.2,1.3,3.25,1.333,3.34,1.394,3.25,1.33
33,Budapest,Gaz de France Budapest Grand Prix,08/07/08,3,Outdoor,Clay,1st Round,3,Kvitova P.,Cirstea S.,70,53,457,570,6,2,6,4,,,2,0,Completed,1.66,2.1,1.67,2.12,1.8,1.909,1.794,2.16,1.8,1.97
33,Budapest,Gaz de France Budapest Grand Prix,09/07/08,3,Outdoor,Clay,2nd Round,3,Groenefeld A.L.,Safarova L.,211,67,135,468,6,1,6,4,,,2,0,Completed,2,1.72,2.1,1.7,2,1.727,2.14,1.806,2.03,1.75
33,Budapest,Gaz de France Budapest Grand Prix,09/07/08,3,Outdoor,Clay,2nd Round,3,Sprem K.,Obziler T.,329,117,65,295,6,2,6,1,,,2,0,Completed,1.53,2.37,1.5,2.45,1.533,2.375,1.575,2.64,1.53,2.44
