WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
10,Budapest,Hungarian Ladies Open,20/02/17,International,Indoor,Hard,1st Round,3,Vekic D.,Alexandrova E.,84,106,751,597,6,3,7,5,,,2,0,Completed,1.66,2.1,1.6,2.2,1.73,2,1.79,2.13,1.79,2.2,1.7,2.11
10,Budapest,Hungarian Ladies Open,20/02/17,International,Indoor,Hard,1st Round,3,Beck A.,Cepelova J.,66,98,890,628,6,2,6,2,,,2,0,Completed,1.66,2.1,1.55,2.25,1.67,2.1,1.78,2.14,1.78,2.26,1.67,2.15
10,Budapest,Hungarian Ladies Open,20/02/17,International,Indoor,Hard,1st Round,3,Parmentier P.,Kozlova K.,62,115,936,539,7,6,7,6,,,2,0,Completed,1.66,2.1,1.65,2.05,1.62,2.2,1.75,2.19,1.75,2.25,1.66,2.18
10,Budapest,Hungarian Ladies Open,20/02/17,International,Indoor,Hard,1st Round,3,Hsieh S.W.,Sorribes Tormo S.,102,104,600,599,2,6,6,3,6,1,2,1,Completed,1.33,3.25,1.33,3,1.33,3.25,1.36,3.38,1.39,3.38,1.34,3.19
10,Budapest,Hungarian Ladies Open,20/02/17,International,Indoor,Hard,1st Round,3,Safarova L.,Linette M.,47,96,1177,659,6,0,5,7,7,6,2,1,Completed,1.16,4.5,1.18,4.25,1.18,4.33,1.21,4.89,1.22,4.89,1.2,4.43
10,Budapest,Hungarian Ladies Open,21/02/17,International,Indoor,Hard,1st Round,3,Blinkova A.,Broady N.,148,100,390,603,3,6,6,4,6,3,2,1,Completed,1.8,1.9,1.82,1.82,1.91,1.91,1.81,2.1,1.91,2.1,1.82,1.95
10,Budapest,Hungarian Ladies Open,21/02/17,International,Indoor,Hard,1st Round,3,Korpatsch T.,Rodina E.,162,82,353,756,6,3,6,3,,,2,0,Completed,2.2,1.61,2.1,1.65,2.2,1.67,2.2,1.74,2.3,1.74,2.2,1.65
10,Budapest,Hungarian Ladies Open,21/02/17,International,Indoor,Hard,1st Round,3,Goerges J.,Kontaveit A.,56,111,1015,576,6,7,6,3,6,4,2,1,Completed,1.83,1.83,1.82,1.85,1.83,1.83,2.11,1.8,2.11,1.91,1.98,1.8
10,Budapest,Hungarian Ladies Open,21/02/17,International,Indoor,Hard,1st Round,3,Sasnovich A.,Flipkens K.,123,74,471,820,4,6,6,4,6,1,2,1,Completed,2.2,1.61,2.25,1.55,2.2,1.62,2.19,1.75,2.25,1.75,2.18,1.66
10,Budapest,Hungarian Ladies Open,21/02/17,International,Indoor,Hard,1st Round,3,Stollar F.,Kovinic D.,282,69,164,838,6,2,7,6,,,2,0,Completed,3,1.36,2.65,1.4,3,1.36,2.96,1.45,3.05,1.46,2.88,1.4
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,1st Round,3,Khromacheva I.,Allertova D.,92,107,680,593,6,7,6,3,6,4,2,1,Completed,2.2,1.61,2.05,1.65,2.2,1.62,2.22,1.73,2.3,1.73,2.22,1.64
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,1st Round,3,Wickmayer Y.,Shinikova I.,60,133,947,436,6,3,4,6,7,5,2,1,Completed,1.28,3.5,1.28,3.3,1.3,3.4,1.32,3.66,1.36,3.66,1.3,3.44
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,1st Round,3,Falconi I.,Stefkova B.,101,158,602,366,4,6,7,5,6,4,2,1,Completed,2.25,1.57,2.1,1.65,2.2,1.67,2.38,1.64,2.38,1.67,2.25,1.63
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,1st Round,3,Witthoeft C.,Cirstea S.,83,67,754,885,6,3,6,2,,,2,0,Completed,2.1,1.66,2.1,1.65,2.1,1.73,2.18,1.75,2.25,1.75,2.13,1.69
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,1st Round,3,Dodin O.,Galfi D.,63,154,913,370,6,4,6,4,,,2,0,Completed,1.4,2.75,1.38,2.8,1.44,2.75,1.54,2.64,1.54,3,1.44,2.72
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,1st Round,3,Babos T.,Soylu I.,33,161,1445,353,6,3,6,2,,,2,0,Completed,1.16,5,1.15,4.6,1.2,4.5,1.18,5.51,1.2,5.55,1.16,5.01
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,2nd Round,3,Goerges J.,Vekic D.,56,84,1015,751,6,2,6,2,,,2,0,Completed,1.53,2.37,1.55,2.25,1.62,2.25,1.62,2.45,1.62,2.45,1.57,2.35
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,2nd Round,3,Safarova L.,Hsieh S.W.,47,102,1177,600,6,2,6,1,,,2,0,Completed,1.28,3.5,1.28,3.3,1.3,3.5,1.27,4.22,1.31,4.22,1.27,3.68
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,2nd Round,3,Beck A.,Stollar F.,66,282,890,164,6,2,6,0,,,2,0,Completed,1.28,3.5,1.28,3.2,1.3,3.4,1.32,3.76,1.36,4,1.29,3.51
10,Budapest,Hungarian Ladies Open,22/02/17,International,Indoor,Hard,2nd Round,3,Sasnovich A.,Parmentier P.,123,62,471,936,7,6,6,4,,,2,0,Completed,1.83,1.83,1.88,1.8,1.91,1.91,2.01,1.9,2.01,1.91,1.91,1.86
