ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
13,Buenos Aires,Copa Claro,20/02/12,ATP250,Outdoor,Clay,1st Round,3,Berlocq C.,Riba P.,43,90,991,612,6,7,6,0,6,0,,,,,2,1,Completed,1.11,6.5,1.16,4.75,1.12,5.5,1.13,7,1.14,5,1.16,7,1.13,5.82
13,Buenos Aires,Copa Claro,20/02/12,ATP250,Outdoor,Clay,1st Round,3,Hanescu V.,Andujar P.,93,48,600,910,6,3,4,6,7,6,,,,,2,1,Completed,1.53,2.37,1.6,2.25,1.73,2,1.66,2.35,1.73,2,1.73,2.45,1.63,2.24
13,Buenos Aires,Copa Claro,20/02/12,ATP250,Outdoor,Clay,1st Round,3,Gonzalez F.,Montanes A.,263,52,175,860,7,5,1,0,,,,,,,1,0,Retired,3.25,1.33,2.8,1.4,3,1.36,3.82,1.3,2.63,1.44,3.85,1.4,3.26,1.33
13,Buenos Aires,Copa Claro,20/02/12,ATP250,Outdoor,Clay,1st Round,3,Bagnis F.,Mayer L.,162,76,318,672,5,7,6,4,6,2,,,,,2,1,Completed,4,1.22,3.75,1.25,3.75,1.25,4.29,1.26,3.75,1.22,4.29,1.29,3.89,1.25
13,Buenos Aires,Copa Claro,20/02/12,ATP250,Outdoor,Clay,1st Round,3,Nishikori K.,Ferrero J.C.,17,47,1710,960,7,5,3,6,6,2,,,,,2,1,Completed,1.9,1.8,2.15,1.65,2,1.73,2.01,1.88,2.2,1.67,2.5,1.88,2.02,1.76
13,Buenos Aires,Copa Claro,21/02/12,ATP250,Outdoor,Clay,1st Round,3,Wawrinka S.,Zeballos H.,26,116,1300,486,6,3,6,4,,,,,,,2,0,Completed,1.2,4.33,1.25,3.75,1.29,3.5,1.24,4.52,1.29,3.25,1.3,4.52,1.25,3.88
13,Buenos Aires,Copa Claro,21/02/12,ATP250,Outdoor,Clay,1st Round,3,Paire B.,Marti J.,98,177,551,282,2,6,7,6,6,2,,,,,2,1,Completed,1.72,2,1.75,2,1.67,2.1,1.7,2.26,1.67,2.1,1.83,2.28,1.7,2.1
13,Buenos Aires,Copa Claro,21/02/12,ATP250,Outdoor,Clay,1st Round,3,Ramos A.,Chela J.I.,59,31,782,1165,4,6,6,3,6,4,,,,,2,1,Completed,2.1,1.66,2.15,1.65,2.1,1.67,2.12,1.79,2.1,1.67,2.31,1.8,2.14,1.67
13,Buenos Aires,Copa Claro,21/02/12,ATP250,Outdoor,Clay,1st Round,3,Simon G.,Machado R.,12,80,2050,649,6,3,7,5,,,,,,,2,0,Completed,1.22,4,1.28,3.5,1.22,4,1.3,3.86,1.22,3.75,1.3,4.33,1.25,3.81
13,Buenos Aires,Copa Claro,21/02/12,ATP250,Outdoor,Clay,1st Round,3,Andreev I.,Kavcic B.,118,110,481,501,6,2,6,2,,,,,,,2,0,Completed,1.36,3,1.4,2.8,1.36,3,1.44,2.98,1.4,2.75,1.44,3.11,1.4,2.88
