ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
29,Casablanca,Grand Prix Hassan II,18/05/08,International Series,Outdoor,Clay,1st Round,3,Hrbaty D.,Luczak P.,300,113,118,406,2,1,,,,,,,,,0,0,Retired,3,1.36,,,3,1.36,3.6,1.357,3.1,1.35
29,Casablanca,Grand Prix Hassan II,18/05/08,International Series,Outdoor,Clay,1st Round,3,Patience O.,Daniel M.,133,77,346,517,6,7,7,6,6,4,,,,,2,1,Completed,2.25,1.57,,,2.25,1.57,2.83,1.505,2.6,1.47
29,Casablanca,Grand Prix Hassan II,18/05/08,International Series,Outdoor,Clay,1st Round,3,Pashanski B.,Becker B.,107,101,428,438,2,6,6,3,7,6,,,,,2,1,Completed,1.44,2.62,,,1.44,2.62,1.481,2.88,1.47,2.6
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Simon G.,Serra F.,36,90,900,487,6,2,5,7,6,3,,,,,2,1,Completed,1.36,3,1.48,2.53,1.444,2.625,1.417,3.2,1.38,2.95
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Schuettler R.,Guccione C.,89,70,488,544,6,4,6,7,6,2,,,,,2,1,Completed,2.25,1.57,2.15,1.65,2.2,1.615,2.55,1.606,2.2,1.64
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Calleri A.,Ascione T.,57,110,615,421,3,6,6,1,6,2,,,,,2,1,Completed,1.25,3.75,1.3,3.35,1.25,3.75,1.328,3.75,1.3,3.4
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Cuevas P.,Jun W.S.,117,236,401,165,6,4,6,1,,,,,,,2,0,Completed,1.39,2.75,1.45,2.6,1.5,2.5,1.437,3.09,1.41,2.82
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,El Aynaoui Y.,Hanescu V.,189,76,214,517,6,2,6,7,6,3,,,,,2,1,Completed,1.39,2.75,1.48,2.53,1.444,2.625,1.485,2.86,1.41,2.82
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Coria G.,Polansky P.,733,272,21,137,4,6,6,4,6,3,,,,,2,1,Completed,2.1,1.66,2.1,1.65,2,1.727,2.33,1.699,2.05,1.73
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Gicquel M.,Ramirez-Hidalgo R.,59,140,604,335,6,3,6,0,,,,,,,2,0,Completed,1.8,1.9,1.8,1.95,1.833,1.833,1.8,2.15,1.88,1.88
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Benneteau J.,Mayer F.,65,114,570,402,2,6,6,3,6,4,,,,,2,1,Completed,1.36,3,1.4,2.85,1.4,2.75,1.403,3.28,1.38,2.95
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Tsonga J.W.,Montanes A.,15,56,1420,621,6,4,7,6,,,,,,,2,0,Completed,2.37,1.53,2.25,1.6,2.2,1.615,2.72,1.549,2.32,1.58
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Ouahab L.,Vassallo-Arguello M.,330,105,104,433,7,5,6,2,,,,,,,2,0,Completed,4.5,1.16,,,4.333,1.2,4.6,1.25,4.3,1.2
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Ventura S.,Clement A.,94,91,461,484,7,6,6,1,,,,,,,2,0,Completed,1.72,2,1.85,1.9,1.833,1.833,1.971,1.935,1.82,1.94
29,Casablanca,Grand Prix Hassan II,19/05/08,International Series,Outdoor,Clay,1st Round,3,Monfils G.,Garcia-Lopez G.,48,93,718,477,6,7,7,5,6,0,,,,,2,1,Completed,1.38,2.87,1.4,2.85,1.444,2.625,1.439,3.08,1.41,2.82
29,Casablanca,Grand Prix Hassan II,20/05/08,International Series,Outdoor,Clay,1st Round,3,Hernandez O.,Dancevic F.,95,112,457,415,6,7,6,4,7,6,,,,,2,1,Completed,1.22,4,1.2,4.25,1.222,4,1.278,4.3,1.23,4
29,Casablanca,Grand Prix Hassan II,20/05/08,International Series,Outdoor,Clay,2nd Round,3,Calleri A.,Patience O.,57,133,615,346,6,2,7,5,,,,,,,2,0,Completed,1.25,3.75,1.3,3.35,1.25,3.75,1.289,4.16,1.27,3.6
29,Casablanca,Grand Prix Hassan II,20/05/08,International Series,Outdoor,Clay,2nd Round,3,Simon G.,Pashanski B.,36,107,900,428,3,6,6,4,6,3,,,,,2,1,Completed,1.3,3.4,1.35,3.1,1.333,3.25,1.328,3.75,1.31,3.3
29,Casablanca,Grand Prix Hassan II,20/05/08,International Series,Outdoor,Clay,2nd Round,3,El Aynaoui Y.,Hrbaty D.,189,300,214,118,6,3,7,5,,,,,,,2,0,Completed,1.25,3.75,1.3,3.35,1.25,3.75,1.294,4.1,1.3,3.4
29,Casablanca,Grand Prix Hassan II,20/05/08,International Series,Outdoor,Clay,2nd Round,3,Gicquel M.,Coria G.,59,733,604,21,6,1,2,6,7,6,,,,,2,1,Completed,1.28,3.5,1.3,3.35,1.3,3.4,1.267,4.45,1.27,3.6
29,Casablanca,Grand Prix Hassan II,21/05/08,International Series,Outdoor,Clay,2nd Round,3,Ventura S.,Schuettler R.,94,89,461,488,2,6,6,4,6,0,,,,,2,1,Completed,1.44,2.62,1.48,2.53,1.5,2.5,1.463,2.96,1.47,2.6
29,Casablanca,Grand Prix Hassan II,21/05/08,International Series,Outdoor,Clay,2nd Round,3,Benneteau J.,Cuevas P.,65,117,570,401,6,4,6,4,,,,,,,2,0,Completed,1.61,2.2,1.6,2.3,1.571,2.25,1.69,2.35,1.56,2.35
29,Casablanca,Grand Prix Hassan II,21/05/08,International Series,Outdoor,Clay,2nd Round,3,Hernandez O.,Monfils G.,95,48,457,718,6,3,6,2,,,,,,,2,0,Completed,3.4,1.3,2.92,1.37,3,1.364,3.75,1.328,3.35,1.31
29,Casablanca,Grand Prix Hassan II,21/05/08,International Series,Outdoor,Clay,2nd Round,3,Tsonga J.W.,Ouahab L.,15,330,1420,104,6,3,6,2,,,,,,,2,0,Completed,1.1,6.5,1.15,5.2,1.143,5,1.143,7.3,1.12,5.85
29,Casablanca,Grand Prix Hassan II,22/05/08,International Series,Outdoor,Clay,Quarterfinals,3,Benneteau J.,Hernandez O.,65,95,570,457,6,3,5,2,,,,,,,1,0,Retired,1.61,2.2,1.65,2.15,1.667,2.1,1.613,2.53,,
29,Casablanca,Grand Prix Hassan II,22/05/08,International Series,Outdoor,Clay,Quarterfinals,3,Calleri A.,El Aynaoui Y.,57,189,615,214,,,,,,,,,,,,,Walkover,1.72,2,1.76,1.99,1.833,1.833,1.877,2.04,,
