ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL
21,Casablanca,Grand Prix Hassan II,05/04/10,ATP250,Outdoor,Clay,1st Round,3,Starace P.,Luczak P.,73,75,667,644,6,3,7,5,,,,,,,2,0,Completed,1.72,2,1.8,1.95,1.833,1.833,1.787,2.17,1.8,1.909
21,Casablanca,Grand Prix Hassan II,05/04/10,ATP250,Outdoor,Clay,1st Round,3,Hernandez O.,Mathieu P.H.,84,48,593,875,7,6,6,3,,,,,,,2,0,Completed,4.33,1.2,3.75,1.25,4,1.222,4.6,1.247,4,1.2
21,Casablanca,Grand Prix Hassan II,05/04/10,ATP250,Outdoor,Clay,1st Round,3,Granollers M.,Haase R.,87,207,573,215,7,6,7,6,,,,,,,2,0,Completed,1.4,2.75,1.55,2.35,1.5,2.5,1.426,3.14,1.533,2.375
21,Casablanca,Grand Prix Hassan II,06/04/10,ATP250,Outdoor,Clay,1st Round,3,Nieminen J.,Ziadi M.,71,908,678,10,6,1,6,1,,,,,,,2,0,Completed,1.04,10,1.07,7.25,1.04,9,1.05,14.8,1.071,7
21,Casablanca,Grand Prix Hassan II,06/04/10,ATP250,Outdoor,Clay,1st Round,3,Serra F.,Ventura S.,57,123,770,436,6,4,6,3,,,,,,,2,0,Completed,1.22,4,1.3,3.35,1.286,3.5,1.29,4.09,1.25,3.5
21,Casablanca,Grand Prix Hassan II,06/04/10,ATP250,Outdoor,Clay,1st Round,3,El Amrani R.,Gabashvili T.,286,112,155,473,7,6,4,6,7,6,,,,,2,1,Completed,4.5,1.16,4.65,1.17,4,1.222,4.39,1.263,3.5,1.25
21,Casablanca,Grand Prix Hassan II,06/04/10,ATP250,Outdoor,Clay,1st Round,3,Hajek J.,Greul S.,81,58,613,769,7,6,6,4,,,,,,,2,0,Completed,2.25,1.57,2.35,1.55,2.25,1.571,2.53,1.602,2.25,1.571
21,Casablanca,Grand Prix Hassan II,06/04/10,ATP250,Outdoor,Clay,1st Round,3,Robert S.,Koubek S.,65,124,715,432,6,3,5,7,7,5,,,,,2,1,Completed,1.57,2.25,1.55,2.35,1.533,2.375,1.671,2.37,1.615,2.2
21,Casablanca,Grand Prix Hassan II,06/04/10,ATP250,Outdoor,Clay,1st Round,3,Golubev A.,Koellerer D.,88,93,572,550,6,2,7,6,,,,,,,2,0,Completed,1.83,1.83,1.75,2,1.727,2,1.901,2.03,,
21,Casablanca,Grand Prix Hassan II,06/04/10,ATP250,Outdoor,Clay,1st Round,3,Clement A.,Navarro-Pastor I.,80,113,617,466,6,3,6,3,,,,,,,2,0,Completed,1.9,1.8,1.8,1.95,1.8,1.909,2.04,1.885,1.833,1.833
21,Casablanca,Grand Prix Hassan II,06/04/10,ATP250,Outdoor,Clay,1st Round,3,Gasquet R.,Rochus O.,74,55,650,786,6,1,6,1,,,,,,,2,0,Completed,1.44,2.62,1.5,2.45,1.444,2.625,1.524,2.75,1.533,2.375
21,Casablanca,Grand Prix Hassan II,06/04/10,ATP250,Outdoor,Clay,1st Round,3,Klizan M.,Dolgopolov O.,212,70,214,683,4,6,6,1,7,5,,,,,2,1,Completed,3,1.36,,,2.75,1.4,3.5,1.362,2.75,1.4
21,Casablanca,Grand Prix Hassan II,07/04/10,ATP250,Outdoor,Clay,2nd Round,3,Starace P.,Hernandez O.,73,84,667,593,6,2,6,1,,,,,,,2,0,Completed,1.36,3,1.4,2.8,1.4,2.75,1.386,3.35,1.4,2.75
21,Casablanca,Grand Prix Hassan II,07/04/10,ATP250,Outdoor,Clay,2nd Round,3,Garcia-Lopez G.,Granollers M.,40,87,964,573,6,3,6,2,,,,,,,2,0,Completed,1.72,2,1.75,2,1.8,1.91,1.82,2.13,1.727,2
21,Casablanca,Grand Prix Hassan II,07/04/10,ATP250,Outdoor,Clay,2nd Round,3,Serra F.,Robert S.,57,65,770,715,2,6,6,1,6,3,,,,,2,1,Completed,1.5,2.5,1.45,2.6,1.444,2.625,1.526,2.74,1.444,2.625
21,Casablanca,Grand Prix Hassan II,07/04/10,ATP250,Outdoor,Clay,2nd Round,3,Kubot L.,Clement A.,42,80,922,617,6,4,6,1,,,,,,,2,0,Completed,1.53,2.37,1.55,2.35,1.571,2.25,1.645,2.43,1.615,2.2
21,Casablanca,Grand Prix Hassan II,08/04/10,ATP250,Outdoor,Clay,2nd Round,3,Hanescu V.,Nieminen J.,43,71,920,678,2,6,6,3,6,2,,,,,2,1,Completed,2.25,1.57,2.15,1.65,2.2,1.62,2.45,1.637,2.25,1.571
21,Casablanca,Grand Prix Hassan II,08/04/10,ATP250,Outdoor,Clay,2nd Round,3,Wawrinka S.,Klizan M.,23,212,1630,214,6,4,0,6,6,4,,,,,2,1,Completed,1.14,5,1.2,4.25,1.143,5,1.235,4.77,1.167,4.5
21,Casablanca,Grand Prix Hassan II,08/04/10,ATP250,Outdoor,Clay,2nd Round,3,El Amrani R.,Hajek J.,286,81,155,613,6,3,2,6,6,2,,,,,2,1,Completed,4,1.22,4.25,1.2,4,1.222,4.09,1.29,3.5,1.25
