ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
21,Casablanca,Grand Prix Hassan II,09/04/12,ATP250,Outdoor,Clay,1st Round,3,Garcia-Lopez G.,Fognini F.,80,57,646,800,6,4,3,6,7,5,,,,,2,1,Completed,1.5,2.5,1.5,2.5,1.57,2.25,1.59,2.5,1.57,2.25,1.59,2.65,1.54,2.42
21,Casablanca,Grand Prix Hassan II,09/04/12,ATP250,Outdoor,Clay,1st Round,3,Andreev I.,Montanes A.,100,69,553,715,6,3,6,3,,,,,,,2,0,Completed,1.4,2.75,1.5,2.5,1.5,2.5,1.51,2.73,1.5,2.63,1.52,2.75,1.48,2.58
21,Casablanca,Grand Prix Hassan II,09/04/12,ATP250,Outdoor,Clay,1st Round,3,Paire B.,Young D.,102,45,547,972,4,6,7,6,6,2,,,,,2,1,Completed,1.36,3,1.4,2.77,1.4,2.75,1.48,2.84,1.53,2.5,1.53,3.3,1.39,2.92
21,Casablanca,Grand Prix Hassan II,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Chardy J.,Delbonis F.,64,147,754,361,6,4,7,5,,,,,,,2,0,Completed,1.9,1.8,1.95,1.8,1.83,1.83,2.05,1.85,1.83,1.91,2.08,1.91,1.94,1.82
21,Casablanca,Grand Prix Hassan II,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Ramos A.,Riba P.,52,89,857,602,6,2,6,3,,,,,,,2,0,Completed,1.18,4.5,1.2,4.25,1.22,4,1.22,4.7,1.22,3.75,1.25,4.85,1.21,4.23
21,Casablanca,Grand Prix Hassan II,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Hanescu V.,Jaziri M.,105,86,529,611,6,2,3,0,,,,,,,1,0,Retired,1.5,2.5,1.6,2.25,1.57,2.25,1.57,2.55,1.57,2.25,1.63,2.6,1.56,2.37
21,Casablanca,Grand Prix Hassan II,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Mathieu P.H.,Ziadi M.,394,613,100,36,6,3,6,1,,,,,,,2,0,Completed,1.05,11,1.06,8,1.07,7.5,1.05,11.88,1.05,9,1.08,12.16,1.05,9.14
21,Casablanca,Grand Prix Hassan II,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Bachinger M.,Volandri F.,104,63,532,763,6,3,3,6,6,3,,,,,2,1,Completed,3.5,1.28,3.3,1.3,3.25,1.33,3.5,1.34,3.25,1.29,3.7,1.36,3.34,1.31
21,Casablanca,Grand Prix Hassan II,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Cipolla F.,Idmbarek Y.,85,1064,616,6,6,1,2,6,6,1,,,,,2,1,Completed,1.04,13,1.04,9,1.04,9,1.05,13.12,1.03,11,1.07,16,1.04,10.41
21,Casablanca,Grand Prix Hassan II,10/04/12,ATP250,Outdoor,Clay,1st Round,3,Gutierrez-Ferrol S.,Machado R.,544,97,52,561,6,2,6,1,,,,,,,2,0,Completed,2.25,1.57,2.25,1.6,2.25,1.57,2.55,1.57,2.5,1.5,2.55,1.67,2.32,1.58
