WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Kalinina A.,Sasnovich A.,42,51,1208,1123,6,4,6,4,,,2,0,Completed,1.8,2,2,1.89,2.1,2.03,1.94,1.86
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Fruhvirtova L.,Konjuh A.,188,62,355,1003,4,6,6,1,6,3,2,1,Completed,2,1.8,2.26,1.7,2.26,1.88,2.07,1.74
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Zavatska K.,Yuan Y.,215,143,313,458,6,4,6,2,,,2,0,Completed,2,1.8,2.14,1.78,2.15,2.1,2.03,1.78
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Bondar A.,Hartono A.,73,165,884,392,6,1,6,4,,,2,0,Completed,1.44,2.75,1.47,2.87,1.5,3.03,1.43,2.8
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Liu C.,Watson H.,89,105,755,641,6,4,6,2,,,2,0,Completed,1.57,2.37,1.61,2.45,1.67,2.47,1.59,2.35
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Eikeri U.,Kichenok N.,283,N/A,235,N/A,5,7,6,2,6,2,2,1,Completed,1.53,2.5,1.66,2.35,1.7,2.5,1.58,2.37
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Cornet A.,Parks A.,34,150,1315,434,6,0,7,5,,,2,0,Completed,1.16,5,1.18,5.54,1.2,5.6,1.18,4.74
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Paolini J.,Lee G.,48,259,1159,268,6,2,6,3,,,2,0,Completed,1.1,7,1.09,8.84,1.14,8.84,1.09,7.22
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Alexandrova E.,Kiick A.,54,270,1081,259,6,1,6,1,,,2,0,Completed,1.14,5.5,1.11,6.76,1.14,7.85,1.1,6.66
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Anisimova A.,Vickery S.,47,244,1165,283,6,0,7,5,,,2,0,Completed,1.1,7,1.08,9.44,1.12,10.25,1.08,7.88
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Zhang S.,Di Lorenzo F.,41,199,1210,335,6,2,6,4,,,2,0,Completed,1.22,4.33,1.2,5.04,1.22,5.04,1.19,4.6
16,Charleston,Charleston Open,04/04/2022,WTA500,Outdoor,Clay,1st Round,3,Frech M.,Kvitova P.,87,29,774,1690,7,6,3,2,,,1,0,Retired,3.2,1.36,3.22,1.39,3.8,1.4,3.18,1.35
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Kanepi K.,Rogers S.,57,44,1038,1184,6,7,7,5,6,2,2,1,Completed,2,1.8,2.23,1.72,2.25,1.8,2.1,1.73
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Begu I.,Wang Xin.,66,88,964,772,7,6,6,4,,,2,0,Completed,1.36,3.2,1.41,3.1,1.5,3.2,1.38,2.96
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Davis L.,Bolkvadze M.,82,155,799,424,6,2,6,3,,,2,0,Completed,1.14,5.5,1.13,6.45,1.17,6.82,1.13,5.84
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Linette M.,Volynets K.,64,154,991,429,4,6,6,3,7,6,2,1,Completed,1.4,3,1.48,2.84,1.48,3.02,1.44,2.76
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Baptiste H.,Ruse E.G.,124,55,515,1073,6,3,6,0,,,2,0,Completed,3.2,1.36,3.09,1.42,3.4,1.42,3.15,1.35
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Bencic B.,Wang Xiy.,21,149,2151,434,4,6,7,6,6,3,2,1,Completed,1.08,8,1.11,7.77,1.12,8,1.1,6.95
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Vandeweghe C.,Gasanova A.,168,153,390,431,6,3,4,6,6,3,2,1,Completed,2.37,1.57,2.48,1.6,3.6,1.65,2.48,1.53
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Navarro E.,Brengle M.,201,56,332,1067,6,7,6,2,3,0,1,1,Retired,3.75,1.28,3.54,1.34,3.75,1.36,3.43,1.31
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Putintseva Y.,Anderson R.,46,178,1166,365,6,2,7,6,,,2,0,Completed,1.12,6,1.15,6.36,1.18,6.36,1.14,5.64
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Zheng Q.,Stephens S.,72,36,892,1282,6,3,4,6,6,0,2,1,Completed,2.1,1.72,2.35,1.65,2.36,1.75,2.16,1.68
16,Charleston,Charleston Open,05/04/2022,WTA500,Outdoor,Clay,1st Round,3,Riske A.,Mcnally C.,43,164,1201,393,7,5,6,3,,,2,0,Completed,1.22,4.33,1.21,4.86,1.23,4.9,1.2,4.44
16,Charleston,Charleston Open,06/04/2022,WTA500,Outdoor,Clay,1st Round,3,Tomljanovic A.,Chang S.,39,318,1231,195,7,5,6,4,,,2,0,Completed,1.25,4,1.27,4.14,1.3,4.71,1.26,3.77
16,Charleston,Charleston Open,06/04/2022,WTA500,Outdoor,Clay,2nd Round,3,Keys M.,Eikeri U.,24,283,1904,235,6,3,6,1,,,2,0,Completed,1.06,10,1.06,11.41,1.08,11.41,1.05,9.73
