ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
56,Chengdu,Chengdu Open,24/09/18,ATP250,Outdoor,Hard,1st Round,3,Sousa J.,Smyczek T.,50,109,966,510,7,6,6,7,6,3,,,,,2,1,Completed,1.3,3.4,1.33,3.6,1.44,2.62,1.34,3.5,1.38,3.6,1.33,3.36
56,Chengdu,Chengdu Open,24/09/18,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Klahn B.,123,95,453,610,6,7,7,6,6,2,,,,,2,1,Completed,1.61,2.2,1.7,2.25,1.67,2.2,1.72,2.23,1.74,2.3,1.68,2.21
56,Chengdu,Chengdu Open,25/09/18,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Pella G.,58,59,875,870,7,6,6,1,,,,,,,2,0,Completed,1.61,2.2,1.67,2.3,1.67,2.2,1.68,2.3,1.71,2.38,1.65,2.25
56,Chengdu,Chengdu Open,25/09/18,ATP250,Outdoor,Hard,1st Round,3,Bemelmans R.,Zverev M.,114,69,492,790,6,3,2,0,,,,,,,1,0,Retired,1.9,1.8,2.05,1.85,2,1.8,2.08,1.83,2.1,1.91,2.01,1.81
56,Chengdu,Chengdu Open,25/09/18,ATP250,Outdoor,Hard,1st Round,3,Fritz T.,Tseng C.H.,62,440,825,85,3,6,6,3,6,4,,,,,2,1,Completed,1.18,4.5,1.22,4.75,1.22,4.33,1.22,4.76,1.25,4.89,1.21,4.46
56,Chengdu,Chengdu Open,25/09/18,ATP250,Outdoor,Hard,1st Round,3,Auger-Aliassime F.,Wu Y.,147,423,402,91,6,3,6,7,6,1,,,,,2,1,Completed,1.4,2.75,1.45,2.95,1.44,2.75,1.48,2.82,1.49,2.95,1.45,2.78
56,Chengdu,Chengdu Open,25/09/18,ATP250,Outdoor,Hard,1st Round,3,Pospisil V.,Albot R.,86,102,677,577,6,3,6,4,,,,,,,2,0,Completed,1.72,2,1.85,2.05,1.8,2,1.89,2,1.91,2.1,1.82,2
56,Chengdu,Chengdu Open,25/09/18,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Donskoy E.,47,85,994,681,6,3,6,4,,,,,,,2,0,Completed,1.8,1.9,1.9,2,1.8,2,1.81,2.1,1.91,2.1,1.82,2
56,Chengdu,Chengdu Open,25/09/18,ATP250,Outdoor,Hard,1st Round,3,Harris L.,Monfils G.,129,38,439,1195,3,6,6,2,6,1,,,,,2,1,Completed,2.75,1.4,2.85,1.47,2.75,1.44,2.94,1.45,3.08,1.48,2.85,1.43
56,Chengdu,Chengdu Open,25/09/18,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Sandgren T.,87,55,676,911,6,4,6,3,,,,,,,2,0,Completed,1.53,2.37,1.57,2.55,1.53,2.5,1.57,2.55,1.59,2.63,1.54,2.51
56,Chengdu,Chengdu Open,25/09/18,ATP250,Outdoor,Hard,1st Round,3,Jaziri M.,Baghdatis M.,63,92,824,630,7,6,1,6,6,2,,,,,2,1,Completed,2.37,1.53,2.55,1.57,2.37,1.57,2.8,1.49,2.85,1.59,2.56,1.52
56,Chengdu,Chengdu Open,26/09/18,ATP250,Outdoor,Hard,1st Round,3,Berrettini M.,Gunneswaran P.,60,164,869,349,6,3,6,4,,,,,,,2,0,Completed,1.28,3.5,1.35,3.5,1.4,3,1.32,3.65,1.44,3.72,1.35,3.27
56,Chengdu,Chengdu Open,26/09/18,ATP250,Outdoor,Hard,2nd Round,3,Tomic B.,Harris L.,123,129,453,439,7,6,2,6,7,6,,,,,2,1,Completed,2,1.72,2.05,1.85,2,1.83,1.93,1.97,2.08,1.97,1.98,1.84
56,Chengdu,Chengdu Open,26/09/18,ATP250,Outdoor,Hard,2nd Round,3,Sousa J.,Pospisil V.,50,86,966,677,6,7,6,4,7,6,,,,,2,1,Completed,1.5,2.5,1.57,2.55,1.57,2.37,1.59,2.52,1.67,2.55,1.58,2.41
56,Chengdu,Chengdu Open,26/09/18,ATP250,Outdoor,Hard,2nd Round,3,Jaziri M.,Mannarino A.,63,33,824,1285,6,3,7,6,,,,,,,2,0,Completed,2.75,1.4,2.85,1.47,2.75,1.44,2.8,1.5,2.9,1.53,2.77,1.45
56,Chengdu,Chengdu Open,26/09/18,ATP250,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,Chung H.,147,23,402,1630,7,6,5,7,6,4,,,,,2,1,Completed,2.75,1.4,2.95,1.45,2.75,1.4,2.95,1.46,3.21,1.5,2.83,1.44
56,Chengdu,Chengdu Open,27/09/18,ATP250,Outdoor,Hard,2nd Round,3,Ebden M.,Berrettini M.,47,60,994,869,6,3,3,6,7,6,,,,,2,1,Completed,2.25,1.57,2.35,1.65,2.25,1.61,2.34,1.68,2.4,1.75,2.27,1.65
56,Chengdu,Chengdu Open,27/09/18,ATP250,Outdoor,Hard,2nd Round,3,Fritz T.,Kukushkin M.,62,87,825,676,7,5,6,1,,,,,,,2,0,Completed,1.8,1.9,1.95,1.95,1.91,1.91,1.93,1.97,1.97,2,1.87,1.94
56,Chengdu,Chengdu Open,27/09/18,ATP250,Outdoor,Hard,2nd Round,3,Fognini F.,Bemelmans R.,13,114,2120,492,6,4,7,6,,,,,,,2,0,Completed,1.4,2.75,1.43,3,1.4,3,1.52,2.73,1.52,3.18,1.43,2.86
56,Chengdu,Chengdu Open,27/09/18,ATP250,Outdoor,Hard,2nd Round,3,Querrey S.,Basilashvili N.,58,35,875,1277,6,1,6,4,,,,,,,2,0,Completed,1.44,2.62,1.52,2.7,1.5,2.62,1.53,2.68,1.58,2.7,1.51,2.6
56,Chengdu,Chengdu Open,28/09/18,ATP250,Outdoor,Hard,Quarterfinals,3,Fognini F.,Ebden M.,13,47,2120,994,6,4,6,2,,,,,,,2,0,Completed,1.4,3,1.42,3.1,1.4,3,1.45,3.01,1.45,3.2,1.4,3.02
56,Chengdu,Chengdu Open,28/09/18,ATP250,Outdoor,Hard,Quarterfinals,3,Fritz T.,Querrey S.,62,58,825,875,7,6,7,5,,,,,,,2,0,Completed,2.37,1.57,2.4,1.62,2.37,1.57,2.6,1.57,2.6,1.61,2.45,1.56
56,Chengdu,Chengdu Open,28/09/18,ATP250,Outdoor,Hard,Quarterfinals,3,Sousa J.,Jaziri M.,50,63,966,824,6,1,3,6,6,3,,,,,2,1,Completed,1.53,2.5,1.57,2.55,1.57,2.37,1.54,2.7,1.61,2.7,1.54,2.52
56,Chengdu,Chengdu Open,28/09/18,ATP250,Outdoor,Hard,Quarterfinals,3,Tomic B.,Auger-Aliassime F.,123,147,453,402,6,2,6,4,,,,,,,2,0,Completed,2,1.8,2.05,1.85,2,1.8,2.12,1.83,2.12,1.91,2,1.83
56,Chengdu,Chengdu Open,29/09/18,ATP250,Outdoor,Hard,Semifinals,3,Fognini F.,Fritz T.,13,62,2120,825,6,7,6,0,6,3,,,,,2,1,Completed,1.66,2.2,1.7,2.25,1.67,2.2,1.69,2.34,1.73,2.34,1.67,2.22
56,Chengdu,Chengdu Open,29/09/18,ATP250,Outdoor,Hard,Semifinals,3,Tomic B.,Sousa J.,123,50,453,966,6,4,6,4,,,,,,,2,0,Completed,1.8,2,1.9,2,1.8,2,1.91,2.02,1.95,2.08,1.84,1.98
56,Chengdu,Chengdu Open,30/09/18,ATP250,Outdoor,Hard,The Final,3,Tomic B.,Fognini F.,123,13,453,2120,6,1,3,6,7,6,,,,,2,1,Completed,2.75,1.44,2.75,1.5,2.62,1.5,2.71,1.54,2.8,1.54,2.67,1.49
