ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Agenor R.,Zib T.,137,117,6,3,6,2,,,,,,,2,0,Completed,2.3,1.53,1.8,1.66,1.9,1.5,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Black B.,Davydenko N.,35,133,6,4,4,6,6,3,,,,,2,1,Completed,,,,,,,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Dent T.,Norman M.,181,4,6,3,7,6,,,,,,,2,0,Completed,4.75,1.14,3.5,1.17,3,1.15,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Golmard J.,Bastl G.,42,105,7,5,6,7,6,1,,,,,2,1,Completed,1.4,2.75,1.35,2.5,1.4,2.1,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Kempes E.,Vanek J.,126,77,7,6,4,6,6,3,,,,,2,1,Completed,,,,,,,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Pioline C.,Blanco G.,16,114,3,6,6,3,7,6,,,,,2,1,Completed,1.3,3.2,1.17,3.4,1.2,2.8,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Pless K.,Black W.,197,107,6,2,7,5,,,,,,,2,0,Completed,2,1.7,,,2,1.45,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Robredo T.,Paes L.,131,188,7,6,6,0,,,,,,,2,0,Completed,,,,,2,1.45,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Sanchez D.,Hantschk M.,89,72,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Saulnier C.,Alvarez E.,130,125,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Stoliarov A.,Bhupathi M.,122,889,3,6,6,2,7,6,,,,,2,1,Completed,,,,,,,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Tabara M.,Gonzalez F.,96,115,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Vinciguerra A.,Kratochvil M.,52,93,7,6,6,3,,,,,,,2,0,Completed,1.45,2.5,1.43,2.3,1.35,2.2,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Voinea A.,Syed F.,110,756,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,
2,Chennai,TATA Open,01/01/01,International,Outdoor,Hard,1st Round,3,Wessels P.,Roux L.,150,223,7,5,6,1,,,,,,,2,0,Completed,,,,,1.6,1.8,,
