WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
42,Chicago,Chicago Women's Opeen,22/08/2021,WTA250,Outdoor,Hard,1st Round,3,Kostyuk M.,Sebov K.,56,312,1241,203,6,0,6,3,,,2,0,Completed,1.05,11,,,1.09,12.5,1.05,9.66
42,Chicago,Chicago Women's Opeen,22/08/2021,WTA250,Outdoor,Hard,1st Round,3,Kanepi K.,Kalinina A.,70,75,1035,1008,3,6,6,2,7,5,2,1,Completed,1.72,2.1,,,1.91,2.13,1.75,2.06
42,Chicago,Chicago Women's Opeen,22/08/2021,WTA250,Outdoor,Hard,1st Round,3,Paolini J.,Doi M.,98,96,863,871,6,4,6,2,,,2,0,Completed,1.72,2.1,,,1.87,2.2,1.72,2.1
42,Chicago,Chicago Women's Opeen,22/08/2021,WTA250,Outdoor,Hard,1st Round,3,Gracheva V.,Zidansek T.,88,39,896,1760,6,3,1,6,6,2,2,1,Completed,3,1.4,,,3.3,1.5,2.84,1.41
42,Chicago,Chicago Women's Opeen,22/08/2021,WTA250,Outdoor,Hard,1st Round,3,Abanda F.,Kovinic D.,361,65,159,1160,6,4,6,2,,,2,0,Completed,2.62,1.5,,,2.8,1.6,2.49,1.52
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Mladenovic K.,Diyas Z.,57,110,1230,756,6,2,7,6,,,2,0,Completed,2.1,1.72,,,2.25,1.8,2.14,1.69
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Bogdan A.,Watson H.,106,62,826,1173,6,2,1,0,,,1,0,Retired,2,1.8,,,2.08,1.95,1.97,1.82
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Cornet A.,Li A.,68,67,1130,1136,6,7,6,0,6,4,2,1,Completed,2.37,1.57,,,2.6,1.62,2.44,1.54
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Ferro F.,Sutjiadi A.,80,366,1000,155,4,6,7,5,6,1,2,1,Completed,1.2,4.5,,,1.25,4.65,1.21,4.26
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Peterson R.,Bouzkova M.,59,86,1226,928,7,6,7,6,,,2,0,Completed,2.3,1.61,,,2.45,1.73,2.25,1.63
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Golubic V.,Osorio M.,45,79,1497,1004,7,6,6,3,,,2,0,Completed,1.3,3.5,,,1.33,3.98,1.28,3.55
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Vondrousova M.,Gleason Q.,40,467,1717,101,6,2,6,0,,,2,0,Completed,1.06,10,,,1.08,14,1.05,9.96
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Van Uytvanck A.,Hibino N.,58,71,1230,1031,6,1,6,3,,,2,0,Completed,1.28,3.75,,,1.29,4.75,1.25,3.86
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Martincova T.,Cirstea S.,60,38,1217,1774,3,6,6,3,6,2,2,1,Completed,2.2,1.66,,,2.3,1.73,2.17,1.67
42,Chicago,Chicago Women's Opeen,23/08/2021,WTA250,Outdoor,Hard,1st Round,3,Svitolina E.,Burel C.,6,91,5030,884,5,7,6,1,2,0,1,1,Retired,1.14,5.5,,,1.2,5.63,1.16,5.05
