WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Safarova L.,Benesova I.,45,30,1285,1636,6,3,7,6,,,2,0,Completed,1.53,2.37,1.46,2.6,1.533,2.375,1.571,2.25,1.46,2.64
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Govortsova O.,Makarova E.,63,36,960,1457,6,1,6,3,,,2,0,Completed,1.72,2,1.8,1.95,1.833,1.833,1.727,2,1.77,2
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Azarenka V.,Kanepi K.,9,25,4539,1861,6,3,7,6,,,2,0,Completed,1.08,7,1.13,5.5,1.1,6.5,1.143,5,1.11,6.2
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Groenefeld A.L.,Razzano V.,50,19,1152,2247,6,3,3,6,6,4,2,1,Completed,2.62,1.44,2.45,1.5,2.625,1.444,2.75,1.4,2.52,1.5
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Bondarenko K.,Rybarikova M.,67,47,898,1240,6,2,6,2,,,2,0,Completed,1.61,2.2,1.65,2.15,1.667,2.1,1.67,2.1,1.7,2.1
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Schnyder P.,Dulko G.,20,42,2123,1399,6,4,6,0,,,2,0,Completed,1.9,1.8,1.8,1.95,1.833,1.833,1.83,1.83,1.94,1.82
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Czink M.,Cornet A.,59,28,1027,1811,6,3,6,2,,,2,0,Completed,1.72,2,1.65,2.15,1.72,2,1.73,2,1.73,2.06
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Wozniak A.,Suarez Navarro C.,39,31,1429,1634,6,0,6,3,,,2,0,Completed,1.44,2.62,1.45,2.6,1.44,2.62,1.53,2.38,1.46,2.64
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Vinci R.,Malek T.,46,77,1264,820,6,4,6,1,,,2,0,Completed,1.72,2,1.75,2.05,1.72,2,1.667,2.1,1.75,2.03
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Ivanovic A.,Oudin M.,11,68,3212,898,2,6,6,1,6,1,2,1,Completed,1.33,3.25,1.31,3.34,1.33,3.25,1.364,2.875,1.3,3.4
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Clijsters K.,Bartoli M.,N/A,13,N/A,3035,6,4,6,3,,,2,0,Completed,2.37,1.53,2.25,1.6,2.375,1.533,2.1,1.67,2.26,1.61
40,Cincinnati,Western & Southern Financial Group Women's Open,10/08/09,Premier,Outdoor,Hard,1st Round,3,Chakvetadze A.,Vesnina E.,51,32,1140,1597,7,5,6,3,,,2,0,Completed,1.8,1.9,1.8,1.94,1.72,2,1.83,1.83,1.75,2.03
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Wickmayer Y.,Schiavone F.,56,26,1051,1851,6,3,6,4,,,2,0,Completed,1.57,2.25,1.55,2.45,1.571,2.25,1.62,2.2,1.53,2.44
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Hantuchova D.,Errani S.,27,41,1849,1410,3,6,6,3,6,1,2,1,Completed,1.53,2.37,1.5,2.55,1.53,2.37,1.533,2.375,1.53,2.44
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Peng S.,Cibulkova D.,40,16,1421,2621,6,2,6,1,,,2,0,Completed,2.37,1.53,2.35,1.55,2.37,1.53,2.25,1.571,2.52,1.5
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Szavay A.,Radwanska U.,33,62,1596,983,7,5,7,5,,,2,0,Completed,1.83,1.83,1.95,1.8,1.83,1.83,1.833,1.833,1.92,1.84
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Cirstea S.,Shaughnessy M.,24,936,1896,12,7,5,7,5,,,2,0,Completed,1.11,6,1.1,6.25,1.12,5.5,1.1,6,1.11,6.2
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Kirilenko M.,Shvedova Y.,52,61,1114,989,6,4,6,1,,,2,0,Completed,2.2,1.61,2.1,1.7,1.833,1.833,2.1,1.67,2.15,1.67
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Kleybanova A.,Rezai A.,37,38,1455,1445,6,3,6,3,,,2,0,Completed,1.9,1.8,1.87,1.87,1.833,1.833,1.83,1.83,1.9,1.86
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Bondarenko A.,Petrova N.,34,10,1596,3290,6,2,6,3,,,2,0,Completed,2.75,1.4,2.6,1.45,2.625,1.444,2.625,1.444,2.7,1.44
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Pennetta F.,Morita A.,12,65,3190,946,6,2,6,3,,,2,0,Completed,1.1,6.5,1.1,6.25,1.125,5.5,1.13,5.5,1.1,6.6
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Martinez-Sanchez M.J.,Dushevina V.,43,44,1392,1349,6,4,3,6,6,3,2,1,Completed,3.25,1.33,2.85,1.4,2.625,1.444,2.63,1.44,3.1,1.35
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Radwanska A.,Sugiyama A.,14,71,2981,858,6,2,6,1,,,2,0,Completed,1.1,6.5,1.15,5.2,1.14,5,1.13,5.5,1.13,5.7
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,1st Round,3,Bammer S.,Zheng J.,29,22,1720,1951,6,2,4,6,6,2,2,1,Completed,3.25,1.33,2.92,1.37,3.25,1.333,3,1.33,3,1.37
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,2nd Round,3,Safina D.,Vinci R.,1,46,9601,1264,2,6,7,5,6,4,2,1,Completed,1.08,7,1.1,6.25,1.071,7.5,1.125,5.5,1.08,7.5
40,Cincinnati,Western & Southern Financial Group Women's Open,11/08/09,Premier,Outdoor,Hard,2nd Round,3,Kuznetsova S.,Safarova L.,6,45,5851,1285,6,3,6,7,7,6,2,1,Completed,1.22,4,1.23,3.89,1.222,4,1.167,4.5,1.23,4
40,Cincinnati,Western & Southern Financial Group Women's Open,12/08/09,Premier,Outdoor,Hard,2nd Round,3,Williams V.,Govortsova O.,3,63,6935,960,6,2,6,2,,,2,0,Completed,1.03,11,1.02,11.5,1.04,9,1.04,9,1.04,11
40,Cincinnati,Western & Southern Financial Group Women's Open,12/08/09,Premier,Outdoor,Hard,2nd Round,3,Pennetta F.,Szavay A.,12,33,3190,1596,6,2,6,4,,,2,0,Completed,1.25,3.75,1.3,3.4,1.333,3.25,1.33,3,1.34,3.15
40,Cincinnati,Western & Southern Financial Group Women's Open,12/08/09,Premier,Outdoor,Hard,2nd Round,3,Zvonareva V.,Kleybanova A.,7,37,5400,1455,6,4,1,6,7,5,2,1,Completed,1.4,2.75,1.42,2.8,1.444,2.625,1.44,2.63,1.45,2.67
40,Cincinnati,Western & Southern Financial Group Women's Open,12/08/09,Premier,Outdoor,Hard,2nd Round,3,Azarenka V.,Chakvetadze A.,9,51,4539,1140,6,4,6,2,,,2,0,Completed,1.16,4.5,1.2,4.25,1.167,4.5,1.2,4,1.2,4.3
40,Cincinnati,Western & Southern Financial Group Women's Open,12/08/09,Premier,Outdoor,Hard,2nd Round,3,Jankovic J.,Kirilenko M.,5,52,5930,1114,7,6,6,3,,,2,0,Completed,1.2,4.33,1.23,3.89,1.25,3.75,1.222,3.75,1.23,4
40,Cincinnati,Western & Southern Financial Group Women's Open,12/08/09,Premier,Outdoor,Hard,2nd Round,3,Hantuchova D.,Bondarenko A.,27,34,1849,1596,7,5,1,6,6,4,2,1,Completed,1.53,2.37,1.6,2.3,1.66,2.1,1.67,2.1,1.62,2.24
40,Cincinnati,Western & Southern Financial Group Women's Open,12/08/09,Premier,Outdoor,Hard,2nd Round,3,Peng S.,Martinez-Sanchez M.J.,40,43,1421,1392,5,7,6,2,6,1,2,1,Completed,1.57,2.25,1.65,2.15,1.57,2.25,1.615,2.2,1.6,2.28
40,Cincinnati,Western & Southern Financial Group Women's Open,12/08/09,Premier,Outdoor,Hard,2nd Round,3,Clijsters K.,Schnyder P.,N/A,20,N/A,2123,6,2,7,5,,,2,0,Completed,1.22,4,1.28,3.46,1.3,3.4,1.286,3.25,1.28,3.55
40,Cincinnati,Western & Southern Financial Group Women's Open,12/08/09,Premier,Outdoor,Hard,2nd Round,3,Wozniacki C.,Wozniak A.,8,39,4750,1429,4,6,6,4,6,4,2,1,Completed,1.22,4,1.32,3.22,1.286,3.5,1.286,3.25,1.28,3.55
