WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
41,Cincinnati,Western & Southern Financial Group Women's Open,13/08/12,Premier,Outdoor,Hard,1st Round,3,Barthel M.,Martinez-Sanchez M.J.,39,107,1556,631,6,0,6,4,,,2,0,Completed,1.28,3.5,1.25,3.75,1.3,3.4,1.29,3.9,1.29,3.25,1.35,3.9,1.3,3.45
41,Cincinnati,Western & Southern Financial Group Women's Open,13/08/12,Premier,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Halep S.,38,52,1590,1225,6,3,6,0,,,2,0,Completed,2.37,1.53,2.35,1.55,2.38,1.53,2.72,1.51,2.25,1.57,2.72,1.6,2.42,1.54
41,Cincinnati,Western & Southern Financial Group Women's Open,13/08/12,Premier,Outdoor,Hard,1st Round,3,Babos T.,Lepchenko V.,62,37,982,1600,7,6,6,4,,,2,0,Completed,3.5,1.28,3.3,1.3,3.5,1.29,3.34,1.37,3.25,1.29,3.5,1.4,3.19,1.34
41,Cincinnati,Western & Southern Financial Group Women's Open,13/08/12,Premier,Outdoor,Hard,1st Round,3,Larsson J.,Dellacqua C.,90,109,721,625,6,1,6,3,,,2,0,Completed,1.83,1.83,1.9,1.85,1.73,2,1.88,2.01,1.8,1.91,1.98,2.01,1.86,1.88
41,Cincinnati,Western & Southern Financial Group Women's Open,13/08/12,Premier,Outdoor,Hard,1st Round,3,Goerges J.,Peer S.,24,57,1970,1085,6,3,6,3,,,2,0,Completed,1.25,3.75,1.3,3.3,1.3,3.4,1.38,3.27,1.29,3.25,1.4,3.8,1.31,3.36
41,Cincinnati,Western & Southern Financial Group Women's Open,13/08/12,Premier,Outdoor,Hard,1st Round,3,Daniilidou E.,King V.,121,51,562,1225,6,3,2,6,7,6,2,1,Completed,3.5,1.28,3.75,1.25,3.75,1.25,4.06,1.28,3.75,1.22,4.06,1.29,3.72,1.26
41,Cincinnati,Western & Southern Financial Group Women's Open,13/08/12,Premier,Outdoor,Hard,1st Round,3,Giorgi C.,Schiavone F.,93,22,701,1985,6,1,6,3,,,2,0,Completed,2.75,1.4,2.8,1.4,2.62,1.44,2.64,1.53,2.75,1.4,2.88,1.53,2.71,1.44
41,Cincinnati,Western & Southern Financial Group Women's Open,13/08/12,Premier,Outdoor,Hard,1st Round,3,Cibulkova D.,Amanmuradova A.,13,124,2945,551,6,3,6,4,,,2,0,Completed,1.2,4.33,1.18,4.5,1.17,4.5,1.19,5.29,1.2,4,1.22,5.29,1.19,4.6
41,Cincinnati,Western & Southern Financial Group Women's Open,14/08/12,Premier,Outdoor,Hard,1st Round,3,Peng S.,Jankovic J.,32,18,1665,2220,5,7,7,5,7,6,2,1,Completed,1.53,2.37,1.55,2.35,1.57,2.25,1.7,2.29,1.53,2.38,1.7,2.4,1.6,2.27
41,Cincinnati,Western & Southern Financial Group Women's Open,14/08/12,Premier,Outdoor,Hard,1st Round,3,Radwanska U.,Pervak K.,46,66,1315,960,6,2,6,4,,,2,0,Completed,1.44,2.62,1.5,2.5,1.53,2.38,1.56,2.62,1.57,2.25,1.57,2.63,1.52,2.46
41,Cincinnati,Western & Southern Financial Group Women's Open,14/08/12,Premier,Outdoor,Hard,1st Round,3,Arvidsson S.,Paszek T.,50,36,1230,1603,6,1,2,1,,,1,0,Retired,3,1.36,2.8,1.4,2.75,1.4,3.01,1.44,2.63,1.44,3.17,1.45,2.87,1.4
41,Cincinnati,Western & Southern Financial Group Women's Open,14/08/12,Premier,Outdoor,Hard,1st Round,3,Karatantcheva S.,Bertens K.,92,71,719,912,6,2,6,1,,,2,0,Completed,2,1.72,2,1.75,2.1,1.67,2.08,1.84,2,1.73,2.1,1.91,1.99,1.78
41,Cincinnati,Western & Southern Financial Group Women's Open,14/08/12,Premier,Outdoor,Hard,1st Round,3,Williams V.,Kirilenko M.,64,14,975,2835,6,3,6,7,6,2,2,1,Completed,1.61,2.2,1.55,2.35,1.62,2.2,1.71,2.27,1.57,2.25,1.74,2.4,1.61,2.24
41,Cincinnati,Western & Southern Financial Group Women's Open,14/08/12,Premier,Outdoor,Hard,1st Round,3,Stephens S.,Pironkova T.,49,54,1247,1145,6,4,6,1,,,2,0,Completed,1.66,2.1,1.65,2.15,1.83,1.83,1.64,2.41,1.67,2.1,1.83,2.6,1.64,2.22
41,Cincinnati,Western & Southern Financial Group Women's Open,14/08/12,Premier,Outdoor,Hard,1st Round,3,Tatishvili A.,Zakopalova K.,76,31,843,1700,7,6,7,5,,,2,0,Completed,2.2,1.61,2.25,1.6,2.38,1.53,2.36,1.67,2.25,1.57,2.45,1.67,2.27,1.6
41,Cincinnati,Western & Southern Financial Group Women's Open,14/08/12,Premier,Outdoor,Hard,1st Round,3,Hlavackova A.,Mattek-Sands B.,97,232,684,255,6,3,7,5,,,2,0,Completed,1.83,1.83,1.85,1.9,1.83,1.83,1.74,2.23,1.8,1.91,1.9,2.23,1.78,1.99
