WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
43,Cincinnati,Western & Southern Financial Group Women's Open,15/08/16,Premier,Outdoor,Hard,1st Round,3,Ostapenko J.,Schmiedlova A.,39,57,1407,988,1,6,7,6,7,6,2,1,Completed,1.5,2.5,1.45,2.4,1.5,2.62,1.63,2.42,1.63,2.75,1.53,2.46
43,Cincinnati,Western & Southern Financial Group Women's Open,15/08/16,Premier,Outdoor,Hard,1st Round,3,Gavrilova D.,Garcia C.,47,30,1090,1645,7,5,6,3,,,2,0,Completed,1.9,1.8,1.82,1.82,1.8,1.91,2.03,1.86,2.09,2,1.9,1.87
43,Cincinnati,Western & Southern Financial Group Women's Open,15/08/16,Premier,Outdoor,Hard,1st Round,3,Vandeweghe C.,Errani S.,33,32,1561,1590,4,6,6,3,6,4,2,1,Completed,1.4,2.75,1.45,2.4,1.5,2.62,1.5,2.75,1.53,2.78,1.47,2.64
43,Cincinnati,Western & Southern Financial Group Women's Open,16/08/16,Premier,Outdoor,Hard,1st Round,3,Tsurenko L.,Zhang S.,85,49,772,1031,6,3,6,3,,,2,0,Completed,2.25,1.57,2.1,1.58,2.25,1.62,2.37,1.65,2.37,1.65,2.28,1.61
43,Cincinnati,Western & Southern Financial Group Women's Open,16/08/16,Premier,Outdoor,Hard,1st Round,3,Vekic D.,Ivanovic A.,121,25,520,1720,6,4,6,2,,,2,0,Completed,3.75,1.25,3.6,1.2,4,1.25,3.82,1.3,4,1.33,3.73,1.26
43,Cincinnati,Western & Southern Financial Group Women's Open,16/08/16,Premier,Outdoor,Hard,1st Round,3,Mchale C.,Zheng S.,59,62,985,970,6,2,6,2,,,2,0,Completed,1.57,2.25,1.6,2.1,1.62,2.25,1.65,2.36,1.68,2.38,1.63,2.24
43,Cincinnati,Western & Southern Financial Group Women's Open,16/08/16,Premier,Outdoor,Hard,1st Round,3,Cornet A.,Bertens K.,58,22,987,1955,7,6,6,3,,,2,0,Completed,2.2,1.61,2.1,1.55,2.25,1.62,2.34,1.66,2.4,1.69,2.25,1.62
43,Cincinnati,Western & Southern Financial Group Women's Open,16/08/16,Premier,Outdoor,Hard,1st Round,3,Pironkova T.,Kasatkina D.,74,24,881,1773,6,1,6,1,,,2,0,Completed,2.75,1.4,2.45,1.42,2.75,1.44,3.09,1.42,3.09,1.46,2.83,1.41
43,Cincinnati,Western & Southern Financial Group Women's Open,16/08/16,Premier,Outdoor,Hard,1st Round,3,Riske A.,Flink V.,70,360,895,102,6,4,7,6,,,2,0,Completed,1.16,5,1.18,3.8,1.2,4.5,1.21,4.95,1.23,5,1.19,4.58
43,Cincinnati,Western & Southern Financial Group Women's Open,16/08/16,Premier,Outdoor,Hard,1st Round,3,Beck A.,Putintseva Y.,44,43,1293,1330,6,2,6,3,,,2,0,Completed,1.72,2,1.7,1.95,1.73,2.1,1.75,2.18,1.86,2.18,1.73,2.07
