WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
53,Cluj-Napoca,Transylvania Open,25/10/2021,WTA250,Indoor,Hard,1st Round,3,Kalinina A.,Pattinama Kerkhove L.,59,152,1105,491,6,1,6,1,,,2,0,Completed,1.3,3.5,1.32,3.7,1.44,4.1,1.3,3.46
53,Cluj-Napoca,Transylvania Open,25/10/2021,WTA250,Indoor,Hard,1st Round,3,Gasanova A.,Teichmann J.,146,39,517,1620,4,6,6,0,7,5,2,1,Completed,5,1.16,4.99,1.21,5.08,1.22,4.68,1.18
53,Cluj-Napoca,Transylvania Open,25/10/2021,WTA250,Indoor,Hard,1st Round,3,Barthel M.,Bondar A.,202,133,342,572,6,3,7,5,,,2,0,Completed,4,1.25,3.62,1.33,4.03,1.33,3.65,1.28
53,Cluj-Napoca,Transylvania Open,25/10/2021,WTA250,Indoor,Hard,1st Round,3,Friedsam A.L.,Ignatik A.,137,209,546,333,5,7,6,4,6,4,2,1,Completed,1.9,1.9,1.96,1.93,1.97,2.15,1.84,1.97
53,Cluj-Napoca,Transylvania Open,25/10/2021,WTA250,Indoor,Hard,1st Round,3,Tsurenko L.,Prisacariu A.,127,342,590,184,7,5,6,2,,,2,0,Completed,1.11,6.5,1.13,6.84,1.16,7.5,1.11,6.37
53,Cluj-Napoca,Transylvania Open,25/10/2021,WTA250,Indoor,Hard,1st Round,3,Bogdan A.,Jorovic I.,106,417,726,123,7,6,6,4,,,2,0,Completed,1.16,5,1.18,5.46,1.19,5.75,1.16,5.1
53,Cluj-Napoca,Transylvania Open,25/10/2021,WTA250,Indoor,Hard,1st Round,3,Tomljanovic A.,Potapova A.,43,68,1475,985,6,2,5,7,7,5,2,1,Completed,1.53,2.5,1.6,2.47,1.6,2.7,1.54,2.46
53,Cluj-Napoca,Transylvania Open,26/10/2021,WTA250,Indoor,Hard,1st Round,3,Peterson R.,Fett J.,99,207,802,334,6,1,6,3,,,2,0,Completed,1.16,5,1.2,5.07,1.2,5.63,1.17,4.98
53,Cluj-Napoca,Transylvania Open,26/10/2021,WTA250,Indoor,Hard,1st Round,3,Kostyuk M.,Pera B.,55,94,1130,820,6,3,6,4,,,2,0,Completed,1.66,2.2,1.69,2.29,1.75,2.35,1.65,2.23
53,Cluj-Napoca,Transylvania Open,26/10/2021,WTA250,Indoor,Hard,1st Round,3,Bara I.,Begu I.,138,57,538,1118,7,6,0,6,6,4,2,1,Completed,5.5,1.14,5.54,1.18,6.5,1.2,5.21,1.16
