WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
39,College Park,Citi Open,25/07/11,International,Outdoor,Hard,1st Round,3,Baltacha E.,Shvedova Y.,57,141,1030,455,6,2,7,6,,,2,0,Completed,1.53,2.37,1.55,2.35,1.53,2.38,1.61,2.46,1.53,2.38,1.63,2.6,1.55,2.4
39,College Park,Citi Open,25/07/11,International,Outdoor,Hard,1st Round,3,Razzano V.,Doi M.,81,107,789,662,6,2,6,2,,,2,0,Completed,1.61,2.2,1.65,2.15,1.62,2.2,1.59,2.5,1.73,2,1.73,2.5,1.61,2.25
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Lepchenko V.,Stephens S.,101,128,685,519,4,6,6,4,6,3,2,1,Completed,1.44,2.62,1.55,2.35,1.57,2.25,1.63,2.4,1.57,2.25,1.65,2.6,1.55,2.4
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Watson H.,Daniilidou E.,104,103,674,677,6,4,6,1,,,2,0,Completed,1.72,2,1.75,2,1.91,1.8,1.88,2.01,1.8,1.91,2.05,2.08,1.78,1.95
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Dubois S.,Mirza S.,117,62,586,997,7,5,6,4,,,2,0,Completed,2.1,1.66,2.15,1.65,2.1,1.67,2.14,1.78,2.2,1.62,2.25,1.8,2.09,1.7
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Falconi I.,Govortsova O.,102,97,683,707,6,3,6,4,,,2,0,Completed,2.25,1.57,2.08,1.7,2.1,1.67,2.3,1.68,2,1.73,2.33,1.73,2.12,1.67
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Brianti A.,Keothavong A.,66,94,971,730,6,3,6,4,,,2,0,Completed,1.83,1.83,1.95,1.8,1.73,2,2,1.89,1.8,1.91,2,2,1.86,1.86
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Petrova N.,Mueller A.,32,432,1511,94,6,2,6,2,,,2,0,Completed,1.07,9,1.12,5.75,1.08,7,1.08,9.43,1.1,6,1.12,9.43,1.08,7.23
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Brengle M.,Czink M.,222,160,258,359,7,6,7,5,,,2,0,Completed,2.62,1.44,2.5,1.5,2.5,1.5,2.84,1.48,2.75,1.4,2.9,1.5,2.65,1.44
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Craybas J.,Zheng J.,124,80,548,797,2,6,6,3,6,2,2,1,Completed,3,1.36,3,1.35,3.25,1.33,3.13,1.41,3.5,1.25,3.5,1.41,3.09,1.34
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Jovanovski B.,Rampre P.,56,221,1043,259,6,0,6,2,,,2,0,Completed,1.3,3.4,1.3,3.3,1.25,3.75,1.32,3.69,1.2,4,1.32,4,1.28,3.52
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Bouchard E.,Riske A.,364,114,127,597,6,3,6,2,,,2,0,Completed,2.75,1.4,2.8,1.4,2.75,1.4,3.09,1.42,2.88,1.36,3.1,1.46,2.79,1.4
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Kudryavtseva A.,Scheepers C.,75,90,825,741,4,6,6,4,6,2,2,1,Completed,2,1.72,2,1.75,2,1.73,2.14,1.78,1.83,1.83,2.14,1.8,2.02,1.73
39,College Park,Citi Open,26/07/11,International,Outdoor,Hard,1st Round,3,Peer S.,Fuda R.,24,302,2075,172,6,4,6,2,,,2,0,Completed,1.1,7,1.12,5.75,1.1,6.5,1.11,7.74,1.1,6,1.12,8.56,1.09,6.55
39,College Park,Citi Open,27/07/11,International,Outdoor,Hard,1st Round,3,Zhang S.,Dokic J.,85,54,770,1093,6,3,6,4,,,2,0,Completed,2.75,1.4,2.8,1.4,2.75,1.4,2.71,1.52,3,1.33,3,1.53,2.7,1.43
39,College Park,Citi Open,27/07/11,International,Outdoor,Hard,1st Round,3,Paszek T.,Oudin M.,42,100,1256,689,7,6,3,6,6,2,2,1,Completed,1.33,3.25,1.35,3,1.36,3,1.31,3.78,1.33,3,1.36,3.84,1.31,3.24
39,College Park,Citi Open,27/07/11,International,Outdoor,Hard,2nd Round,3,Falconi I.,Zhang S.,102,85,683,770,6,4,,,,,1,0,Retired,2,1.72,1.95,1.8,2,1.73,2.2,1.75,2,1.73,2.23,1.8,2.04,1.72
39,College Park,Citi Open,27/07/11,International,Outdoor,Hard,2nd Round,3,Razzano V.,Baltacha E.,81,57,789,1030,6,4,6,2,,,2,0,Completed,1.72,2,1.75,2,1.73,2,1.79,2.15,1.73,2,1.8,2.25,1.71,2.07
39,College Park,Citi Open,27/07/11,International,Outdoor,Hard,2nd Round,3,Petrova N.,Bouchard E.,32,364,1511,127,6,2,6,2,,,2,0,Completed,1.08,8,1.08,7,1.08,7,1.13,7.11,1.05,8,1.13,8,1.08,7.11
39,College Park,Citi Open,28/07/11,International,Outdoor,Hard,2nd Round,3,Jovanovski B.,Craybas J.,56,124,1043,548,6,4,5,7,6,4,2,1,Completed,1.22,4,1.25,3.75,1.2,4.33,1.25,4.46,1.25,3.5,1.25,4.53,1.22,4.1
39,College Park,Citi Open,28/07/11,International,Outdoor,Hard,2nd Round,3,Brianti A.,Lepchenko V.,66,101,971,685,6,1,6,2,,,2,0,Completed,1.61,2.2,1.75,2,1.62,2.2,1.85,2.07,1.67,2.1,1.85,2.2,1.72,2.05
39,College Park,Citi Open,28/07/11,International,Outdoor,Hard,2nd Round,3,Dubois S.,Watson H.,117,104,586,674,3,6,7,5,6,1,2,1,Completed,2,1.72,2,1.75,2.1,1.67,2.03,1.88,1.83,1.83,2.13,1.88,1.97,1.77
39,College Park,Citi Open,29/07/11,International,Outdoor,Hard,2nd Round,3,Peer S.,Kudryavtseva A.,24,75,2075,825,6,1,6,4,,,2,0,Completed,1.22,4,1.25,3.75,1.22,4,1.28,4.09,1.22,3.75,1.28,4.22,1.23,3.86
39,College Park,Citi Open,29/07/11,International,Outdoor,Hard,2nd Round,3,Paszek T.,Brengle M.,42,222,1256,258,6,3,6,1,,,2,0,Completed,1.18,4.5,1.22,4,1.2,4.33,1.19,5.48,1.2,4,1.22,5.49,1.18,4.61
39,College Park,Citi Open,29/07/11,International,Outdoor,Hard,Quarterfinals,3,Peer S.,Brianti A.,24,66,2075,971,6,1,6,2,,,2,0,Completed,1.25,3.75,1.3,3.3,1.29,3.5,1.32,3.79,1.29,3.5,1.32,3.85,1.28,3.49
39,College Park,Citi Open,29/07/11,International,Outdoor,Hard,Quarterfinals,3,Falconi I.,Razzano V.,102,81,683,789,6,4,6,3,,,2,0,Completed,3,1.36,2.65,1.45,2.5,1.5,3.28,1.4,2.75,1.4,3.4,1.5,2.81,1.41
39,College Park,Citi Open,29/07/11,International,Outdoor,Hard,Quarterfinals,3,Paszek T.,Dubois S.,42,117,1256,586,5,7,6,4,7,6,2,1,Completed,1.33,3.25,1.35,3,1.36,3,1.38,3.43,1.36,3,1.4,3.43,1.35,3.06
39,College Park,Citi Open,30/07/11,International,Outdoor,Hard,Quarterfinals,3,Petrova N.,Jovanovski B.,32,56,1511,1043,7,6,7,5,,,2,0,Completed,1.4,2.75,1.4,2.8,1.44,2.63,1.41,3.2,1.44,2.63,1.44,3.2,1.41,2.88
39,College Park,Citi Open,30/07/11,International,Outdoor,Hard,Semifinals,3,Peer S.,Paszek T.,24,42,2075,1256,3,6,7,6,6,4,2,1,Completed,1.33,3.25,1.35,3,1.36,3,1.34,3.67,1.33,3.25,1.45,3.67,1.35,3.11
39,College Park,Citi Open,30/07/11,International,Outdoor,Hard,Semifinals,3,Petrova N.,Falconi I.,32,102,1511,683,1,6,6,1,6,3,2,1,Completed,1.18,4.5,1.21,4.1,1.25,3.75,1.24,4.64,1.22,3.75,1.28,4.64,1.21,4.12
39,College Park,Citi Open,31/07/11,International,Outdoor,Hard,The Final,3,Petrova N.,Peer S.,32,24,1511,2075,7,5,6,2,,,2,0,Completed,1.61,2.25,1.6,2.25,1.62,2.2,1.66,2.39,1.57,2.25,1.7,2.45,1.62,2.22
