ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Bastl G.,Behr N.,110,220,6,7,7,6,6,3,,,,,2,1,Completed,,,,,,,,
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Black W.,Voltchkov V.,139,33,6,4,6,2,,,,,,,2,0,Completed,3.2,1.3,2.45,1.35,2.4,1.3,2.88,1.36
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Burgsmuller L.,Settergren J.,137,184,6,4,7,5,,,,,,,2,0,Completed,,,,,,,,
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Dupuis A.,Koll H.,89,376,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Goldstein P.,Vinck C.,80,101,6,0,6,1,,,,,,,2,0,Completed,1.8,1.9,1.57,2,1.6,1.8,1.73,2
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Gustafsson M.,Johansson J.,82,771,7,5,6,2,,,,,,,2,0,Completed,1.38,2.8,1.4,2.3,1.35,2.2,1.36,2.88
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Henman T.,Dosedel S.,10,86,6,4,2,6,6,1,,,,,2,1,Completed,1.2,4,1.22,3,1.2,2.8,1.2,4
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Ilie A.,Zib T.,43,123,4,6,6,4,6,1,,,,,2,1,Completed,1.33,3,1.37,2.35,1.35,2.2,1.29,3.25
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Mamiit C.,Sanguinetti D.,124,68,6,2,5,7,6,4,,,,,2,1,Completed,1.95,1.75,2.1,1.5,2,1.45,2.1,1.67
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Pless K.,Novak J.,147,62,6,4,6,3,,,,,,,2,0,Completed,2,1.72,2,1.55,2.1,1.5,2.2,1.62
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Schuettler R.,Knippschild J.,49,104,4,6,6,3,6,1,,,,,2,1,Completed,,,,,,,,
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Siemerink J.,Sluiter R.,98,106,7,6,,,,,,,,,1,0,Retired,1.9,1.8,1.6,1.9,1.65,1.75,1.73,2
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Tabara M.,Bjorkman J.,65,46,6,4,6,4,,,,,,,2,0,Completed,2.65,1.42,2.3,1.4,2.1,1.4,2.63,1.44
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Ulihrach B.,Gaudenzi A.,54,100,6,2,7,5,,,,,,,2,0,Completed,1.25,3.5,1.3,2.6,1.25,2.6,1.25,3.5
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Vinciguerra A.,Nestor D.,47,158,6,4,6,4,,,,,,,2,0,Completed,1.45,2.55,1.41,2.25,1.4,2.1,1.44,2.63
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,1st Round,3,Youzhny M.,Behrend T.,91,159,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,2nd Round,3,Burgsmuller L.,Tabara M.,137,65,6,4,7,5,,,,,,,2,0,Completed,2.55,1.45,2.1,1.53,2,1.55,2.5,1.5
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,2nd Round,3,Gustafsson M.,Black W.,82,139,4,6,6,4,7,6,,,,,2,1,Completed,1.48,2.45,1.55,2,1.55,2,1.53,2.38
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,2nd Round,3,Henman T.,Bastl G.,10,110,7,5,7,5,,,,,,,2,0,Completed,1.22,3.7,1.17,3.5,1.2,3.2,1.17,4.5
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,2nd Round,3,Mamiit C.,Ilie A.,124,43,6,4,6,3,,,,,,,2,0,Completed,2.55,1.45,2.15,1.5,2.1,1.5,2.38,1.53
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,2nd Round,3,Siemerink J.,Schuettler R.,98,49,6,4,1,6,6,2,,,,,2,1,Completed,2.4,1.5,2.2,1.47,2,1.55,2.2,1.62
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,2nd Round,3,Ulihrach B.,Dupuis A.,54,89,6,2,6,7,6,1,,,,,2,1,Completed,1.33,3.05,1.3,2.8,1.3,2.7,1.33,3
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,2nd Round,3,Vinciguerra A.,Goldstein P.,47,80,6,4,7,6,,,,,,,2,0,Completed,1.38,2.75,1.5,2.12,1.5,1.9,1.44,2.63
9,Copenhagen,Copenhagen Open,12/02/01,International,Indoor,Hard,2nd Round,3,Youzhny M.,Pless K.,91,147,6,4,6,4,,,,,,,2,0,Completed,1.65,2.1,1.67,1.9,1.7,1.8,1.53,2.38
