WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
19,Copenhagen,e-Boks Sony Ericsson Open,09/04/12,International,Indoor,Hard,1st Round,3,Brianti A.,Barrois K.,63,113,940,604,6,2,3,6,6,4,2,1,Completed,2.2,1.61,2.15,1.65,2.2,1.62,2.33,1.67,2.2,1.62,2.43,1.72,2.21,1.63
19,Copenhagen,e-Boks Sony Ericsson Open,09/04/12,International,Indoor,Hard,1st Round,3,Babos T.,Date Krumm K.,67,84,916,780,1,6,7,6,7,5,2,1,Completed,1.36,3,1.4,2.8,1.36,3,1.48,2.83,1.36,2.88,1.48,3.2,1.41,2.82
19,Copenhagen,e-Boks Sony Ericsson Open,09/04/12,International,Indoor,Hard,1st Round,3,Putintseva Y.,Barbat K.,171,656,369,36,6,4,7,5,,,2,0,Completed,1.08,8,1.08,7,1.03,10,1.07,10.2,1.08,6.5,1.12,12.52,1.06,8.33
19,Copenhagen,e-Boks Sony Ericsson Open,10/04/12,International,Indoor,Hard,1st Round,3,Niculescu M.,Savinykh V.,29,99,1840,680,6,2,6,2,,,2,0,Completed,1.36,3,1.4,2.8,1.4,2.75,1.4,3.18,1.44,2.63,1.44,3.21,1.39,2.9
19,Copenhagen,e-Boks Sony Ericsson Open,10/04/12,International,Indoor,Hard,1st Round,3,Barthel M.,Larsson J.,37,70,1590,876,6,3,6,4,,,2,0,Completed,1.07,9,1.08,7,1.07,7.5,1.11,7.74,1.13,5.5,1.13,9.24,1.08,7.27
19,Copenhagen,e-Boks Sony Ericsson Open,10/04/12,International,Indoor,Hard,1st Round,3,Keothavong A.,Czink M.,73,105,856,640,4,6,6,2,6,3,2,1,Completed,1.72,2,1.75,2,1.73,2,1.63,2.4,1.73,2,1.8,2.4,1.74,2.03
19,Copenhagen,e-Boks Sony Ericsson Open,10/04/12,International,Indoor,Hard,1st Round,3,Cornet A.,Ejdesgaard M.,107,842,628,19,6,0,6,0,,,2,0,Completed,1.03,15,1.04,9,1.02,13,1.02,20.52,1.02,13,1.05,20.52,1.03,12.83
19,Copenhagen,e-Boks Sony Ericsson Open,10/04/12,International,Indoor,Hard,1st Round,3,Kanepi K.,Rodionova An.,34,94,1651,715,6,3,6,4,,,2,0,Completed,1.36,3,1.35,3,1.36,3,1.36,3.42,1.36,2.88,1.5,3.49,1.36,3.04
19,Copenhagen,e-Boks Sony Ericsson Open,10/04/12,International,Indoor,Hard,1st Round,3,Martic P.,Beck A.,57,107,1050,522,6,4,6,4,,,2,0,Completed,1.61,2.2,1.7,2.08,1.67,2.1,1.68,2.3,1.67,2.1,1.75,2.4,1.67,2.14
19,Copenhagen,e-Boks Sony Ericsson Open,10/04/12,International,Indoor,Hard,1st Round,3,Wozniacki C.,Radwanska U.,6,93,5450,719,7,6,6,2,,,2,0,Completed,1.03,15,1.04,9,1.02,13,1.02,16.02,1.04,9,1.07,17.5,1.03,11.7
