ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Cordoba,Cordoba Open,22/02/2021,ATP250,Outdoor,Clay,1st Round,3,Kovalik J.,Galan D.,128,116,548,619,6,2,1,6,6,3,,,,,2,1,Completed,2,1.72,2.15,1.78,2.31,1.83,2.15,1.7
6,Cordoba,Cordoba Open,22/02/2021,ATP250,Outdoor,Clay,1st Round,3,Jarry N.,Munar J.,1165,104,7,745,5,7,7,6,6,4,,,,,2,1,Completed,3.75,1.25,3.58,1.33,3.87,1.34,3.52,1.3
6,Cordoba,Cordoba Open,23/02/2021,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Sousa J.,96,98,786,782,6,3,6,1,,,,,,,2,0,Completed,1.25,3.75,1.24,4.55,1.3,4.55,1.26,3.82
6,Cordoba,Cordoba Open,23/02/2021,ATP250,Outdoor,Clay,1st Round,3,Cecchinato M.,Dellien H.,87,112,838,669,6,2,4,6,6,1,,,,,2,1,Completed,1.28,3.5,1.44,2.97,1.45,3.75,1.37,3.1
6,Cordoba,Cordoba Open,23/02/2021,ATP250,Outdoor,Clay,1st Round,3,Coria F.,Koepfer D.,95,71,790,966,6,1,6,4,,,,,,,2,0,Completed,1.61,2.2,1.7,2.27,1.74,2.3,1.67,2.2
6,Cordoba,Cordoba Open,23/02/2021,ATP250,Outdoor,Clay,1st Round,3,Cerundolo J.M.,Seyboth Wild T.,335,119,132,605,7,5,7,6,,,,,,,2,0,Completed,3.25,1.33,3.06,1.42,4,1.46,2.96,1.4
6,Cordoba,Cordoba Open,23/02/2021,ATP250,Outdoor,Clay,1st Round,3,Bagnis F.,Kicker N.,130,N/A,546,N/A,6,1,6,4,,,,,,,2,0,Completed,1.2,4.33,1.24,4.45,1.28,5,1.21,4.39
6,Cordoba,Cordoba Open,23/02/2021,ATP250,Outdoor,Clay,1st Round,3,Etcheverry T.,Martin A.,234,101,258,753,6,3,7,6,,,,,,,2,0,Completed,1.72,2,1.69,2.28,1.91,2.28,1.81,2
6,Cordoba,Cordoba Open,23/02/2021,ATP250,Outdoor,Clay,1st Round,3,Ramos-Vinolas A.,Londero J.I.,47,88,1210,832,4,6,6,2,6,2,,,,,2,1,Completed,2.2,1.61,2.24,1.72,2.35,1.95,2.17,1.69
6,Cordoba,Cordoba Open,23/02/2021,ATP250,Outdoor,Clay,1st Round,3,Cerundolo F.,Mager G.,135,99,520,770,6,7,6,1,6,4,,,,,2,1,Completed,1.5,2.5,1.61,2.45,1.67,2.73,1.58,2.38
6,Cordoba,Cordoba Open,24/02/2021,ATP250,Outdoor,Clay,1st Round,3,Delbonis F.,Sousa P.,84,108,851,704,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,1.52,2.71,1.7,2.8,1.53,2.5
6,Cordoba,Cordoba Open,24/02/2021,ATP250,Outdoor,Clay,1st Round,3,Monteiro T.,Menezes J.,74,199,929,353,6,3,6,3,,,,,,,2,0,Completed,1.22,4,1.27,4.15,1.35,4.25,1.25,3.9
6,Cordoba,Cordoba Open,24/02/2021,ATP250,Outdoor,Clay,2nd Round,3,Kovalik J.,Barrios M.,128,265,548,221,4,6,6,2,6,3,,,,,2,1,Completed,1.57,2.25,1.69,2.3,1.78,2.5,1.62,2.28
6,Cordoba,Cordoba Open,24/02/2021,ATP250,Outdoor,Clay,2nd Round,3,Coria F.,Cerundolo F.,95,135,790,520,1,6,6,2,6,4,,,,,2,1,Completed,2.25,1.57,2.3,1.69,2.5,1.71,2.27,1.63
6,Cordoba,Cordoba Open,24/02/2021,ATP250,Outdoor,Clay,2nd Round,3,Bagnis F.,Delbonis F.,130,84,546,851,6,4,7,5,,,,,,,2,0,Completed,2,1.72,2.24,1.73,2.31,1.8,2.09,1.74
6,Cordoba,Cordoba Open,25/02/2021,ATP250,Outdoor,Clay,2nd Round,3,Paire B.,Jarry N.,29,1165,1738,7,6,2,6,4,,,,,,,2,0,Completed,2.62,1.44,2.72,1.52,2.8,1.55,2.61,1.49
6,Cordoba,Cordoba Open,25/02/2021,ATP250,Outdoor,Clay,2nd Round,3,Monteiro T.,Carballes Baena R.,74,96,929,786,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.47,2.89,1.54,3.2,1.4,2.9
