ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
13,Costa Do Sauipe,Brasil Open,20/02/06,International,Outdoor,Clay,1st Round,3,Vanek J.,Montanes A.,121,66,350,571,7,6,6,1,,,,,,,2,0,Completed,2.62,1.44,2.6,1.48,2.4,1.53,2.8,1.5,2.5,1.5
13,Costa Do Sauipe,Brasil Open,20/02/06,International,Outdoor,Clay,1st Round,3,Vicente F.,Berlocq C.,100,78,399,503,6,4,2,0,,,,,,,1,0,Retired,1.83,1.83,1.83,1.93,1.85,1.9,2.01,1.901,1.8,1.96
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Mello R.,Marin J.A.,183,101,213,396,7,6,3,6,6,0,,,,,2,1,Completed,2,1.72,2.2,1.65,2.05,1.75,2.26,1.735,2.15,1.66
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Gaudio G.,Portas A.,9,108,1950,373,6,3,3,6,6,3,,,,,2,1,Completed,1.1,6,1.12,6,1.15,5.2,1.154,6.88,1.14,5.3
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Monaco J.,Del Potro J.M.,77,153,507,270,7,5,7,5,,,,,,,2,0,Completed,2.2,1.61,2.4,1.55,2.3,1.6,2.38,1.676,2.05,1.73
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Serra F.,Dlouhy L.,37,75,848,525,6,3,2,6,6,4,,,,,2,1,Completed,1.5,2.5,1.55,2.4,1.45,2.6,1.633,2.48,1.45,2.65
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Patience O.,Sabau R.,139,112,298,361,7,6,6,3,,,,,,,2,0,Completed,1.44,2.62,,,,,1.457,2.99,,
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Ghem A.,Kuerten G.,313,287,102,115,3,6,6,3,6,4,,,,,2,1,Completed,,,,,,,3.4,1.385,,
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Volandri F.,Kim K.,31,117,955,356,3,6,6,3,6,0,,,,,2,1,Completed,1.12,5.5,1.12,6,1.15,5.2,1.198,5.55,1.11,6.1
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Martin A.,Horna L.,68,67,561,562,6,4,7,5,,,,,,,2,0,Completed,1.57,2.25,1.65,2.2,1.55,2.35,1.69,2.35,1.6,2.26
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Massu N.,Daniel M.,55,92,670,429,7,6,6,1,,,,,,,2,0,Completed,1.19,4,1.22,4.1,1.2,4.25,1.272,4.37,1.21,4.2
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Pashanski B.,Behrend T.,58,102,648,391,6,3,1,6,6,3,,,,,2,1,Completed,1.5,2.5,1.6,2.3,1.5,2.45,1.578,2.63,,
13,Costa Do Sauipe,Brasil Open,21/02/06,International,Outdoor,Clay,1st Round,3,Chela J.I.,Gimeno-Traver D.,44,179,770,222,7,6,6,3,,,,,,,2,0,Completed,1.28,3.25,1.35,3.1,1.35,3.1,1.41,3.24,1.36,3
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,1st Round,3,Almagro N.,Sa A.,114,241,357,143,6,1,7,6,,,,,,,2,0,Completed,1.19,4,,,1.2,4.25,1.214,5.28,1.2,4.2
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,1st Round,3,Starace P.,Navarro-Pastor I.,94,130,428,314,6,3,3,6,6,3,,,,,2,1,Completed,,,,,,,,,,
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,1st Round,3,Saretta F.,Ferrero J.C.,85,16,452,1535,6,4,6,3,,,,,,,2,0,Completed,4,1.19,3.85,1.25,3.9,1.25,4,1.303,3.85,1.24
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,2nd Round,3,Patience O.,Gaudio G.,139,9,298,1950,6,2,6,2,,,,,,,2,0,Completed,5.5,1.12,5.65,1.13,5.2,1.15,5.64,1.195,4.85,1.16
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,2nd Round,3,Vanek J.,Volandri F.,121,31,350,955,6,0,6,1,,,,,,,2,0,Completed,3.25,1.33,3.2,1.33,2.75,1.42,3.14,1.427,2.82,1.4
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,2nd Round,3,Monaco J.,Serra F.,77,37,507,848,6,1,6,1,,,,,,,2,0,Completed,,,,,,,,,2.08,1.7
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,2nd Round,3,Martin A.,Ghem A.,68,313,561,102,6,2,3,6,6,3,,,,,2,1,Completed,1.16,4.5,1.22,4.1,1.2,4.25,1.215,5.25,1.18,4.5
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,2nd Round,3,Massu N.,Vicente F.,55,100,670,399,3,6,7,6,6,3,,,,,2,1,Completed,,,1.3,3.4,1.25,3.9,1.304,3.99,1.25,3.75
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,2nd Round,3,Chela J.I.,Starace P.,44,94,770,428,6,4,7,5,,,,,,,2,0,Completed,1.53,2.37,1.6,2.3,1.5,2.45,1.667,2.4,1.58,2.3
13,Costa Do Sauipe,Brasil Open,22/02/06,International,Outdoor,Clay,2nd Round,3,Pashanski B.,Mello R.,58,183,648,213,6,2,6,3,,,,,,,2,0,Completed,,,1.65,2.2,1.75,2,1.699,2.33,1.55,2.36
13,Costa Do Sauipe,Brasil Open,23/02/06,International,Outdoor,Clay,2nd Round,3,Almagro N.,Saretta F.,114,85,357,452,7,5,7,5,,,,,,,2,0,Completed,2,1.72,2.05,1.75,1.85,1.9,2.11,1.826,2,1.77
13,Costa Do Sauipe,Brasil Open,23/02/06,International,Outdoor,Clay,Quarterfinals,3,Monaco J.,Chela J.I.,77,44,507,770,6,3,6,2,,,,,,,2,0,Completed,2.2,1.61,2.15,1.67,2.28,1.58,2.18,1.781,2.25,1.61
13,Costa Do Sauipe,Brasil Open,23/02/06,International,Outdoor,Clay,Quarterfinals,3,Martin A.,Vanek J.,68,121,561,350,7,6,6,3,,,,,,,2,0,Completed,1.5,2.5,,,1.4,2.85,1.538,2.76,1.46,2.6
13,Costa Do Sauipe,Brasil Open,23/02/06,International,Outdoor,Clay,Quarterfinals,3,Massu N.,Almagro N.,55,114,670,357,7,6,6,3,,,,,,,2,0,Completed,1.5,2.5,1.53,2.45,1.5,2.45,1.621,2.51,1.64,2.18
13,Costa Do Sauipe,Brasil Open,23/02/06,International,Outdoor,Clay,Quarterfinals,3,Patience O.,Pashanski B.,139,58,298,648,4,6,6,3,6,2,,,,,2,1,Completed,,,1.48,2.6,1.42,2.75,1.513,2.82,1.5,2.5
13,Costa Do Sauipe,Brasil Open,24/02/06,International,Outdoor,Clay,Semifinals,3,Martin A.,Patience O.,68,139,561,298,6,2,5,7,7,6,,,,,2,1,Completed,1.53,2.37,1.48,2.6,1.5,2.45,1.467,2.94,1.52,2.45
13,Costa Do Sauipe,Brasil Open,25/02/06,International,Outdoor,Clay,Semifinals,3,Massu N.,Monaco J.,55,77,670,507,2,6,6,2,7,5,,,,,2,1,Completed,1.66,2.1,1.7,2.1,1.7,2.1,1.87,2.05,1.72,2.05
13,Costa Do Sauipe,Brasil Open,25/02/06,International,Outdoor,Clay,The Final,3,Massu N.,Martin A.,55,68,670,561,6,3,6,4,,,,,,,2,0,Completed,1.61,2.2,1.73,2.1,1.65,2.15,1.685,2.36,1.7,2.1
