WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
42,Dallas,Texas Tennis Open,19/08/12,International,Outdoor,Hard,1st Round,3,Scheepers C.,Zahlavova Strycova B.,42,60,1475,1017,6,0,6,2,,,2,0,Completed,1.36,3,,,1.4,2.75,1.37,2.75,1.4,2.75,1.4,3.45,1.36,3.04
42,Dallas,Texas Tennis Open,19/08/12,International,Outdoor,Hard,1st Round,3,Hercog P.,Bertens K.,63,72,980,892,6,4,,,,,1,0,Retired,2.37,1.53,,,1.57,2.25,1.57,2.25,1.5,2.5,1.57,2.7,1.52,2.46
42,Dallas,Texas Tennis Open,19/08/12,International,Outdoor,Hard,1st Round,3,Jovanovski B.,Panova A.,87,74,793,886,4,6,6,1,6,1,2,1,Completed,1.53,2.37,,,1.53,2.38,1.49,2.38,1.57,2.25,1.57,2.81,1.51,2.49
42,Dallas,Texas Tennis Open,20/08/12,International,Outdoor,Hard,1st Round,3,Wozniak A.,Zakopalova K.,50,27,1290,1700,6,0,7,6,,,2,0,Completed,1.5,2.5,,,1.57,2.25,1.57,2.25,1.53,2.38,1.59,2.55,1.53,2.42
42,Dallas,Texas Tennis Open,20/08/12,International,Outdoor,Hard,1st Round,3,Cornet A.,Benesova I.,49,64,1291,975,1,6,7,6,6,2,2,1,Completed,1.4,2.75,,,1.44,2.62,1.49,2.62,1.44,2.63,1.59,2.88,1.45,2.67
42,Dallas,Texas Tennis Open,20/08/12,International,Outdoor,Hard,1st Round,3,Cirstea S.,Gajdosova J.,38,100,1496,682,7,6,6,4,,,2,0,Completed,1.36,3,,,1.36,3,1.36,3.28,1.33,3,1.42,3.28,1.37,2.99
42,Dallas,Texas Tennis Open,20/08/12,International,Outdoor,Hard,1st Round,3,Rus A.,Oprandi R.,61,56,994,1113,7,5,6,4,,,2,0,Completed,3,1.36,,,2.62,1.44,3.01,1.44,2.75,1.4,3.01,1.5,2.78,1.42
42,Dallas,Texas Tennis Open,20/08/12,International,Outdoor,Hard,1st Round,3,Wickmayer Y.,Watson H.,28,70,1675,933,6,3,6,4,,,2,0,Completed,1.44,2.62,,,1.44,2.62,1.51,2.62,1.4,2.75,1.53,2.75,1.46,2.65
42,Dallas,Texas Tennis Open,20/08/12,International,Outdoor,Hard,1st Round,3,Erakovic M.,Keothavong A.,54,80,1165,831,6,1,5,7,7,6,2,1,Completed,1.36,3,,,1.36,3,1.36,3.2,1.4,2.75,1.43,3.2,1.39,2.91
42,Dallas,Texas Tennis Open,20/08/12,International,Outdoor,Hard,1st Round,3,Vinci R.,Hsieh S.W.,23,57,1875,1047,6,2,6,2,,,2,0,Completed,1.4,2.75,,,1.44,2.62,1.44,2.64,1.44,2.63,1.54,2.75,1.48,2.58
42,Dallas,Texas Tennis Open,20/08/12,International,Outdoor,Hard,1st Round,3,Parmentier P.,Falconi I.,93,111,740,610,6,1,6,4,,,2,0,Completed,2,1.72,,,1.83,1.83,2.16,1.83,2,1.73,2.16,1.83,2,1.76
42,Dallas,Texas Tennis Open,20/08/12,International,Outdoor,Hard,1st Round,3,Dellacqua C.,Begu I.,106,84,635,810,6,2,6,2,,,2,0,Completed,1.8,1.9,,,1.91,1.8,1.91,1.88,1.83,1.83,2.01,1.99,1.87,1.87
42,Dallas,Texas Tennis Open,21/08/12,International,Outdoor,Hard,1st Round,3,Jankovic J.,Shvedova Y.,34,45,1601,1419,6,7,7,6,6,1,2,1,Completed,2.37,1.53,,,2.38,1.53,2.49,1.53,2.25,1.57,2.55,1.61,2.37,1.56
42,Dallas,Texas Tennis Open,21/08/12,International,Outdoor,Hard,1st Round,3,Peng S.,Morita A.,36,94,1565,720,4,6,6,0,6,3,2,1,Completed,1.18,4.5,,,1.2,4.33,1.27,4.33,1.17,4.5,1.28,4.5,1.22,4.06
