ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
7,Delray Beach,International Championships,31/01/05,International,Outdoor,Hard,1st Round,3,Carlsen K.,Nunez E.,96,531,7,5,6,4,,,,,,,2,0,Completed,1.12,5.5,,,,,1.15,3.8,,
7,Delray Beach,International Championships,31/01/05,International,Outdoor,Hard,1st Round,3,Malisse X.,Morrison J.,46,120,6,2,4,6,7,5,,,,,2,1,Completed,1.28,3.25,1.33,3.2,1.35,3.1,1.3,2.7,1.357,3.4
7,Delray Beach,International Championships,31/01/05,International,Outdoor,Hard,1st Round,3,Widom T.,Mutis O.,365,106,7,6,6,7,6,3,,,,,2,1,Completed,,,,,,,,,,
7,Delray Beach,International Championships,31/01/05,International,Outdoor,Hard,1st Round,3,Kim K.,Dancevic F.,71,168,6,4,6,1,,,,,,,2,0,Completed,1.44,2.62,1.55,2.4,1.58,2.28,1.55,2,1.543,2.64
7,Delray Beach,International Championships,31/01/05,International,Outdoor,Hard,1st Round,3,Spadea V.,Armando H.,21,161,6,2,6,3,,,,,,,2,0,Completed,1.12,5.5,1.16,5,1.13,5.5,1.2,3.3,1.197,5.07
7,Delray Beach,International Championships,31/01/05,International,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Odesnik W.,66,372,6,3,6,4,,,,,,,2,0,Completed,1.16,4.33,,,,,1.2,3.3,1.195,5.14
7,Delray Beach,International Championships,01/02/05,International,Outdoor,Hard,1st Round,3,Sun P.,Boeker M.,386,270,6,3,6,4,,,,,,,2,0,Completed,,,,,,,2.7,1.3,,
7,Delray Beach,International Championships,01/02/05,International,Outdoor,Hard,1st Round,3,Mello R.,Zib T.,56,86,7,6,6,3,,,,,,,2,0,Completed,1.39,2.75,1.46,2.6,1.45,2.6,1.4,2.3,1.424,3.06
7,Delray Beach,International Championships,01/02/05,International,Outdoor,Hard,1st Round,3,Novak J.,Delic A.,28,162,6,4,6,3,,,,,,,2,0,Completed,1.22,3.75,1.28,3.55,1.3,3.35,1.25,3,1.329,3.59
7,Delray Beach,International Championships,01/02/05,International,Outdoor,Hard,1st Round,3,Moodie W.,Salzenstein J.,137,146,7,5,6,2,,,,,,,2,0,Completed,2,1.72,2.1,1.7,1.97,1.78,1.7,1.8,2.13,1.752
7,Delray Beach,International Championships,01/02/05,International,Outdoor,Hard,1st Round,3,Guzman J.P.,Karanusic R.,159,150,6,2,3,6,6,3,,,,,2,1,Completed,2.75,1.39,2.85,1.4,2.85,1.4,2.1,1.5,3.25,1.385
7,Delray Beach,International Championships,02/02/05,International,Outdoor,Hard,1st Round,3,Wessels P.,van Scheppingen D.,81,118,6,2,6,4,,,,,,,2,0,Completed,1.44,2.62,1.4,2.85,1.45,2.6,1.4,2.3,1.4,3.15
7,Delray Beach,International Championships,02/02/05,International,Outdoor,Hard,1st Round,3,Vahaly B.,Kendrick R.,245,155,7,5,6,4,,,,,,,2,0,Completed,2.37,1.53,2.45,1.5,2.12,1.67,1.9,1.6,2.68,1.532
7,Delray Beach,International Championships,02/02/05,International,Outdoor,Hard,1st Round,3,Gabashvili T.,Blake T.,262,715,4,6,6,2,6,2,,,,,2,1,Completed,,,5.65,1.12,5.85,1.1,3.8,1.15,,
7,Delray Beach,International Championships,02/02/05,International,Outdoor,Hard,1st Round,3,Delgado R.,Weiner G.,230,179,6,2,6,1,,,,,,,2,0,Completed,,,,,,,,,,
7,Delray Beach,International Championships,02/02/05,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Saulnier C.,103,55,7,5,3,6,6,4,,,,,2,1,Completed,2.62,1.44,2.85,1.4,2.6,1.45,2.1,1.5,2.99,1.437
7,Delray Beach,International Championships,02/02/05,International,Outdoor,Hard,2nd Round,3,Kim K.,Widom T.,71,365,6,2,6,3,,,,,,,2,0,Completed,1.28,3.25,1.3,3.4,1.3,3.4,1.25,3,,
7,Delray Beach,International Championships,02/02/05,International,Outdoor,Hard,2nd Round,3,Malisse X.,Guzman J.P.,46,159,6,4,3,6,6,1,,,,,2,1,Completed,1.19,4.33,1.2,4.4,1.25,3.75,,,1.19,5.15
7,Delray Beach,International Championships,03/02/05,International,Outdoor,Hard,2nd Round,3,Spadea V.,Gabashvili T.,21,262,4,6,7,5,6,3,,,,,2,1,Completed,,,1.15,5.25,1.2,5.2,1.2,3.3,,
7,Delray Beach,International Championships,03/02/05,International,Outdoor,Hard,2nd Round,3,Moodie W.,Mello R.,137,56,6,4,6,4,,,,,,,2,0,Completed,3.5,1.28,3.1,1.35,2.92,1.37,2.3,1.4,3.19,1.394
7,Delray Beach,International Championships,03/02/05,International,Outdoor,Hard,2nd Round,3,Delgado R.,Sun P.,230,386,6,7,6,1,6,1,,,,,2,1,Completed,,,,,1.32,3.22,1.3,2.7,,
7,Delray Beach,International Championships,03/02/05,International,Outdoor,Hard,2nd Round,3,Carlsen K.,Vahaly B.,96,245,2,6,7,6,6,3,,,,,2,1,Completed,1.5,2.5,1.55,2.4,1.67,2.12,1.5,2.1,1.714,2.2
7,Delray Beach,International Championships,03/02/05,International,Outdoor,Hard,2nd Round,3,Novak J.,Kohlschreiber P.,28,66,6,2,6,1,,,,,,,2,0,Completed,1.39,2.75,1.35,3.1,1.4,2.85,1.3,2.7,1.5,2.77
7,Delray Beach,International Championships,04/02/05,International,Outdoor,Hard,2nd Round,3,Wessels P.,Gambill J.M.,81,103,6,4,6,7,6,3,,,,,2,1,Completed,2,1.72,1.77,2,1.95,1.8,1.7,1.8,1.99,1.84
7,Delray Beach,International Championships,04/02/05,International,Outdoor,Hard,Quarterfinals,3,Moodie W.,Wessels P.,137,81,5,0,,,,,,,,,0,0,Retired,2,1.72,2,1.77,1.9,1.85,1.95,1.65,2.15,1.741
7,Delray Beach,International Championships,04/02/05,International,Outdoor,Hard,Quarterfinals,3,Novak J.,Carlsen K.,28,96,6,3,7,5,,,,,,,2,0,Completed,1.25,3.75,1.28,3.55,1.25,3.75,1.2,3.6,1.238,4.5
7,Delray Beach,International Championships,05/02/05,International,Outdoor,Hard,Quarterfinals,3,Spadea V.,Kim K.,21,71,7,5,6,7,6,4,,,,,2,1,Completed,1.44,2.62,1.4,2.85,1.45,2.6,1.35,2.5,1.588,2.5
7,Delray Beach,International Championships,05/02/05,International,Outdoor,Hard,Quarterfinals,3,Malisse X.,Delgado R.,46,230,6,2,6,2,,,,,,,2,0,Completed,1.28,3.5,1.33,3.2,1.37,2.92,1.35,2.7,1.328,3.6
7,Delray Beach,International Championships,05/02/05,International,Outdoor,Hard,Semifinals,3,Novak J.,Moodie W.,28,137,6,3,6,3,,,,,,,2,0,Completed,1.22,4,1.18,4.65,1.25,3.75,1.25,3.2,1.217,4.75
7,Delray Beach,International Championships,06/02/05,International,Outdoor,Hard,Semifinals,3,Malisse X.,Spadea V.,46,21,7,5,6,4,,,,,,,2,0,Completed,1.83,1.83,1.73,2.05,1.85,1.85,1.8,1.8,1.769,2.1
7,Delray Beach,International Championships,06/02/05,International,Outdoor,Hard,The Final,3,Malisse X.,Novak J.,46,28,7,6,6,2,,,,,,,2,0,Completed,2.5,1.5,2.3,1.6,2.6,1.45,2.35,1.45,2.53,1.578
