ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
9,Delray Beach,International Championships,11/02/08,International,Outdoor,Hard,1st Round,3,Ginepri R.,Montcourt M.,169,160,245,261,6,3,6,0,,,,,,,2,0,Completed,1.33,3.25,1.26,3.59,1.333,3.25,1.38,3.43,1.35,3.1
9,Delray Beach,International Championships,11/02/08,International,Outdoor,Hard,1st Round,3,Navarro-Pastor I.,Serra F.,128,88,332,466,6,3,3,6,6,3,,,,,2,1,Completed,3.25,1.33,3.1,1.35,3,1.364,3.4,1.385,3.3,1.31
9,Delray Beach,International Championships,11/02/08,International,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Odesnik W.,79,122,498,351,6,4,6,2,,,,,,,2,0,Completed,1.66,2.1,,,1.571,2.25,1.84,2.09,1.63,2.2
9,Delray Beach,International Championships,11/02/08,International,Outdoor,Hard,1st Round,3,Capdeville P.,Bowles C.,105,1401,398,2,6,2,6,4,,,,,,,2,0,Completed,1.08,7,,,1.12,5.5,1.12,8.55,1.1,6.75
9,Delray Beach,International Championships,12/02/08,International,Outdoor,Hard,1st Round,3,Hartfield D.,Haas T.,99,27,425,1270,6,2,3,6,6,2,,,,,2,1,Completed,4,1.22,3.89,1.23,3.75,1.25,4.3,1.278,4.1,1.22
9,Delray Beach,International Championships,12/02/08,International,Outdoor,Hard,1st Round,3,Reynolds B.,Malisse X.,111,351,380,95,6,2,4,6,6,3,,,,,2,1,Completed,4.33,1.2,4.67,1.17,4,1.222,4.85,1.235,4.3,1.2
9,Delray Beach,International Championships,12/02/08,International,Outdoor,Hard,1st Round,3,Russell M.,Bogomolov A.,109,189,381,218,6,1,6,0,,,,,,,2,0,Completed,1.5,2.5,1.5,2.45,,,1.493,2.83,1.45,2.68
9,Delray Beach,International Championships,12/02/08,International,Outdoor,Hard,1st Round,3,Kunitsyn I.,Becker B.,117,92,362,441,6,3,7,6,,,,,,,2,0,Completed,2.37,1.53,2.4,1.53,2.25,1.571,2.54,1.61,2.52,1.5
9,Delray Beach,International Championships,12/02/08,International,Outdoor,Hard,1st Round,3,Muller G.,Levine J.,129,174,332,242,7,5,7,6,,,,,,,2,0,Completed,2,1.72,2.03,1.73,1.833,1.833,2.29,1.719,2,1.77
9,Delray Beach,International Championships,12/02/08,International,Outdoor,Hard,1st Round,3,Fish M.,Crugnola M.,77,399,510,80,6,1,7,5,,,,,,,2,0,Completed,1.06,8,,,,,1.087,10.5,1.1,6.75
9,Delray Beach,International Championships,13/02/08,International,Outdoor,Hard,1st Round,3,Mirnyi M.,Gregorc L.,214,443,185,65,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,,,
9,Delray Beach,International Championships,13/02/08,International,Outdoor,Hard,1st Round,3,Blake J.,Kendrick R.,12,113,1645,370,7,5,7,5,,,,,,,2,0,Completed,1.08,7,1.13,5.5,1.083,7,1.135,7.7,1.12,5.85
9,Delray Beach,International Championships,13/02/08,International,Outdoor,Hard,1st Round,3,Querrey S.,Schukin Y.,62,121,558,356,6,1,6,4,,,,,,,2,0,Completed,1.06,8,1.17,4.67,1.222,4,1.187,5.85,1.1,6.75
9,Delray Beach,International Championships,13/02/08,International,Outdoor,Hard,1st Round,3,Spadea V.,Gremelmayr D.,73,104,518,402,6,3,6,4,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.364,3,1.394,3.34,1.37,3
9,Delray Beach,International Championships,13/02/08,International,Outdoor,Hard,1st Round,3,Nishikori K.,Mayer F.,244,66,160,541,6,0,4,3,,,,,,,1,0,Retired,2,1.72,2.15,1.65,2.1,1.667,2.18,1.781,1.94,1.82
9,Delray Beach,International Championships,14/02/08,International,Outdoor,Hard,1st Round,3,Delic A.,Young D.,120,95,359,429,7,6,6,3,,,,,,,2,0,Completed,1.83,1.83,1.87,1.87,1.833,1.833,1.885,2.03,1.77,2
9,Delray Beach,International Championships,14/02/08,International,Outdoor,Hard,2nd Round,3,Ginepri R.,Russell M.,169,109,245,381,7,5,4,6,6,2,,,,,2,1,Completed,1.53,2.37,1.53,2.4,1.533,2.375,1.658,2.42,1.6,2.28
9,Delray Beach,International Championships,14/02/08,International,Outdoor,Hard,2nd Round,3,Fish M.,Navarro-Pastor I.,77,128,510,332,2,6,7,5,6,3,,,,,2,1,Completed,1.12,5.5,1.15,5.2,1.143,5,1.164,6.5,1.14,5.35
9,Delray Beach,International Championships,14/02/08,International,Outdoor,Hard,2nd Round,3,Reynolds B.,Hartfield D.,111,99,380,425,7,5,2,6,7,6,,,,,2,1,Completed,1.72,2,1.87,1.87,1.727,2,1.909,2,1.77,2
9,Delray Beach,International Championships,14/02/08,International,Outdoor,Hard,2nd Round,3,Nishikori K.,Delic A.,244,120,160,359,6,7,6,4,6,2,,,,,2,1,Completed,2.5,1.5,2.46,1.51,2.375,1.533,2.83,1.493,2.6,1.47
9,Delray Beach,International Championships,14/02/08,International,Outdoor,Hard,2nd Round,3,Querrey S.,Garcia-Lopez G.,62,79,558,498,6,4,5,7,6,4,,,,,2,1,Completed,1.39,2.75,1.42,2.75,1.4,2.75,1.465,2.95,1.37,3
9,Delray Beach,International Championships,14/02/08,International,Outdoor,Hard,2nd Round,3,Kunitsyn I.,Mirnyi M.,117,214,362,185,7,6,6,3,,,,,,,2,0,Completed,1.66,2.1,1.8,1.95,1.8,1.909,1.769,2.2,1.74,2.04
9,Delray Beach,International Championships,15/02/08,International,Outdoor,Hard,2nd Round,3,Spadea V.,Muller G.,73,129,518,332,7,5,4,6,6,3,,,,,2,1,Completed,1.39,2.75,1.45,2.65,1.444,2.625,1.45,3.02,1.37,3
9,Delray Beach,International Championships,15/02/08,International,Outdoor,Hard,2nd Round,3,Blake J.,Capdeville P.,12,105,1645,398,6,1,6,4,,,,,,,2,0,Completed,1.12,5.5,1.15,5.2,1.143,5,1.159,6.7,1.16,5
9,Delray Beach,International Championships,15/02/08,International,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Reynolds B.,244,111,160,380,6,2,6,4,,,,,,,2,0,Completed,1.8,1.9,1.7,2.1,1.727,2,1.82,2.12,1.73,2.06
9,Delray Beach,International Championships,15/02/08,International,Outdoor,Hard,Quarterfinals,3,Querrey S.,Spadea V.,62,73,558,518,6,2,6,4,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.727,2,1.833,2.1,1.7,2.1
9,Delray Beach,International Championships,16/02/08,International,Outdoor,Hard,Quarterfinals,3,Ginepri R.,Fish M.,169,77,245,510,6,1,4,6,6,4,,,,,2,1,Completed,2,1.72,2.15,1.65,2.1,1.667,2.1,1.833,2.15,1.67
9,Delray Beach,International Championships,16/02/08,International,Outdoor,Hard,Quarterfinals,3,Blake J.,Kunitsyn I.,12,117,1645,362,6,2,6,4,,,,,,,2,0,Completed,1.14,5,1.15,5.2,1.143,5,1.15,7.07,1.13,5.6
9,Delray Beach,International Championships,16/02/08,International,Outdoor,Hard,Semifinals,3,Nishikori K.,Querrey S.,244,62,160,558,4,6,6,2,7,6,,,,,2,1,Completed,3,1.36,2.6,1.45,2.75,1.4,3.1,1.435,2.85,1.4
9,Delray Beach,International Championships,17/02/08,International,Outdoor,Hard,Semifinals,3,Blake J.,Ginepri R.,12,169,1645,245,6,4,6,4,,,,,,,2,0,Completed,1.3,3.4,1.28,3.46,1.286,3.5,1.331,3.72,1.28,3.55
9,Delray Beach,International Championships,17/02/08,International,Outdoor,Hard,The Final,3,Nishikori K.,Blake J.,244,12,160,1645,3,6,6,1,6,4,,,,,2,1,Completed,6,1.12,4.67,1.17,4.5,1.167,6,1.182,5,1.16
